"Time","step2","J1_w","J2_w","J3_w","J4_w"
5.900000000000000E-01,0.000000000000000E+00,4.638793025165400E+00,3.475651492868700E+00,1.900000000000000E+00,5.107025913275700E-15
6.000000000000000E-01,0.000000000000000E+00,4.549881865555700E+00,3.449029596394400E+00,2.000000000000000E+00,4.440892098500600E-15
6.100000000000000E-01,0.000000000000000E+00,4.492940812731700E+00,3.421548040333700E+00,2.100000000000000E+00,5.329070518200800E-15
6.200000000000000E-01,0.000000000000000E+00,4.466454223512600E+00,3.393195546482100E+00,2.200000000000000E+00,6.217248937900900E-15
6.300000000000000E-01,0.000000000000000E+00,4.466017162657700E+00,3.363960724521600E+00,2.300000000000000E+00,7.993605777301100E-15
6.400000000000000E-01,0.000000000000000E+00,4.484750897193500E+00,3.333832438474100E+00,2.400000000000000E+00,6.217248937900900E-15
6.500000000000000E-01,0.000000000000000E+00,4.514000282110500E+00,3.302799286108100E+00,2.500000000000000E+00,8.437694987151201E-15
6.600000000000000E-01,0.000000000000000E+00,4.544172388627400E+00,3.270852221596200E+00,2.600000000000000E+00,5.329070518200800E-15
6.700000000000000E-01,0.000000000000000E+00,4.565744944452500E+00,3.237978237573800E+00,2.700000000000000E+00,5.329070518200800E-15
6.800000000000000E-01,0.000000000000000E+00,4.569931330654200E+00,3.204167668404500E+00,2.800000000000000E+00,2.664535259100400E-15
6.899999999999999E-01,0.000000000000000E+00,4.549835875664900E+00,3.169409828589400E+00,2.900000000000000E+00,8.881784197001300E-16
7.000000000000000E-01,0.000000000000000E+00,4.501082772292900E+00,3.133694486497900E+00,3.000000000000000E+00,4.440892098500600E-16
7.100000000000000E-01,0.000000000000000E+00,4.422183647847500E+00,3.098505521154500E+00,3.098505521154500E+00,5.773159728050800E-15
7.200000000000000E-01,0.000000000000000E+00,4.314646292169100E+00,3.129675216112800E+00,3.129675216112800E+00,5.329070518200800E-15
7.300000000000000E-01,0.000000000000000E+00,4.182958189646800E+00,3.160351058227300E+00,3.160351058227300E+00,8.881784197001300E-15
7.400000000000000E-01,0.000000000000000E+00,4.033972229181000E+00,3.190528388723800E+00,3.190528388723800E+00,7.549516567451101E-15
7.500000000000000E-01,0.000000000000000E+00,3.876356396418600E+00,3.220202128552400E+00,3.220202128552400E+00,7.993605777301100E-15
7.600000000000000E-01,0.000000000000000E+00,3.719717531123700E+00,3.249368662970900E+00,3.249368662970900E+00,7.993605777301100E-15
7.700000000000000E-01,0.000000000000000E+00,3.573716910051900E+00,3.278022167078900E+00,3.278022167078900E+00,7.549516567451101E-15
7.800000000000000E-01,0.000000000000000E+00,3.447052895817800E+00,3.306158541710700E+00,3.306158541710700E+00,7.105427357601000E-15
7.900000000000000E-01,0.000000000000000E+00,3.346659966171400E+00,3.333773300856400E+00,3.333773300856400E+00,5.329070518200800E-15
8.000000000000000E-01,0.000000000000000E+00,3.332907744008300E+00,3.332907744008300E+00,3.332907744008300E+00,4.884981308350700E-15
8.100000000000001E-01,0.000000000000000E+00,3.338087174251200E+00,3.338087174251200E+00,3.338087174251200E+00,4.884981308350700E-15
8.200000000000000E-01,0.000000000000000E+00,3.353105747072800E+00,3.353105747072800E+00,3.353105747072800E+00,4.884981308350700E-15
