"time","TRes","heatCapacitor_T","switch_Controll"
0.453,297.539,24.3892,0
0.454,297.549,24.3986,0
0.455,297.558,24.408,0
0.456,297.567,24.4174,0
0.457,297.577,24.4268,0
0.458,297.586,24.4362,0
0.459,297.596,24.4455,0
0.46,297.605,24.4549,0
0.46,297.605,24.4549,0
0.46,297.605,24.4549,0
0.461,297.614,24.4643,0
0.462,297.624,24.4737,0
0.463,297.633,24.483,0
0.464,297.642,24.4924,0
0.465,297.652,24.5018,0
0.466,297.661,24.5112,0
0.467,297.671,24.5205,0
0.468,297.68,24.5299,0
0.469,297.689,24.5393,0
0.47,297.699,24.5486,0
0.471,297.708,24.558,0
0.472,297.717,24.5674,0
0.473,297.727,24.5767,0
0.474,297.736,24.5861,0
0.475,297.745,24.5955,0
0.476,297.755,24.6048,0
0.477,297.764,24.6142,0
0.478,297.774,24.6235,0
0.479,297.783,24.6329,0
0.48,297.792,24.6422,0
0.48,297.792,24.6422,0
0.48,297.792,24.6422,0
0.481,297.802,24.6516,0
0.482,297.811,24.6609,0
0.483,297.82,24.6703,0
0.484,297.83,24.6796,0
0.485,297.839,24.689,0
0.486,297.848,24.6983,0
0.487,297.858,24.7077,0
0.488,297.867,24.717,0
0.489,297.876,24.7264,0
0.49,297.886,24.7357,0
0.491,297.895,24.745,0
0.492,297.904,24.7544,0
0.493,297.914,24.7637,0
0.494,297.923,24.7731,0
0.495,297.932,24.7824,0
0.496,297.942,24.7917,0
0.497,297.951,24.8011,0
0.498,297.96,24.8104,0
0.499,297.97,24.8197,0
0.5,297.979,24.8291,0
0.5,297.979,24.8291,0
0.5,297.979,24.8291,0
0.501,297.988,24.8384,0
0.502,297.998,24.8477,0
0.503,298.007,24.857,0
0.504,298.016,24.8664,0
0.505,298.026,24.8757,0
0.506,298.035,24.885,0
0.507,298.044,24.8943,0
0.508,298.054,24.9036,0
0.509,298.063,24.9129,0
0.51,298.072,24.9223,0
0.511,298.082,24.9316,0
0.512,298.091,24.9409,0
0.513,298.1,24.9502,0
0.514,298.11,24.9595,0
0.515,298.119,24.9688,0
0.516,298.128,24.9781,0
0.517,298.137,24.9874,0
0.518,298.147,24.9968,0
0.519,298.156,25.0061,0
0.52,298.165,25.0154,0
0.52,298.165,25.0154,0
0.52,298.165,25.0154,0
0.521,298.175,25.0247,0
0.522,298.184,25.034,0
0.523,298.193,25.0433,0
0.524,298.203,25.0526,0
0.525,298.212,25.0618,0
0.526,298.221,25.0711,0
0.527,298.23,25.0804,0
0.528,298.24,25.0897,0
0.529,298.249,25.099,0
0.53,298.258,25.1083,0
0.531,298.268,25.1176,0
0.532,298.277,25.1269,0
0.533,298.286,25.1362,0
0.534,298.295,25.1455,0
0.535,298.305,25.1547,0
0.536,298.314,25.164,0
0.537,298.323,25.1733,0
0.538,298.333,25.1826,0
0.539,298.342,25.1919,0
0.54,298.351,25.2011,0
0.54,298.351,25.2011,0
0.54,298.351,25.2011,0
0.541,298.36,25.2104,0
0.542,298.37,25.2197,0
0.543,298.379,25.229,0
0.544,298.388,25.2382,0
0.545,298.398,25.2475,0
0.546,298.407,25.2568,0
0.547,298.416,25.266,0
0.548,298.425,25.2753,0
0.549,298.435,25.2846,0
0.55,298.444,25.2938,0
0.551,298.453,25.3031,0
0.552,298.462,25.3124,0
0.553,298.472,25.3216,0
0.554,298.481,25.3309,0
0.555,298.49,25.3401,0
0.556,298.499,25.3494,0
0.557,298.509,25.3587,0
0.558,298.518,25.3679,0
0.559,298.527,25.3772,0
0.56,298.536,25.3864,0
0.56,298.536,25.3864,0
0.56,298.536,25.3864,0
0.561,298.546,25.3957,0
0.562,298.555,25.4049,0
0.563,298.564,25.4142,0
0.564,298.573,25.4234,0
0.565,298.583,25.4327,0
0.566,298.592,25.4419,0
0.567,298.601,25.4511,0
0.568,298.61,25.4604,0
0.569,298.62,25.4696,0
0.57,298.629,25.4789,0
0.571,298.638,25.4881,0
0.572,298.647,25.4973,0
0.573,298.657,25.5066,0
0.574,298.666,25.5158,0
0.575,298.675,25.525,0
0.576,298.684,25.5343,0
0.577,298.694,25.5435,0
0.578,298.703,25.5527,0
0.579,298.712,25.562,0
0.58,298.721,25.5712,0
0.58,298.721,25.5712,0
0.58,298.721,25.5712,0
0.581,298.73,25.5804,0
0.582,298.74,25.5896,0
0.583,298.749,25.5989,0
0.584,298.758,25.6081,0
0.585,298.767,25.6173,0
0.586,298.777,25.6265,0
0.587,298.786,25.6357,0
0.588,298.795,25.6449,0
0.589,298.804,25.6542,0
0.59,298.813,25.6634,0
0.591,298.823,25.6726,0
0.592,298.832,25.6818,0
0.593,298.841,25.691,0
0.594,298.85,25.7002,0
0.595,298.859,25.7094,0
0.596,298.869,25.7186,0
0.597,298.878,25.7278,0
0.598,298.887,25.737,0
0.599,298.896,25.7462,0
0.6,298.905,25.7554,0
0.6,298.905,25.7554,0
0.6,298.905,25.7554,0
0.601,298.915,25.7646,0
0.602,298.924,25.7738,0
0.603,298.933,25.783,0
0.604,298.942,25.7922,0
0.605,298.951,25.8014,0
0.606,298.961,25.8106,0
0.607,298.97,25.8198,0
0.608,298.979,25.829,0
0.609,298.988,25.8382,0
0.61,298.997,25.8474,0
0.611,299.007,25.8566,0
0.612,299.016,25.8657,0
0.613,299.025,25.8749,0
0.614,299.034,25.8841,0
0.615,299.043,25.8933,0
0.616,299.052,25.9025,0
0.617,299.062,25.9117,0
0.618,299.071,25.9208,0
0.619,299.08,25.93,0
0.62,299.089,25.9392,0
0.62,299.089,25.9392,0
0.62,299.089,25.9392,0
0.621,299.098,25.9484,0
0.622,299.108,25.9575,0
0.623,299.117,25.9667,0
0.624,299.126,25.9759,0
0.625,299.135,25.9851,0
0.626,299.144,25.9942,0
0.627,299.15,25.9998,1
0.628,299.149,25.9992,1
0.629,299.149,25.9986,1
0.63,299.148,25.998,1
0.631,299.147,25.9974,1
0.632,299.147,25.9968,1
0.633,299.146,25.9962,1
0.634,299.146,25.9956,1
0.635,299.145,25.995,1
0.636,299.144,25.9944,1
0.637,299.144,25.9938,1
0.638,299.143,25.9932,1
0.639,299.143,25.9926,1
0.64,299.142,25.992,1
0.64,299.142,25.992,1
0.64,299.142,25.992,1
0.641,299.141,25.9914,1
0.642,299.141,25.9908,1
0.643,299.14,25.9902,1
0.644,299.14,25.9896,1
0.645,299.139,25.989,1
0.646,299.138,25.9884,1
0.647,299.138,25.9878,1
0.648,299.137,25.9872,1
0.649,299.137,25.9866,1
0.65,299.136,25.986,1
0.651,299.135,25.9854,1
0.652,299.135,25.9848,1
0.653,299.134,25.9842,1
0.654,299.134,25.9836,1
0.655,299.133,25.983,1
0.656,299.132,25.9824,1
0.657,299.132,25.9818,1
0.658,299.131,25.9812,1
0.659,299.131,25.9806,1
0.66,299.13,25.98,1
0.66,299.13,25.98,1
0.66,299.13,25.98,1
0.661,299.129,25.9794,1
0.662,299.129,25.9788,1
0.663,299.128,25.9782,1
0.664,299.128,25.9776,1
0.665,299.127,25.977,1
0.666,299.126,25.9764,1
0.667,299.126,25.9758,1
0.668,299.125,25.9752,1
0.669,299.125,25.9746,1
0.67,299.124,25.974,1
0.671,299.123,25.9734,1
0.672,299.123,25.9728,1
0.673,299.122,25.9723,1
0.674,299.122,25.9717,1
0.675,299.121,25.9711,1
0.676,299.12,25.9705,1
0.677,299.12,25.9699,1
0.678,299.119,25.9693,1
0.679,299.119,25.9687,1
0.68,299.118,25.9681,1
0.68,299.118,25.9681,1
0.68,299.118,25.9681,1
0.681,299.117,25.9675,1
0.682,299.117,25.9669,1
0.683,299.116,25.9663,1
0.684,299.116,25.9657,1
0.685,299.115,25.9651,1
0.686,299.114,25.9645,1
0.687,299.114,25.9639,1
0.688,299.113,25.9633,1
0.689,299.113,25.9627,1
0.69,299.112,25.9621,1
0.691,299.112,25.9615,1
0.692,299.111,25.9609,1
0.693,299.11,25.9603,1
0.694,299.11,25.9597,1
0.695,299.109,25.9591,1
0.696,299.109,25.9585,1
0.697,299.108,25.9579,1
0.698,299.107,25.9573,1
0.699,299.107,25.9567,1
0.7,299.106,25.9562,1
0.7,299.106,25.9562,1
0.7,299.106,25.9562,1
0.701,299.106,25.9556,1
0.702,299.105,25.955,1
0.703,299.104,25.9544,1
0.704,299.104,25.9538,1
0.705,299.103,25.9532,1
0.706,299.103,25.9526,1
0.707,299.102,25.952,1
0.708,299.101,25.9514,1
0.709,299.101,25.9508,1
0.71,299.1,25.9502,1
0.711,299.1,25.9496,1
0.712,299.099,25.949,1
0.713,299.098,25.9484,1
0.714,299.098,25.9478,1
0.715,299.097,25.9472,1
0.716,299.097,25.9466,1
0.717,299.096,25.946,1
0.718,299.095,25.9454,1
0.719,299.095,25.9449,1
0.72,299.094,25.9443,1
0.72,299.094,25.9443,1
0.72,299.094,25.9443,1
0.721,299.094,25.9437,1
0.722,299.093,25.9431,1
0.723,299.092,25.9425,1
0.724,299.092,25.9419,1
0.725,299.091,25.9413,1
0.726,299.091,25.9407,1
0.727,299.09,25.9401,1
0.728,299.09,25.9395,1
0.729,299.089,25.9389,1
0.73,299.088,25.9383,1
0.731,299.088,25.9377,1
0.732,299.087,25.9371,1
0.733,299.087,25.9365,1
0.734,299.086,25.9359,1
0.735,299.085,25.9353,1
0.736,299.085,25.9348,1
0.737,299.084,25.9342,1
0.738,299.084,25.9336,1
0.739,299.083,25.933,1
0.74,299.082,25.9324,1
0.74,299.082,25.9324,1
0.74,299.082,25.9324,1
0.741,299.082,25.9318,1
0.742,299.081,25.9312,1
0.743,299.081,25.9306,1
0.744,299.08,25.93,1
0.745,299.079,25.9294,1
0.746,299.079,25.9288,1
0.747,299.078,25.9282,1
0.748,299.078,25.9276,1
0.749,299.077,25.927,1
0.75,299.076,25.9265,1
0.751,299.076,25.9259,1
0.752,299.075,25.9253,1
0.753,299.075,25.9247,1
0.754,299.074,25.9241,1
0.755,299.073,25.9235,1
0.756,299.073,25.9229,1
0.757,299.072,25.9223,1
0.758,299.072,25.9217,1
0.759,299.071,25.9211,1
0.76,299.071,25.9205,1
0.76,299.071,25.9205,1
0.76,299.071,25.9205,1
0.761,299.07,25.9199,1
0.762,299.069,25.9194,1
0.763,299.069,25.9188,1
0.764,299.068,25.9182,1
0.765,299.068,25.9176,1
0.766,299.067,25.917,1
0.767,299.066,25.9164,1
