"time","EGO","press","speed","throttle"
3.13000000,0.49059653,0.83861762,300.00000000,17.82500076
3.14000000,0.48976657,0.83935791,300.00000000,17.85000038
3.15000000,0.48893940,0.84009415,300.00000000,17.87500000
3.16000000,0.48811737,0.84082633,300.00000000,17.89999962
3.17000000,0.48729202,0.84155458,300.00000000,17.92499924
3.18000000,0.48646665,0.84227884,300.00000000,17.95000076
3.19000000,0.48564312,0.84299916,300.00000000,17.97500038
3.20000000,0.48482251,0.84371561,300.00000000,18.00000000
3.21000000,0.48400518,0.84442812,300.00000000,18.02499962
3.22000000,0.48319107,0.84513676,300.00000000,18.04999924
3.23000000,0.48237982,0.84584153,300.00000000,18.07500076
3.24000000,0.48157069,0.84654248,300.00000000,18.10000038
3.25000000,0.48076287,0.84723961,300.00000000,18.12500000
3.26000000,0.47996491,0.84793299,300.00000000,18.14999962
3.27000000,0.47917300,0.84862256,300.00000000,18.17499924
3.28000000,0.47838405,0.84930843,300.00000000,18.20000076
3.29000000,0.47759554,0.84999055,300.00000000,18.22500038
3.30000000,0.47680521,0.85066897,300.00000000,18.25000000
3.31000000,0.47602081,0.85134369,300.00000000,18.27499962
3.32000000,0.47523785,0.85201478,300.00000000,18.29999924
3.33000000,0.47446239,0.85268223,300.00000000,18.32500076
3.34000000,0.47368884,0.85334605,300.00000000,18.35000038
3.35000000,0.47291297,0.85400629,300.00000000,18.37500000
3.36000000,0.47214082,0.85466290,300.00000000,18.39999962
3.37000000,0.47136691,0.85531598,300.00000000,18.42499924
3.38000000,0.47059658,0.85596555,300.00000000,18.45000076
3.39000000,0.46982372,0.85661161,300.00000000,18.47500038
3.40000000,0.46905321,0.85725421,300.00000000,18.50000000
3.41000000,0.46827871,0.85789329,300.00000000,18.52499962
3.42000000,0.46750492,0.85852891,300.00000000,18.54999924
3.43000000,0.46673492,0.85916108,300.00000000,18.57500076
3.44000000,0.46597055,0.85978985,300.00000000,18.60000038
3.45000000,0.46521288,0.86041528,300.00000000,18.62500000
3.46000000,0.46445271,0.86103725,300.00000000,18.64999962
3.47000000,0.46369267,0.86165595,300.00000000,18.67499924
3.48000000,0.46293443,0.86227125,300.00000000,18.70000076
3.49000000,0.46217886,0.86288327,300.00000000,18.72500038
3.50000000,0.46142626,0.86349195,300.00000000,18.75000000
3.51000000,0.46067652,0.86409742,300.00000000,18.77499962
3.52000000,0.45992929,0.86469960,300.00000000,18.79999924
3.53000000,0.45918399,0.86529851,300.00000000,18.82500076
3.54000000,0.45843989,0.86589426,300.00000000,18.85000038
3.55000000,0.45769617,0.86648679,300.00000000,18.87500000
3.56000000,0.45695195,0.86707610,300.00000000,18.89999962
3.57000000,0.45620641,0.86766231,300.00000000,18.92499924
3.58000000,0.45545864,0.86824530,300.00000000,18.95000076
3.59000000,0.45471728,0.86882526,300.00000000,18.97500038
3.60000000,0.45397869,0.86940205,300.00000000,19.00000000
3.61000000,0.45323989,0.86997575,300.00000000,19.02499962
3.62000000,0.45249853,0.87054640,300.00000000,19.04999924
3.63000000,0.45176217,0.87111396,300.00000000,19.07500076
3.64000000,0.45102641,0.87167853,300.00000000,19.10000038
3.65000000,0.45029739,0.87224001,300.00000000,19.12500000
3.66000000,0.44956970,0.87279856,300.00000000,19.14999962
3.67000000,0.44883913,0.87335414,300.00000000,19.17499924
3.68000000,0.44811195,0.87390667,300.00000000,19.20000076
3.69000000,0.44738284,0.87445635,300.00000000,19.22500038
3.70000000,0.44665730,0.87500304,300.00000000,19.25000000
3.71000000,0.44592944,0.87554681,300.00000000,19.27499962
3.72000000,0.44520429,0.87608773,300.00000000,19.29999924
3.73000000,0.44448531,0.87662578,300.00000000,19.32500076
3.74000000,0.44376507,0.87716091,300.00000000,19.35000038
3.75000000,0.44304752,0.87769324,300.00000000,19.37500000
3.76000000,0.44233528,0.87822270,300.00000000,19.39999962
3.77000000,0.44162983,0.87874937,300.00000000,19.42499924
3.78000000,0.44092250,0.87927324,300.00000000,19.45000076
3.79000000,0.44021636,0.87979436,300.00000000,19.47500038
3.80000000,0.43951330,0.88031268,300.00000000,19.50000000
3.81000000,0.43881452,0.88082832,300.00000000,19.52499962
3.82000000,0.43812051,0.88134116,300.00000000,19.54999924
3.83000000,0.43743140,0.88185132,300.00000000,19.57500076
3.84000000,0.43674704,0.88235879,300.00000000,19.60000038
3.85000000,0.43606701,0.88286358,300.00000000,19.62500000
3.86000000,0.43538120,0.88336569,300.00000000,19.64999962
3.87000000,0.43470120,0.88386512,300.00000000,19.67499924
3.88000000,0.43402565,0.88436198,300.00000000,19.70000076
3.89000000,0.43335319,0.88485616,300.00000000,19.72500038
3.90000000,0.43268266,0.88534778,300.00000000,19.75000000
3.91000000,0.43201298,0.88583678,300.00000000,19.77499962
3.92000000,0.43134308,0.88632321,300.00000000,19.79999924
3.93000000,0.43067196,0.88680714,300.00000000,19.82500076
3.94000000,0.42999879,0.88728845,300.00000000,19.85000038
3.95000000,0.42933229,0.88776731,300.00000000,19.87500000
3.96000000,0.42866886,0.88824362,300.00000000,19.89999962
3.97000000,0.42800570,0.88871741,300.00000000,19.92499924
3.98000000,0.42735004,0.88918877,300.00000000,19.95000076
3.99000000,0.42669737,0.88965762,300.00000000,19.97500038
4.00000000,0.42604423,0.89012402,300.00000000,20.00000000
4.01000000,0.42543915,0.89040428,300.00000000,19.97500038
4.02000000,0.42504677,0.89040941,300.00000000,19.95000076
4.03000000,0.42496538,0.89024180,300.00000000,19.92499924
4.04000000,0.42520893,0.88996553,300.00000000,19.89999962
4.05000000,0.42575273,0.88962048,300.00000000,19.87500000
4.06000000,0.42655432,0.88923150,300.00000000,19.85000038
4.07000000,0.42756137,0.88881415,300.00000000,19.82500076
4.08000000,0.42873189,0.88837802,300.00000000,19.79999924
