    "time","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel",  "J1.phi",    "J1.w"
      0.95,-3.1490219,3.3337482e-014, -1.397262,1.01915e-016,-1.2729201,-2.7742351, 5.8317072, 3.2742351
      0.96,-3.1490219,3.3337482e-014, -1.397262,1.01915e-016,-1.2998336,-2.6079819, 5.8641206, 3.2079819
      0.97,-3.1490219,3.3337482e-014, -1.397262,1.01915e-016,-1.3251001,-2.4448921, 5.8958871, 3.1448921
      0.98,-3.1490219,3.3337482e-014, -1.397262,1.01915e-016,-1.3487639,-2.2882188, 5.9270509, 3.0882188
      0.99,-3.1490219,3.3337482e-014, -1.397262,1.01915e-016,-1.3709031,-2.1399358, 5.9576901, 3.0399358
         1,-3.1490219,3.3337482e-014, -1.397262,1.01915e-016,-1.3915993,-2.0014258, 5.9878891, 3.0014258
      1.01,-3.1490971,-0.019857948, -1.397262,1.01915e-016,-1.4109399,-1.8666635, 6.0178053, 2.9865214
      1.02,-3.1495298,-0.071278187, -1.397262,1.01915e-016,-1.4289299,-1.7312532, 6.0477281, 3.0025314
      1.03,-3.1506149,-0.1497366, -1.397262,1.01915e-016,-1.4455629,-1.5952409, 6.0779461, 3.0449775
      1.04,-3.1525917,-0.24832481, -1.397262,1.01915e-016,-1.4608328,-1.4586243, 6.1086927, 3.1069491
      1.05,-3.1556188,-0.35840892, -1.397262,1.01915e-016,-1.4747334,-1.3214013, 6.1401205, 3.1798102
      1.06,-3.1597618,-0.4702589, -1.397262,1.01915e-016,-1.4872588,-1.1835698, 6.1722888, 3.2538287
      1.07,-3.1649896,-0.57434253, -1.397262,1.01915e-016,-1.4984028,-1.0451279, 6.2051606, 3.3194705
      1.08, -3.171186,-0.66198298, -1.397262,1.01915e-016,-1.5081593,-0.90607388, 6.2386136, 3.3680569
      1.09,-3.1781471,-0.72628159, -1.397262,1.01915e-016,-1.5165222,-0.76640591, 6.2724376, 3.3926875
       1.1, -3.185616,-0.76277092, -1.397262,1.01915e-016,-1.5234854,-0.62612238, 6.3063696, 3.3888933
      1.11,-3.1932829,-0.76977655, -1.397262,1.01915e-016,-1.5290326,-0.48521748, 6.3400905,  3.354994
      1.12,-3.2008912,-0.74919565, -1.397262,1.01915e-016,-1.5331742,-0.34369685, 6.3733428, 3.2928925
      1.13,-3.2081724,-0.70507085, -1.397262,1.01915e-016,-1.5358872,-0.20155186, 6.4058466, 3.2066227
      1.14,-3.2149286,-0.64486753, -1.397262,1.01915e-016,-1.5371892,-0.058791685, 6.4374048, 3.1036592
      1.15,  -3.22093,-0.54861661, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.4678616, 2.9922136
      1.16,-3.2258396,-0.43442915, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.4972275, 2.8820219
      1.17,-3.2296581,-0.33146414, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.5255401,  2.782637
      1.18, -3.232538,-0.24833886, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013,  6.552948, 2.7026751
      1.19,-3.2347164,-0.19210329, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.5796838, 2.6491856
       1.2,-3.2364858,-0.1672199, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013,  6.606036, 2.6266302
      1.21, -3.238173,-0.17523395, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.6323272, 2.6365536
      1.22,-3.2401014,-0.21441588, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.6588765, 2.6772276
      1.23, -3.242559,-0.28045019, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013,  6.685968, 2.7443354
      1.24,-3.2457804,-0.36653118, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.7138318, 2.8310713
      1.25, -3.249926,-0.46394172, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.7426243, 2.9287178
      1.26, -3.255114,-0.56209907, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.7724601,  3.026876
      1.27,-3.2611876,-0.65069796, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.8031815, 3.1154749
      1.28,-3.2680667,-0.72127033, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.8347084, 3.1860472
      1.29,-3.2755285,-0.76651447, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.8668179, 3.2312914
       1.3,-3.2832969,-0.78197682, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.8992341, 3.2467537
      1.31,-3.2910598,-0.7661173, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.9316448, 3.2308942
      1.32,-3.2985096,-0.72103431, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.9637423, 3.1858112
      1.33,-3.3053794,-0.65083006, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 6.9952599,  3.115607
      1.34, -3.311459,-0.56206682, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.0259873, 3.0268437
      1.35,-3.3165865,-0.46374265, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.0557625, 2.9285195
      1.36,-3.3207208,-0.36541932, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.0845446, 2.8301962
      1.37,-3.3239221,-0.27665453, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.1123937, 2.7414314
      1.38,-3.3263193,-0.20620864, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.1394386, 2.6709855
      1.39,-3.3281311,-0.16101481, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.1658982, 2.6257917
       1.4,-3.3296382,-0.14551536, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.1920531, 2.6102923
      1.41,-3.3311521,-0.16115404, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.2182148, 2.6259309
      1.42,-3.3329714,-0.20629103, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.2446818, 2.6710679
      1.43,-3.3353699,-0.2766553, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.2717281, 2.7414322
      1.44,-3.3385663,-0.36536882, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.2995723, 2.8301457
      1.45,-3.3427056,-0.46371756, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.3283593, 2.9284945
      1.46,-3.3478341,-0.56206762, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.3581356, 3.0268445
      1.47,-3.3539144,-0.65083957, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.3888637, 3.1156165
      1.48,-3.3607909,-0.72124481, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013,  7.420388, 3.1860217
      1.49,-3.3682392,-0.7663547, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013,  7.452484, 3.2311316
       1.5,-3.3760036,-0.78171181, -1.397262,1.01915e-016,-1.5373098,1.8395355e-013, 7.4848962, 3.2464887
