"time","heatCapacitor_T","switch_Controll"
5.32,39.7603257328,0.0
5.34,39.906225638,0.0
5.36,39.8974666355,1.0
5.38,39.8577114993,1.0
5.4,39.8180357939,1.0
5.42,39.7784393605,1.0
5.44,39.7389220408,1.0
5.46,39.6994836767,1.0
5.48,39.6601241105,1.0
5.5,39.6208431847,1.0
5.52,39.5816407421,1.0
5.54,39.5425166261,1.0
5.56,39.50347068,1.0
5.58,39.4645027478,1.0
5.6,39.4256126734,1.0
5.62,39.3868003014,1.0
5.64,39.3480654766,1.0
5.66,39.3094080439,1.0
5.68,39.3661094429,0.0
5.7,39.5130629241,0.0
5.72,39.6596235707,0.0
5.74,39.8057925384,0.0
5.76,39.9515709788,0.0
5.78,40.0969600393,0.0
5.8,40.2419608634,0.0
5.82,40.3865745904,0.0
5.84,40.5308023557,0.0
5.86,40.6746452907,0.0
5.88,40.8181045226,0.0
5.9,40.9611811749,0.0
5.92,41.1038763671,0.0
5.94,41.2461912145,0.0
5.96,41.3881268288,0.0
5.98,41.5296843178,0.0
6.0,41.6708647852,0.0
6.02,41.811669331,0.0
6.04,41.9520990513,0.0
6.06,42.0921550384,0.0
6.08,42.2318383809,0.0
6.1,42.3711501635,0.0
6.12,42.510091467,0.0
6.14,42.6486633687,0.0
6.16,42.786866942,0.0
6.18,42.9247032568,0.0
6.2,43.0621733789,0.0
6.22,43.1992783708,0.0
6.24,43.3360192912,0.0
6.26,43.4723971952,0.0
6.28,43.608413134,0.0
6.3,43.7440681555,0.0
6.32,43.879363304,0.0
6.34,44.01429962,0.0
6.36,44.1488781405,0.0
6.38,44.1642365062,1.0
6.4,44.1159563638,1.0
6.42,44.0677726852,1.0
6.44,44.0196852776,1.0
6.46,43.9716939486,1.0
6.48,43.9237985062,1.0
6.5,43.875998759,1.0
6.52,43.8282945157,1.0
6.54,43.7806855854,1.0
6.56,43.7331717778,1.0
6.58,43.6857529028,1.0
6.6,43.6384287706,1.0
6.62,43.5911991921,1.0
6.64,43.5440639783,1.0
6.66,43.4970229407,1.0
6.68,43.5202399257,0.0
6.7,43.6561289043,0.0
6.72,43.791657333,0.0
6.74,43.9268262547,0.0
6.76,44.0616367088,0.0
6.78,44.1960897311,0.0
6.8,44.3301863537,0.0
6.82,44.4639276055,0.0
6.84,44.5973145116,0.0
6.86,44.7303480937,0.0
6.88,44.8630293701,0.0
6.9,44.9953593555,0.0
6.92,45.1273390611,0.0
6.94,45.2589694949,0.0
6.96,45.3902516613,0.0
6.98,45.5211865614,0.0
7.0,45.6517751927,0.0
7.02,45.7820185496,0.0
7.04,45.911917623,0.0
7.06,46.0414734004,0.0
7.08,46.170686866,0.0
7.1,46.2995590009,0.0
7.12,46.4280907825,0.0
7.14,46.5562831853,0.0
7.16,46.6841371803,0.0
7.18,46.8116537353,0.0
7.2,46.9388338148,0.0
7.22,47.0656783801,0.0
7.24,47.1921883894,0.0
7.26,47.3183647976,0.0
7.28,47.4442085564,0.0
7.3,47.5697206143,0.0
7.32,47.6949019167,0.0
7.34,47.8197534059,0.0
7.36,47.9442760209,0.0
7.38,48.0684706977,0.0
7.4,48.1923383692,0.0
7.42,48.3158799651,0.0
7.44,48.4390964123,0.0
7.46,48.5619886342,0.0
7.48,48.6845575515,0.0
7.5,48.8068040817,0.0
7.52,48.9287291393,0.0
7.54,49.0503336358,0.0
7.56,49.1481183409,1.0
7.58,49.0898804027,1.0
7.6,49.0317588239,1.0
7.62,48.973753372,1.0
7.64,48.915863815,1.0
7.66,48.8580899213,1.0
7.68,48.8004314599,1.0
7.7,48.7428882,1.0
7.72,48.6854599116,1.0
7.74,48.6281463649,1.0
7.76,48.5709473307,1.0
7.78,48.5138625802,1.0
7.8,48.456891885,1.0
7.82,48.4000350172,1.0
7.84,48.3432917495,1.0
7.86,48.4536667364,0.0
7.88,48.5765206232,0.0
7.9,48.6990513142,0.0
7.92,48.8212597266,0.0
7.94,48.9431467745,0.0
7.96,49.0647133691,0.0
7.98,49.1859604184,0.0
8.0,49.3068888277,0.0
8.02,49.4274994991,0.0
8.04,49.5477933318,0.0
8.06,49.667771222,0.0
8.08,49.7874340632,0.0
8.1,49.9067827456,0.0
8.12,50.0258181568,0.0
8.14,50.1445411814,0.0
8.16,50.262952701,0.0
8.18,50.3810535944,0.0
8.2,50.4988447376,0.0
8.22,50.6163270037,0.0
8.24,50.7335012629,0.0
8.26,50.8503683827,0.0
8.28,50.9669292277,0.0
8.3,50.955652124,1.0
8.32,50.8938027333,1.0
8.34,50.8320769177,1.0
8.36,50.7704744302,1.0
8.38,50.7089950246,1.0
8.4,50.6476384548,1.0
8.42,50.5864044754,1.0
8.44,50.5252928415,1.0
8.46,50.4643033086,1.0
8.48,50.4034356328,1.0
8.5,50.3426895707,1.0
8.52,50.2820648791,1.0
8.54,50.2215613157,1.0
8.56,50.1611786385,1.0
8.58,50.1009166058,1.0
8.6,50.0407749766,1.0
8.62,49.9807535105,1.0
8.64,49.9208519672,1.0
8.66,49.8610701072,1.0
8.68,49.8014076913,1.0
8.7,49.741864481,1.0
8.72,49.682440238,1.0
8.74,49.6231347246,1.0
8.76,49.5639477037,1.0
8.78,49.5048789384,1.0
8.8,49.4459281925,1.0
8.82,49.3870952302,1.0
8.84,49.3283798162,1.0
8.86,49.2697817155,1.0
8.88,49.2113006939,1.0
8.9,49.1529365173,1.0
8.92,49.0946889524,1.0
8.94,49.0365577661,1.0
8.96,49.0449726234,0.0
8.98,49.1662715581,0.0
9.0,49.2872517057,0.0
9.02,49.407913969,0.0
9.04,49.5282592476,0.0
9.06,49.6482884383,0.0
9.08,49.7680024348,0.0
9.1,49.8874021281,0.0
9.12,50.0064884061,0.0
9.14,50.1252621538,0.0
9.16,50.2437242534,0.0
9.18,50.3618755842,0.0
9.2,50.4797170226,0.0
9.22,50.5972494421,0.0
9.24,50.7144737135,0.0
9.26,50.8313907046,0.0
9.28,50.9480012805,0.0
9.3,50.96571838,1.0
9.32,50.903848877,1.0
9.34,50.8421029891,1.0
9.36,50.7804804696,1.0
9.38,50.7189810719,1.0
9.4,50.6576045499,1.0
9.42,50.5963506583,1.0
9.44,50.5352191519,1.0
9.46,50.4742097863,1.0
9.48,50.4133223173,1.0
9.5,50.3525565016,1.0
9.52,50.2919120959,1.0
9.54,50.2313888578,1.0
9.56,50.1709865451,1.0
9.58,50.1107049162,1.0
9.6,50.05054373,1.0
9.62,49.9905027459,1.0
9.64,49.9305817236,1.0
9.66,49.8707804236,1.0
9.68,49.8110986065,1.0
9.7,49.7515360337,1.0
9.72,49.692092467,1.0
9.74,49.6327676685,1.0
9.76,49.5735614009,1.0
9.78,49.5144734274,1.0
9.8,49.4555035117,1.0
9.82,49.396651418,1.0
9.84,49.3379169107,1.0
9.86,49.2792997549,1.0
9.88,49.2207997162,1.0
9.9,49.1624165606,1.0
9.92,49.1041500545,1.0
9.94,49.045999965,1.0
9.96,49.0252234225,0.0
9.98,49.1465742663,0.0
10.0,49.2676061762,0.0
