Time,clutch3_f_0normalized,J1_w,J2_w,J3_w,J4_w,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
1.314,0,3.72753,3.43849,3.43849,0,0,1,8,28
1.317,0,3.71349,3.43849,3.43849,0,0,1,8,28
1.32,0,3.69702,3.43849,3.43849,0,0,1,8,28
1.323,0,3.67827,3.43849,3.43849,0,0,1,8,28
1.326,0,3.6574,3.43849,3.43849,0,0,1,8,28
1.329,0,3.63459,3.43849,3.43849,0,0,1,8,28
1.332,0,3.61006,3.43849,3.43849,0,0,1,8,28
1.335,0,3.584,3.43849,3.43849,0,0,1,8,28
1.338,0,3.55666,3.43849,3.43849,0,0,1,8,28
1.341,0,3.52828,3.43849,3.43849,0,0,1,8,28
1.344,0,3.49911,3.43849,3.43849,0,0,1,8,28
1.347,0,3.46941,3.43849,3.43849,0,0,1,8,28
1.35,0,3.43944,3.43849,3.43849,0,0,1,8,28
1.353,0,3.40948,3.43849,3.43849,0,0,1,8,28
1.356,0,3.37978,3.43849,3.43849,0,0,1,8,28
1.359,0,3.35061,3.43849,3.43849,0,0,1,8,28
1.362,0,3.32224,3.43849,3.43849,0,0,1,8,28
1.365,0,3.2949,3.43849,3.43849,0,0,1,8,28
1.368,0,3.26886,3.43849,3.43849,0,0,1,8,28
1.371,0,3.24432,3.43849,3.43849,0,0,1,8,28
1.374,0,3.22152,3.43849,3.43849,0,0,1,8,28
1.377,0,3.20066,3.43849,3.43849,0,0,1,8,28
1.38,0,3.18191,3.43849,3.43849,0,0,1,8,28
1.383,0,3.16545,3.43849,3.43849,0,0,1,8,28
1.386,0,3.15142,3.43849,3.43849,0,0,1,8,28
1.389,0,3.13995,3.43849,3.43849,0,0,1,8,28
1.392,0,3.13114,3.43849,3.43849,0,0,1,8,28
1.395,0,3.12507,3.43849,3.43849,0,0,1,8,28
1.398,0,3.12178,3.43849,3.43849,0,0,1,8,28
1.401,0,3.12132,3.43849,3.43849,0,0,1,8,28
1.404,0,3.12368,3.43849,3.43849,0,0,1,8,28
1.407,0,3.12885,3.43849,3.43849,0,0,1,8,28
1.41,0,3.13677,3.43849,3.43849,0,0,1,8,28
1.413,0,3.14738,3.43849,3.43849,0,0,1,8,28
1.416,0,3.16058,3.43849,3.43849,0,0,1,8,28
1.419,0,3.17626,3.43849,3.43849,0,0,1,8,28
1.422,0,3.19428,3.43849,3.43849,0,0,1,8,28
1.425,0,3.21447,3.43849,3.43849,0,0,1,8,28
1.428,0,3.23666,3.43849,3.43849,0,0,1,8,28
1.431,0,3.26065,3.43849,3.43849,0,0,1,8,28
1.434,0,3.28623,3.43849,3.43849,0,0,1,8,28
1.437,0,3.31317,3.43849,3.43849,0,0,1,8,28
1.44,0,3.34123,3.43849,3.43849,0,0,1,8,28
1.443,0,3.37016,3.43849,3.43849,0,0,1,8,28
1.446,0,3.39971,3.43849,3.43849,0,0,1,8,28
1.449,0,3.42962,3.43849,3.43849,0,0,1,8,28
1.452,0,3.4596,3.43849,3.43849,0,0,1,8,28
1.455,0,3.48942,3.43849,3.43849,0,0,1,8,28
1.458,0,3.51879,3.43849,3.43849,0,0,1,8,28
1.461,0,3.54745,3.43849,3.43849,0,0,1,8,28
1.464,0,3.57516,3.43849,3.43849,0,0,1,8,28
1.467,0,3.60166,3.43849,3.43849,0,0,1,8,28
1.47,0,3.62673,3.43849,3.43849,0,0,1,8,28
1.473,0,3.65013,3.43849,3.43849,0,0,1,8,28
1.476,0,3.67166,3.43849,3.43849,0,0,1,8,28
1.479,0,3.69114,3.43849,3.43849,0,0,1,8,28
1.482,0,3.70838,3.43849,3.43849,0,0,1,8,28
1.485,0,3.72323,3.43849,3.43849,0,0,1,8,28
1.488,0,3.73556,3.43849,3.43849,0,0,1,8,28
1.491,0,3.74527,3.43849,3.43849,0,0,1,8,28
1.494,0,3.75225,3.43849,3.43849,0,0,1,8,28
1.497,0,3.75647,3.43849,3.43849,0,0,1,8,28
1.5,0,3.75787,3.43849,3.43849,0,0,1,8,28
1.5,0,3.75787,3.43849,3.43849,0,0,1,8,28
