Time,circle_SWC_fmu.Circle_SWC_output_Coords_x,circle_SWC_fmu.Circle_SWC_output_Coords_y,circle_SWC_fmu.fmi_loggingOn,circle_SWC_fmu.fmi_pullInputsForInitialization,circle_SWC_fmu.fmi_StartTime,circle_SWC_fmu.fmi_StopTime,circle_SWC_fmu.fmi_NumberOfSteps,circle_SWC_fmu.fmi_CommunicationStepSize,circle_SWC_fmu.stepSizeScaleFactor,circle_SWC_fmu.fmi_forceShutDownAtStopTime
0.766,0.25,0.96,0,1,0,1,500,0.002,1,0
0.766,0.15,0.98,0,1,0,1,500,0.002,1,0
0.768,0.15,0.98,0,1,0,1,500,0.002,1,0
0.77,0.15,0.98,0,1,0,1,500,0.002,1,0
0.772,0.15,0.98,0,1,0,1,500,0.002,1,0
0.774,0.15,0.98,0,1,0,1,500,0.002,1,0
0.776,0.05,0.99,0,1,0,1,500,0.002,1,0
0.778,0.05,0.99,0,1,0,1,500,0.002,1,0
0.78,0.05,0.99,0,1,0,1,500,0.002,1,0
0.782,0.05,0.99,0,1,0,1,500,0.002,1,0
0.784,0.05,0.99,0,1,0,1,500,0.002,1,0
0.786,0.05,0.99,0,1,0,1,500,0.002,1,0
0.786,-0.05,0.99,0,1,0,1,500,0.002,1,0
0.788,-0.05,0.99,0,1,0,1,500,0.002,1,0
0.79,-0.05,0.99,0,1,0,1,500,0.002,1,0
0.792,-0.05,0.99,0,1,0,1,500,0.002,1,0
0.794,-0.05,0.99,0,1,0,1,500,0.002,1,0
0.796,-0.05,0.99,0,1,0,1,500,0.002,1,0
0.796,-0.15,0.98,0,1,0,1,500,0.002,1,0
0.798,-0.15,0.98,0,1,0,1,500,0.002,1,0
0.8,-0.15,0.98,0,1,0,1,500,0.002,1,0
0.802,-0.15,0.98,0,1,0,1,500,0.002,1,0
0.804,-0.15,0.98,0,1,0,1,500,0.002,1,0
0.806,-0.15,0.98,0,1,0,1,500,0.002,1,0
0.806,-0.25,0.96,0,1,0,1,500,0.002,1,0
0.808,-0.25,0.96,0,1,0,1,500,0.002,1,0
0.81,-0.25,0.96,0,1,0,1,500,0.002,1,0
0.812,-0.25,0.96,0,1,0,1,500,0.002,1,0
0.814,-0.25,0.96,0,1,0,1,500,0.002,1,0
0.816,-0.34,0.94,0,1,0,1,500,0.002,1,0
0.818,-0.34,0.94,0,1,0,1,500,0.002,1,0
0.82,-0.34,0.94,0,1,0,1,500,0.002,1,0
0.822,-0.34,0.94,0,1,0,1,500,0.002,1,0
0.824,-0.34,0.94,0,1,0,1,500,0.002,1,0
0.826,-0.34,0.94,0,1,0,1,500,0.002,1,0
0.826,-0.44,0.9,0,1,0,1,500,0.002,1,0
0.828,-0.44,0.9,0,1,0,1,500,0.002,1,0
0.83,-0.44,0.9,0,1,0,1,500,0.002,1,0
0.832,-0.44,0.9,0,1,0,1,500,0.002,1,0
0.834,-0.44,0.9,0,1,0,1,500,0.002,1,0
0.836,-0.44,0.9,0,1,0,1,500,0.002,1,0
0.836,-0.52,0.85,0,1,0,1,500,0.002,1,0
0.838,-0.52,0.85,0,1,0,1,500,0.002,1,0
0.84,-0.52,0.85,0,1,0,1,500,0.002,1,0
0.842,-0.52,0.85,0,1,0,1,500,0.002,1,0
0.844,-0.52,0.85,0,1,0,1,500,0.002,1,0
0.846,-0.52,0.85,0,1,0,1,500,0.002,1,0
0.846,-0.61,0.79,0,1,0,1,500,0.002,1,0
0.848,-0.61,0.79,0,1,0,1,500,0.002,1,0
0.85,-0.61,0.79,0,1,0,1,500,0.002,1,0
0.852,-0.61,0.79,0,1,0,1,500,0.002,1,0
0.854,-0.61,0.79,0,1,0,1,500,0.002,1,0
0.856,-0.68,0.73,0,1,0,1,500,0.002,1,0
0.858,-0.68,0.73,0,1,0,1,500,0.002,1,0
0.86,-0.68,0.73,0,1,0,1,500,0.002,1,0
0.862,-0.68,0.73,0,1,0,1,500,0.002,1,0
0.864,-0.68,0.73,0,1,0,1,500,0.002,1,0
0.866,-0.68,0.73,0,1,0,1,500,0.002,1,0
0.866,-0.75,0.66,0,1,0,1,500,0.002,1,0
0.868,-0.75,0.66,0,1,0,1,500,0.002,1,0
0.87,-0.75,0.66,0,1,0,1,500,0.002,1,0
0.872,-0.75,0.66,0,1,0,1,500,0.002,1,0
0.874,-0.75,0.66,0,1,0,1,500,0.002,1,0
0.876,-0.75,0.66,0,1,0,1,500,0.002,1,0
0.876,-0.82,0.58,0,1,0,1,500,0.002,1,0
0.878,-0.82,0.58,0,1,0,1,500,0.002,1,0
0.88,-0.82,0.58,0,1,0,1,500,0.002,1,0
0.882,-0.82,0.58,0,1,0,1,500,0.002,1,0
0.884,-0.82,0.58,0,1,0,1,500,0.002,1,0
0.886,-0.82,0.58,0,1,0,1,500,0.002,1,0
0.886,-0.87,0.5,0,1,0,1,500,0.002,1,0
0.888,-0.87,0.5,0,1,0,1,500,0.002,1,0
0.89,-0.87,0.5,0,1,0,1,500,0.002,1,0
0.892,-0.87,0.5,0,1,0,1,500,0.002,1,0
0.894,-0.87,0.5,0,1,0,1,500,0.002,1,0
0.896,-0.92,0.41,0,1,0,1,500,0.002,1,0
0.898,-0.92,0.41,0,1,0,1,500,0.002,1,0
0.9,-0.92,0.41,0,1,0,1,500,0.002,1,0
0.902,-0.92,0.41,0,1,0,1,500,0.002,1,0
0.904,-0.92,0.41,0,1,0,1,500,0.002,1,0
0.906,-0.92,0.41,0,1,0,1,500,0.002,1,0
0.906,-0.95,0.31,0,1,0,1,500,0.002,1,0
0.908,-0.95,0.31,0,1,0,1,500,0.002,1,0
0.91,-0.95,0.31,0,1,0,1,500,0.002,1,0
0.912,-0.95,0.31,0,1,0,1,500,0.002,1,0
0.914,-0.95,0.31,0,1,0,1,500,0.002,1,0
0.916,-0.95,0.31,0,1,0,1,500,0.002,1,0
0.916,-0.98,0.22,0,1,0,1,500,0.002,1,0
0.918,-0.98,0.22,0,1,0,1,500,0.002,1,0
0.92,-0.98,0.22,0,1,0,1,500,0.002,1,0
0.922,-0.98,0.22,0,1,0,1,500,0.002,1,0
0.924,-0.98,0.22,0,1,0,1,500,0.002,1,0
0.926,-0.98,0.22,0,1,0,1,500,0.002,1,0
0.926,-1,0.12,0,1,0,1,500,0.002,1,0
0.928,-1,0.12,0,1,0,1,500,0.002,1,0
0.93,-1,0.12,0,1,0,1,500,0.002,1,0
0.932,-1,0.12,0,1,0,1,500,0.002,1,0
0.934,-1,0.12,0,1,0,1,500,0.002,1,0
0.936,-1,0.02,0,1,0,1,500,0.002,1,0
0.938,-1,0.02,0,1,0,1,500,0.002,1,0
0.94,-1,0.02,0,1,0,1,500,0.002,1,0
0.942,-1,0.02,0,1,0,1,500,0.002,1,0
0.944,-1,0.02,0,1,0,1,500,0.002,1,0
0.946,-1,0.02,0,1,0,1,500,0.002,1,0
0.946,-1,-0.08,0,1,0,1,500,0.002,1,0
0.948,-1,-0.08,0,1,0,1,500,0.002,1,0
0.95,-1,-0.08,0,1,0,1,500,0.002,1,0
0.952,-1,-0.08,0,1,0,1,500,0.002,1,0
0.954,-1,-0.08,0,1,0,1,500,0.002,1,0
0.956,-1,-0.08,0,1,0,1,500,0.002,1,0
0.956,-0.99,-0.18,0,1,0,1,500,0.002,1,0
0.958,-0.99,-0.18,0,1,0,1,500,0.002,1,0
0.96,-0.99,-0.18,0,1,0,1,500,0.002,1,0
0.962,-0.99,-0.18,0,1,0,1,500,0.002,1,0
0.964,-0.99,-0.18,0,1,0,1,500,0.002,1,0
0.966,-0.99,-0.18,0,1,0,1,500,0.002,1,0
0.966,-0.97,-0.28,0,1,0,1,500,0.002,1,0
0.968,-0.97,-0.28,0,1,0,1,500,0.002,1,0
0.97,-0.97,-0.28,0,1,0,1,500,0.002,1,0
0.972,-0.97,-0.28,0,1,0,1,500,0.002,1,0
0.974,-0.97,-0.28,0,1,0,1,500,0.002,1,0
0.976,-0.94,-0.37,0,1,0,1,500,0.002,1,0
0.978,-0.94,-0.37,0,1,0,1,500,0.002,1,0
0.98,-0.94,-0.37,0,1,0,1,500,0.002,1,0
0.982,-0.94,-0.37,0,1,0,1,500,0.002,1,0
0.984,-0.94,-0.37,0,1,0,1,500,0.002,1,0
0.986,-0.94,-0.37,0,1,0,1,500,0.002,1,0
0.986,-0.89,-0.46,0,1,0,1,500,0.002,1,0
0.988,-0.89,-0.46,0,1,0,1,500,0.002,1,0
0.99,-0.89,-0.46,0,1,0,1,500,0.002,1,0
0.992,-0.89,-0.46,0,1,0,1,500,0.002,1,0
0.994,-0.89,-0.46,0,1,0,1,500,0.002,1,0
0.996,-0.89,-0.46,0,1,0,1,500,0.002,1,0
0.996,-0.84,-0.55,0,1,0,1,500,0.002,1,0
0.998,-0.84,-0.55,0,1,0,1,500,0.002,1,0
1,-0.84,-0.55,0,1,0,1,500,0.002,1,0
1.002,-0.84,-0.55,0,1,0,1,500,0.002,1,0
1.004,-0.84,-0.55,0,1,0,1,500,0.002,1,0
1.006,-0.84,-0.55,0,1,0,1,500,0.002,1,0
1.006,-0.79,-0.63,0,1,0,1,500,0.002,1,0
1.008,-0.79,-0.63,0,1,0,1,500,0.002,1,0
1.01,-0.79,-0.63,0,1,0,1,500,0.002,1,0
1.012,-0.79,-0.63,0,1,0,1,500,0.002,1,0
1.014,-0.79,-0.63,0,1,0,1,500,0.002,1,0
1.016,-0.72,-0.7,0,1,0,1,500,0.002,1,0
1.018,-0.72,-0.7,0,1,0,1,500,0.002,1,0
1.02,-0.72,-0.7,0,1,0,1,500,0.002,1,0
1.022,-0.72,-0.7,0,1,0,1,500,0.002,1,0
1.024,-0.72,-0.7,0,1,0,1,500,0.002,1,0
1.026,-0.72,-0.7,0,1,0,1,500,0.002,1,0
1.026,-0.65,-0.77,0,1,0,1,500,0.002,1,0
1.028,-0.65,-0.77,0,1,0,1,500,0.002,1,0
1.03,-0.65,-0.77,0,1,0,1,500,0.002,1,0
1.032,-0.65,-0.77,0,1,0,1,500,0.002,1,0
1.034,-0.65,-0.77,0,1,0,1,500,0.002,1,0
1.036,-0.65,-0.77,0,1,0,1,500,0.002,1,0
1.036,-0.57,-0.83,0,1,0,1,500,0.002,1,0
1.038,-0.57,-0.83,0,1,0,1,500,0.002,1,0
1.04,-0.57,-0.83,0,1,0,1,500,0.002,1,0
1.042,-0.57,-0.83,0,1,0,1,500,0.002,1,0
1.044,-0.57,-0.83,0,1,0,1,500,0.002,1,0
1.046,-0.57,-0.83,0,1,0,1,500,0.002,1,0
1.046,-0.48,-0.88,0,1,0,1,500,0.002,1,0
1.048,-0.48,-0.88,0,1,0,1,500,0.002,1,0
1.05,-0.48,-0.88,0,1,0,1,500,0.002,1,0
1.052,-0.48,-0.88,0,1,0,1,500,0.002,1,0
1.054,-0.48,-0.88,0,1,0,1,500,0.002,1,0
1.056,-0.39,-0.93,0,1,0,1,500,0.002,1,0
1.058,-0.39,-0.93,0,1,0,1,500,0.002,1,0
1.06,-0.39,-0.93,0,1,0,1,500,0.002,1,0
1.062,-0.39,-0.93,0,1,0,1,500,0.002,1,0
1.064,-0.39,-0.93,0,1,0,1,500,0.002,1,0
1.066,-0.39,-0.93,0,1,0,1,500,0.002,1,0
1.066,-0.3,-0.96,0,1,0,1,500,0.002,1,0
1.068,-0.3,-0.96,0,1,0,1,500,0.002,1,0
1.07,-0.3,-0.96,0,1,0,1,500,0.002,1,0
1.072,-0.3,-0.96,0,1,0,1,500,0.002,1,0
1.074,-0.3,-0.96,0,1,0,1,500,0.002,1,0
1.076,-0.3,-0.96,0,1,0,1,500,0.002,1,0
1.076,-0.2,-0.99,0,1,0,1,500,0.002,1,0
1.078,-0.2,-0.99,0,1,0,1,500,0.002,1,0
1.08,-0.2,-0.99,0,1,0,1,500,0.002,1,0
1.082,-0.2,-0.99,0,1,0,1,500,0.002,1,0
1.084,-0.2,-0.99,0,1,0,1,500,0.002,1,0
1.086,-0.2,-0.99,0,1,0,1,500,0.002,1,0
1.086,-0.1,-1,0,1,0,1,500,0.002,1,0
1.088,-0.1,-1,0,1,0,1,500,0.002,1,0
1.09,-0.1,-1,0,1,0,1,500,0.002,1,0
1.092,-0.1,-1,0,1,0,1,500,0.002,1,0
1.094,-0.1,-1,0,1,0,1,500,0.002,1,0
1.096,0,-1,0,1,0,1,500,0.002,1,0
1.098,0,-1,0,1,0,1,500,0.002,1,0
1.1,0,-1,0,1,0,1,500,0.002,1,0
1.102,0,-1,0,1,0,1,500,0.002,1,0
1.104,0,-1,0,1,0,1,500,0.002,1,0
1.106,0,-1,0,1,0,1,500,0.002,1,0
1.106,0.1,-1,0,1,0,1,500,0.002,1,0
1.108,0.1,-1,0,1,0,1,500,0.002,1,0
1.11,0.1,-1,0,1,0,1,500,0.002,1,0
1.112,0.1,-1,0,1,0,1,500,0.002,1,0
1.114,0.1,-1,0,1,0,1,500,0.002,1,0
1.116,0.1,-1,0,1,0,1,500,0.002,1,0
1.116,0.2,-0.98,0,1,0,1,500,0.002,1,0
1.118,0.2,-0.98,0,1,0,1,500,0.002,1,0
1.12,0.2,-0.98,0,1,0,1,500,0.002,1,0
1.122,0.2,-0.98,0,1,0,1,500,0.002,1,0
1.124,0.2,-0.98,0,1,0,1,500,0.002,1,0
1.126,0.2,-0.98,0,1,0,1,500,0.002,1,0
1.126,0.29,-0.96,0,1,0,1,500,0.002,1,0
1.128,0.29,-0.96,0,1,0,1,500,0.002,1,0
1.13,0.29,-0.96,0,1,0,1,500,0.002,1,0
1.132,0.29,-0.96,0,1,0,1,500,0.002,1,0
1.134,0.29,-0.96,0,1,0,1,500,0.002,1,0
1.136,0.39,-0.92,0,1,0,1,500,0.002,1,0
1.138,0.39,-0.92,0,1,0,1,500,0.002,1,0
1.14,0.39,-0.92,0,1,0,1,500,0.002,1,0
1.142,0.39,-0.92,0,1,0,1,500,0.002,1,0
1.144,0.39,-0.92,0,1,0,1,500,0.002,1,0
1.146,0.39,-0.92,0,1,0,1,500,0.002,1,0
1.146,0.48,-0.88,0,1,0,1,500,0.002,1,0
1.148,0.48,-0.88,0,1,0,1,500,0.002,1,0
1.15,0.48,-0.88,0,1,0,1,500,0.002,1,0
1.152,0.48,-0.88,0,1,0,1,500,0.002,1,0
1.154,0.48,-0.88,0,1,0,1,500,0.002,1,0
1.156,0.48,-0.88,0,1,0,1,500,0.002,1,0
1.156,0.56,-0.83,0,1,0,1,500,0.002,1,0
1.158,0.56,-0.83,0,1,0,1,500,0.002,1,0
1.16,0.56,-0.83,0,1,0,1,500,0.002,1,0
1.162,0.56,-0.83,0,1,0,1,500,0.002,1,0
1.164,0.56,-0.83,0,1,0,1,500,0.002,1,0
1.166,0.56,-0.83,0,1,0,1,500,0.002,1,0
1.166,0.64,-0.77,0,1,0,1,500,0.002,1,0
1.168,0.64,-0.77,0,1,0,1,500,0.002,1,0
1.17,0.64,-0.77,0,1,0,1,500,0.002,1,0
1.172,0.64,-0.77,0,1,0,1,500,0.002,1,0
1.174,0.64,-0.77,0,1,0,1,500,0.002,1,0
1.176,0.72,-0.7,0,1,0,1,500,0.002,1,0
1.178,0.72,-0.7,0,1,0,1,500,0.002,1,0
1.18,0.72,-0.7,0,1,0,1,500,0.002,1,0
1.182,0.72,-0.7,0,1,0,1,500,0.002,1,0
1.184,0.72,-0.7,0,1,0,1,500,0.002,1,0
1.186,0.72,-0.7,0,1,0,1,500,0.002,1,0
1.186,0.78,-0.62,0,1,0,1,500,0.002,1,0
1.188,0.78,-0.62,0,1,0,1,500,0.002,1,0
1.19,0.78,-0.62,0,1,0,1,500,0.002,1,0
1.192,0.78,-0.62,0,1,0,1,500,0.002,1,0
1.194,0.78,-0.62,0,1,0,1,500,0.002,1,0
1.196,0.78,-0.62,0,1,0,1,500,0.002,1,0
1.196,0.84,-0.54,0,1,0,1,500,0.002,1,0
1.198,0.84,-0.54,0,1,0,1,500,0.002,1,0
1.2,0.84,-0.54,0,1,0,1,500,0.002,1,0
1.202,0.84,-0.54,0,1,0,1,500,0.002,1,0
1.204,0.84,-0.54,0,1,0,1,500,0.002,1,0
1.206,0.84,-0.54,0,1,0,1,500,0.002,1,0
1.206,0.89,-0.45,0,1,0,1,500,0.002,1,0
1.208,0.89,-0.45,0,1,0,1,500,0.002,1,0
1.21,0.89,-0.45,0,1,0,1,500,0.002,1,0
1.212,0.89,-0.45,0,1,0,1,500,0.002,1,0
1.214,0.89,-0.45,0,1,0,1,500,0.002,1,0
1.216,0.93,-0.36,0,1,0,1,500,0.002,1,0
1.218,0.93,-0.36,0,1,0,1,500,0.002,1,0
1.22,0.93,-0.36,0,1,0,1,500,0.002,1,0
1.222,0.93,-0.36,0,1,0,1,500,0.002,1,0
1.224,0.93,-0.36,0,1,0,1,500,0.002,1,0
1.226,0.93,-0.36,0,1,0,1,500,0.002,1,0
1.226,0.96,-0.27,0,1,0,1,500,0.002,1,0
1.228,0.96,-0.27,0,1,0,1,500,0.002,1,0
1.23,0.96,-0.27,0,1,0,1,500,0.002,1,0
1.232,0.96,-0.27,0,1,0,1,500,0.002,1,0
1.234,0.96,-0.27,0,1,0,1,500,0.002,1,0
1.236,0.96,-0.27,0,1,0,1,500,0.002,1,0
1.236,0.98,-0.17,0,1,0,1,500,0.002,1,0
1.238,0.98,-0.17,0,1,0,1,500,0.002,1,0
1.24,0.98,-0.17,0,1,0,1,500,0.002,1,0
1.242,0.98,-0.17,0,1,0,1,500,0.002,1,0
1.244,0.98,-0.17,0,1,0,1,500,0.002,1,0
1.246,0.98,-0.17,0,1,0,1,500,0.002,1,0
1.246,0.99,-0.07,0,1,0,1,500,0.002,1,0
1.248,0.99,-0.07,0,1,0,1,500,0.002,1,0
1.25,0.99,-0.07,0,1,0,1,500,0.002,1,0
1.252,0.99,-0.07,0,1,0,1,500,0.002,1,0
1.254,0.99,-0.07,0,1,0,1,500,0.002,1,0
1.256,0.99,0.03,0,1,0,1,500,0.002,1,0
1.258,0.99,0.03,0,1,0,1,500,0.002,1,0
1.26,0.99,0.03,0,1,0,1,500,0.002,1,0
1.262,0.99,0.03,0,1,0,1,500,0.002,1,0
1.264,0.99,0.03,0,1,0,1,500,0.002,1,0
1.266,0.99,0.03,0,1,0,1,500,0.002,1,0
1.266,0.99,0.13,0,1,0,1,500,0.002,1,0
1.268,0.99,0.13,0,1,0,1,500,0.002,1,0
1.27,0.99,0.13,0,1,0,1,500,0.002,1,0
1.272,0.99,0.13,0,1,0,1,500,0.002,1,0
1.274,0.99,0.13,0,1,0,1,500,0.002,1,0
1.276,0.99,0.13,0,1,0,1,500,0.002,1,0
1.276,0.97,0.23,0,1,0,1,500,0.002,1,0
1.278,0.97,0.23,0,1,0,1,500,0.002,1,0
1.28,0.97,0.23,0,1,0,1,500,0.002,1,0
1.282,0.97,0.23,0,1,0,1,500,0.002,1,0
1.284,0.97,0.23,0,1,0,1,500,0.002,1,0
1.286,0.97,0.23,0,1,0,1,500,0.002,1,0
1.286,0.94,0.32,0,1,0,1,500,0.002,1,0
1.288,0.94,0.32,0,1,0,1,500,0.002,1,0
1.29,0.94,0.32,0,1,0,1,500,0.002,1,0
1.292,0.94,0.32,0,1,0,1,500,0.002,1,0
1.294,0.94,0.32,0,1,0,1,500,0.002,1,0
1.296,0.9,0.42,0,1,0,1,500,0.002,1,0
1.298,0.9,0.42,0,1,0,1,500,0.002,1,0
1.3,0.9,0.42,0,1,0,1,500,0.002,1,0
1.302,0.9,0.42,0,1,0,1,500,0.002,1,0
1.304,0.9,0.42,0,1,0,1,500,0.002,1,0
1.306,0.9,0.42,0,1,0,1,500,0.002,1,0
1.306,0.86,0.5,0,1,0,1,500,0.002,1,0
1.308,0.86,0.5,0,1,0,1,500,0.002,1,0
1.31,0.86,0.5,0,1,0,1,500,0.002,1,0
1.312,0.86,0.5,0,1,0,1,500,0.002,1,0
1.314,0.86,0.5,0,1,0,1,500,0.002,1,0
1.316,0.86,0.5,0,1,0,1,500,0.002,1,0
1.316,0.8,0.59,0,1,0,1,500,0.002,1,0
1.318,0.8,0.59,0,1,0,1,500,0.002,1,0
1.32,0.8,0.59,0,1,0,1,500,0.002,1,0
1.322,0.8,0.59,0,1,0,1,500,0.002,1,0
1.324,0.8,0.59,0,1,0,1,500,0.002,1,0
1.326,0.8,0.59,0,1,0,1,500,0.002,1,0
1.326,0.74,0.66,0,1,0,1,500,0.002,1,0
1.328,0.74,0.66,0,1,0,1,500,0.002,1,0
1.33,0.74,0.66,0,1,0,1,500,0.002,1,0
1.332,0.74,0.66,0,1,0,1,500,0.002,1,0
1.334,0.74,0.66,0,1,0,1,500,0.002,1,0
1.336,0.67,0.74,0,1,0,1,500,0.002,1,0
1.338,0.67,0.74,0,1,0,1,500,0.002,1,0
1.34,0.67,0.74,0,1,0,1,500,0.002,1,0
1.342,0.67,0.74,0,1,0,1,500,0.002,1,0
1.344,0.67,0.74,0,1,0,1,500,0.002,1,0
1.346,0.67,0.74,0,1,0,1,500,0.002,1,0
1.346,0.59,0.8,0,1,0,1,500,0.002,1,0
1.348,0.59,0.8,0,1,0,1,500,0.002,1,0
1.35,0.59,0.8,0,1,0,1,500,0.002,1,0
1.352,0.59,0.8,0,1,0,1,500,0.002,1,0
1.354,0.59,0.8,0,1,0,1,500,0.002,1,0
1.356,0.59,0.8,0,1,0,1,500,0.002,1,0
1.356,0.51,0.85,0,1,0,1,500,0.002,1,0
1.358,0.51,0.85,0,1,0,1,500,0.002,1,0
1.36,0.51,0.85,0,1,0,1,500,0.002,1,0
1.362,0.51,0.85,0,1,0,1,500,0.002,1,0
1.364,0.51,0.85,0,1,0,1,500,0.002,1,0
1.366,0.51,0.85,0,1,0,1,500,0.002,1,0
1.366,0.42,0.9,0,1,0,1,500,0.002,1,0
1.368,0.42,0.9,0,1,0,1,500,0.002,1,0
1.37,0.42,0.9,0,1,0,1,500,0.002,1,0
1.372,0.42,0.9,0,1,0,1,500,0.002,1,0
1.374,0.42,0.9,0,1,0,1,500,0.002,1,0
1.376,0.33,0.94,0,1,0,1,500,0.002,1,0
1.378,0.33,0.94,0,1,0,1,500,0.002,1,0
1.38,0.33,0.94,0,1,0,1,500,0.002,1,0
1.382,0.33,0.94,0,1,0,1,500,0.002,1,0
1.384,0.33,0.94,0,1,0,1,500,0.002,1,0
1.386,0.33,0.94,0,1,0,1,500,0.002,1,0
1.386,0.23,0.97,0,1,0,1,500,0.002,1,0
1.388,0.23,0.97,0,1,0,1,500,0.002,1,0
1.39,0.23,0.97,0,1,0,1,500,0.002,1,0
1.392,0.23,0.97,0,1,0,1,500,0.002,1,0
1.394,0.23,0.97,0,1,0,1,500,0.002,1,0
1.396,0.23,0.97,0,1,0,1,500,0.002,1,0
1.396,0.13,0.99,0,1,0,1,500,0.002,1,0
1.398,0.13,0.99,0,1,0,1,500,0.002,1,0
1.4,0.13,0.99,0,1,0,1,500,0.002,1,0
1.402,0.13,0.99,0,1,0,1,500,0.002,1,0
1.404,0.13,0.99,0,1,0,1,500,0.002,1,0
1.406,0.13,0.99,0,1,0,1,500,0.002,1,0
1.406,0.03,0.99,0,1,0,1,500,0.002,1,0
1.408,0.03,0.99,0,1,0,1,500,0.002,1,0
1.41,0.03,0.99,0,1,0,1,500,0.002,1,0
1.412,0.03,0.99,0,1,0,1,500,0.002,1,0
1.414,0.03,0.99,0,1,0,1,500,0.002,1,0
1.416,-0.07,0.99,0,1,0,1,500,0.002,1,0
1.418,-0.07,0.99,0,1,0,1,500,0.002,1,0
1.42,-0.07,0.99,0,1,0,1,500,0.002,1,0
1.422,-0.07,0.99,0,1,0,1,500,0.002,1,0
1.424,-0.07,0.99,0,1,0,1,500,0.002,1,0
1.426,-0.07,0.99,0,1,0,1,500,0.002,1,0
1.426,-0.17,0.98,0,1,0,1,500,0.002,1,0
1.428,-0.17,0.98,0,1,0,1,500,0.002,1,0
1.43,-0.17,0.98,0,1,0,1,500,0.002,1,0
1.432,-0.17,0.98,0,1,0,1,500,0.002,1,0
1.434,-0.17,0.98,0,1,0,1,500,0.002,1,0
1.436,-0.17,0.98,0,1,0,1,500,0.002,1,0
1.436,-0.26,0.96,0,1,0,1,500,0.002,1,0
1.438,-0.26,0.96,0,1,0,1,500,0.002,1,0
1.44,-0.26,0.96,0,1,0,1,500,0.002,1,0
1.442,-0.26,0.96,0,1,0,1,500,0.002,1,0
1.444,-0.26,0.96,0,1,0,1,500,0.002,1,0
1.446,-0.26,0.96,0,1,0,1,500,0.002,1,0
1.446,-0.36,0.93,0,1,0,1,500,0.002,1,0
1.448,-0.36,0.93,0,1,0,1,500,0.002,1,0
1.45,-0.36,0.93,0,1,0,1,500,0.002,1,0
1.452,-0.36,0.93,0,1,0,1,500,0.002,1,0
1.454,-0.36,0.93,0,1,0,1,500,0.002,1,0
1.456,-0.45,0.89,0,1,0,1,500,0.002,1,0
1.458,-0.45,0.89,0,1,0,1,500,0.002,1,0
1.46,-0.45,0.89,0,1,0,1,500,0.002,1,0
1.462,-0.45,0.89,0,1,0,1,500,0.002,1,0
1.464,-0.45,0.89,0,1,0,1,500,0.002,1,0
1.466,-0.45,0.89,0,1,0,1,500,0.002,1,0
1.466,-0.54,0.84,0,1,0,1,500,0.002,1,0
1.468,-0.54,0.84,0,1,0,1,500,0.002,1,0
1.47,-0.54,0.84,0,1,0,1,500,0.002,1,0
1.472,-0.54,0.84,0,1,0,1,500,0.002,1,0
1.474,-0.54,0.84,0,1,0,1,500,0.002,1,0
1.476,-0.54,0.84,0,1,0,1,500,0.002,1,0
1.476,-0.62,0.78,0,1,0,1,500,0.002,1,0
1.478,-0.62,0.78,0,1,0,1,500,0.002,1,0
1.48,-0.62,0.78,0,1,0,1,500,0.002,1,0
1.482,-0.62,0.78,0,1,0,1,500,0.002,1,0
1.484,-0.62,0.78,0,1,0,1,500,0.002,1,0
1.486,-0.62,0.78,0,1,0,1,500,0.002,1,0
1.486,-0.7,0.72,0,1,0,1,500,0.002,1,0
1.488,-0.7,0.72,0,1,0,1,500,0.002,1,0
1.49,-0.7,0.72,0,1,0,1,500,0.002,1,0
1.492,-0.7,0.72,0,1,0,1,500,0.002,1,0
1.494,-0.7,0.72,0,1,0,1,500,0.002,1,0
1.496,-0.76,0.65,0,1,0,1,500,0.002,1,0
1.498,-0.76,0.65,0,1,0,1,500,0.002,1,0
1.5,-0.76,0.65,0,1,0,1,500,0.002,1,0
1.502,-0.76,0.65,0,1,0,1,500,0.002,1,0
1.504,-0.76,0.65,0,1,0,1,500,0.002,1,0
1.506,-0.76,0.65,0,1,0,1,500,0.002,1,0
1.506,-0.83,0.57,0,1,0,1,500,0.002,1,0
1.508,-0.83,0.57,0,1,0,1,500,0.002,1,0
1.51,-0.83,0.57,0,1,0,1,500,0.002,1,0
1.512,-0.83,0.57,0,1,0,1,500,0.002,1,0
1.514,-0.83,0.57,0,1,0,1,500,0.002,1,0
1.516,-0.83,0.57,0,1,0,1,500,0.002,1,0
1.516,-0.88,0.48,0,1,0,1,500,0.002,1,0
1.518,-0.88,0.48,0,1,0,1,500,0.002,1,0
1.52,-0.88,0.48,0,1,0,1,500,0.002,1,0
1.522,-0.88,0.48,0,1,0,1,500,0.002,1,0
1.524,-0.88,0.48,0,1,0,1,500,0.002,1,0
1.526,-0.88,0.48,0,1,0,1,500,0.002,1,0
1.526,-0.92,0.39,0,1,0,1,500,0.002,1,0
1.528,-0.92,0.39,0,1,0,1,500,0.002,1,0
1.53,-0.92,0.39,0,1,0,1,500,0.002,1,0
1.532,-0.92,0.39,0,1,0,1,500,0.002,1,0
1.534,-0.92,0.39,0,1,0,1,500,0.002,1,0
1.536,-0.96,0.3,0,1,0,1,500,0.002,1,0
1.538,-0.96,0.3,0,1,0,1,500,0.002,1,0
1.54,-0.96,0.3,0,1,0,1,500,0.002,1,0
