"time","egsCarSpeed","egsGear","egsState","egsTargetGear","tShiftStart","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3"
3.79,54.71379,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.81,54.99943,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.83,55.2843,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.86,55.7102,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.88,55.99319,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.9,56.27543,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.92,56.55691,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.95,56.977737,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.97,57.257343,2,1,2,2.44,0,0,0,0,0,0,1,0,0
3.99,57.536205,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.01,57.814316,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.03,58.09169,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.06,58.506348,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.08,58.78185,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.1,59.056614,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.12,59.330627,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.15,59.740276,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.17,60.01245,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.19,60.283882,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.21,60.55458,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.24,60.959244,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.26,61.228104,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.28,61.49624,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.3,61.76363,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.33,62.163345,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.35,62.42892,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.37,62.693764,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.39,62.957882,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.42,63.352695,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.44,63.615,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.46,63.876587,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.48,64.13745,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.51,64.52739,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.53,64.78646,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.55,65.04481,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.57,65.30244,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.59,65.55936,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.62,65.9434,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.64,66.19853,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.66,66.452965,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.68,66.70669,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.71,67.085945,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.73,67.33789,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.75,67.58914,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.77,67.83969,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.8,68.214195,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.82,68.46299,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.84,68.71108,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.86,68.958534,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.89,69.32897,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.91,69.57425,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.93,69.819275,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.95,70.06382,2,1,2,2.44,0,0,0,0,0,0,1,0,0
4.98,70.42917,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5,70.67188,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.02,70.91395,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.04,71.15535,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.06,71.39607,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.09,71.755905,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.11,71.99496,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.13,72.23335,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.15,72.47108,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.18,72.82643,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.2,73.06148,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.22,73.29364,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.24,73.52648,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.27,73.87585,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.29,74.106636,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.31,74.33622,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.33,74.5648,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.36,74.90546,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.38,75.13108,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.4,75.35556,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.42,75.578896,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.45,75.91175,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.47,76.132225,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.49,76.35157,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.51,76.569786,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.53,76.78688,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.56,77.11043,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.58,77.32473,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.6,77.53795,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.62,77.75003,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.65,78.06613,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.67,78.275505,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.69,78.48378,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.71,78.69099,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.74,78.99977,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.76,79.2043,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.78,79.40775,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.8,79.61015,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.83,79.91179,2,1,2,2.44,0,0,0,0,0,0,1,0,0
5.85,80.11156,2,2,3,5.83,0,0,0,0,0,0,0,0,0
5.87,77.403755,2,2,3,5.83,0,0,0,0,0,0,0,0,0
5.89,80.14122,2,2,3,5.83,0,0,0,0,0,0,0,0,0
5.92,81.33115,2,2,3,5.83,0,0,0,0,0,0,0,0,0
5.94,81.541695,2,2,3,5.83,0,0,0,0,0,0,0,0,0
5.96,81.72111,2,2,3,5.83,0,0,0,0,0,0,0,0,0
5.98,81.90441,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.01,82.18078,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.03,82.36473,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.05,82.54839,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.07,82.73183,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.09,82.91503,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.12,83.18942,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.14,83.37206,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.16,83.554474,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.18,83.736664,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.21,84.00954,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.23,84.19116,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.25,84.37257,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.27,84.55374,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.3,84.82508,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.32,85.00569,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.34,85.18607,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.36,85.366234,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.39,85.636055,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.41,85.81565,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.43,85.99503,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.45,86.17418,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.48,86.44248,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.5,86.62106,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.52,86.79943,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.54,86.97758,2,2,3,5.83,0,0,0,0,0,0,0,0,0
