      "time","light_intensity","light_switch",  "resetReq", "headlight","on_counter","off_counter","on_counter_byType","off_counter_byType","light_switch_old_byType","qtronic.silver.real_time","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.env.EulerSteps","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
      1.66,        40,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.67,        34,         2,         0,         0,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.68,        30,         2,         0,         0,         1,         0,         1,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.69,        28,         2,         0,         0,         2,         0,         2,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       1.7,        27,         2,         0,         0,         3,         0,         3,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.71,    27.075,         2,         0,         0,         4,         0,         4,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.72,     27.15,         2,         0,         0,         5,         0,         5,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.73,    27.225,         2,         0,         0,         6,         0,         6,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.74,      27.3,         2,         0,         0,         7,         0,         7,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.75,    27.375,         2,         0,         0,         8,         0,         8,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.76,     27.45,         2,         0,         0,         9,         0,         9,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.77,    27.525,         2,         0,         0,        10,         0,        10,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.78,      27.6,         2,         0,         0,        11,         0,        11,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.79,    27.675,         2,         0,         0,        12,         0,        12,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       1.8,     27.75,         2,         0,         0,        13,         0,        13,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.81,    27.825,         2,         0,         0,        14,         0,        14,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.82,      27.9,         2,         0,         0,        15,         0,        15,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.83,    27.975,         2,         0,         0,        16,         0,        16,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.84,     28.05,         2,         0,         0,        17,         0,        17,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.85,    28.125,         2,         0,         0,        18,         0,        18,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.86,      28.2,         2,         0,         0,        19,         0,        19,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.87,    28.275,         2,         0,         0,        20,         0,        20,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.88,     28.35,         2,         0,         0,        21,         0,        21,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.89,    28.425,         2,         0,         0,        22,         0,        22,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       1.9,      28.5,         2,         0,         0,        23,         0,        23,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.91,    28.575,         2,         0,         0,        24,         0,        24,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.92,     28.65,         2,         0,         0,        25,         0,        25,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.93,    28.725,         2,         0,         0,        26,         0,        26,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.94,      28.8,         2,         0,         0,        27,         0,        27,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.95,    28.875,         2,         0,         0,        28,         0,        28,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.96,     28.95,         2,         0,         0,        29,         0,        29,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.97,    29.025,         2,         0,         0,        30,         0,        30,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.98,      29.1,         2,         0,         0,        31,         0,        31,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      1.99,    29.175,         2,         0,         0,        32,         0,        32,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
         2,     29.25,         2,         0,         0,        33,         0,        33,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.01,    29.325,         2,         0,         0,        34,         0,        34,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.02,      29.4,         2,         0,         0,        35,         0,        35,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.03,    29.475,         2,         0,         0,        36,         0,        36,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.04,     29.55,         2,         0,         0,        37,         0,        37,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.05,    29.625,         2,         0,         0,        38,         0,        38,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.06,      29.7,         2,         0,         0,        39,         0,        39,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.07,    29.775,         2,         0,         0,        40,         0,        40,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.08,     29.85,         2,         0,         0,        41,         0,        41,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.09,    29.925,         2,         0,         0,        42,         0,        42,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       2.1,        30,         2,         0,         0,        43,         0,        43,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.11,    30.075,         2,         0,         0,        44,         0,        44,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.12,     30.15,         2,         0,         0,        45,         0,        45,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.13,    30.225,         2,         0,         0,        46,         0,        46,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.14,      30.3,         2,         0,         0,        47,         0,        47,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.15,    30.375,         2,         0,         0,        48,         0,        48,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.16,     30.45,         2,         0,         0,        49,         0,        49,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.17,    30.525,         2,         0,         0,        50,         0,        50,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.18,      30.6,         2,         0,         0,        51,         0,        51,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.19,    30.675,         2,         0,         0,        52,         0,        52,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       2.2,     30.75,         2,         0,         0,        53,         0,        53,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.21,    30.825,         2,         0,         0,        54,         0,        54,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.22,      30.9,         2,         0,         0,        55,         0,        55,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.23,    30.975,         2,         0,         0,        56,         0,        56,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.24,     31.05,         2,         0,         0,        57,         0,        57,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.25,    31.125,         2,         0,         0,        58,         0,        58,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.26,      31.2,         2,         0,         0,        59,         0,        59,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.27,    31.275,         2,         0,         0,        60,         0,        60,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.28,     31.35,         2,         0,         0,        61,         0,        61,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.29,    31.425,         2,         0,         0,        62,         0,        62,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       2.3,      31.5,         2,         0,         0,        63,         0,        63,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.31,    31.575,         2,         0,         0,        64,         0,        64,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.32,     31.65,         2,         0,         0,        65,         0,        65,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.33,    31.725,         2,         0,         0,        66,         0,        66,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.34,      31.8,         2,         0,         0,        67,         0,        67,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.35,    31.875,         2,         0,         0,        68,         0,        68,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.36,     31.95,         2,         0,         0,        69,         0,        69,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.37,    32.025,         2,         0,         0,        70,         0,        70,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.38,      32.1,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.39,    32.175,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       2.4,     32.25,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.41,    32.325,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.42,      32.4,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.43,    32.475,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.44,     32.55,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.45,    32.625,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.46,      32.7,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.47,    32.775,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.48,     32.85,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.49,    32.925,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       2.5,        33,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.51,        48,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.52,        60,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.53,        72,         2,         0,         1,         0,         1,         0,         1,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.54,        88,         2,         0,         1,         0,         2,         0,         2,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.55,       100,         2,         0,         1,         0,         3,         0,         3,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      2.56,       100,         2,         0,         1,         0,         4,         0,         4,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
