"time","valves_mv1","valves_mv2","valves_mv3","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","egsCarSpeed","egsState","egsGear","egsTargetGear","tShiftStart"
16.87,0,1,0,0,0,0,1,0,1,148.705,1,4,4,10.82
16.94,0,1,0,0,0,0,1,0,1,149.041,1,4,4,10.82
17.01,0,1,0,0,0,0,1,0,1,149.376,1,4,4,10.82
17.08,0,1,0,0,0,0,1,0,1,149.71,1,4,4,10.82
17.15,0,1,0,0,0,0,1,0,1,150.042,1,4,4,10.82
17.22,0,1,0,0,0,0,1,0,1,150.372,1,4,4,10.82
17.29,0,1,0,0,0,0,1,0,1,150.7,1,4,4,10.82
17.36,0,1,0,0,0,0,1,0,1,151.027,1,4,4,10.82
17.43,0,1,0,0,0,0,1,0,1,151.352,1,4,4,10.82
17.5,0,1,0,0,0,0,1,0,1,151.676,1,4,4,10.82
17.57,0,1,0,0,0,0,1,0,1,151.997,1,4,4,10.82
17.64,0,1,0,0,0,0,1,0,1,152.317,1,4,4,10.82
17.71,0,1,0,0,0,0,1,0,1,152.636,1,4,4,10.82
17.78,0,1,0,0,0,0,1,0,1,152.952,1,4,4,10.82
17.85,0,1,0,0,0,0,1,0,1,153.268,1,4,4,10.82
17.92,0,1,0,0,0,0,1,0,1,153.581,1,4,4,10.82
17.99,0,1,0,0,0,0,1,0,1,153.893,1,4,4,10.82
18.06,0,1,0,0,0,0,1,0,1,154.203,1,4,4,10.82
18.13,0,1,0,0,0,0,1,0,1,154.512,1,4,4,10.82
18.2,0,1,0,0,0,0,1,0,1,154.818,1,4,4,10.82
18.27,0,1,0,0,0,0,1,0,1,155.124,1,4,4,10.82
18.34,0,1,0,0,0,0,1,0,1,155.428,1,4,4,10.82
18.41,0,1,0,0,0,0,1,0,1,155.73,1,4,4,10.82
18.48,0,1,0,0,0,0,1,0,1,156.03,1,4,4,10.82
18.55,0,1,0,0,0,0,1,0,1,156.329,1,4,4,10.82
18.62,0,1,0,0,0,0,1,0,1,156.627,1,4,4,10.82
18.69,0,1,0,0,0,0,1,0,1,156.923,1,4,4,10.82
18.76,0,1,0,0,0,0,1,0,1,157.217,1,4,4,10.82
18.83,0,1,0,0,0,0,1,0,1,157.51,1,4,4,10.82
18.9,0,1,0,0,0,0,1,0,1,157.801,1,4,4,10.82
18.97,0,1,0,0,0,0,1,0,1,158.091,1,4,4,10.82
19.04,0,1,0,0,0,0,1,0,1,158.379,1,4,4,10.82
19.11,0,1,0,0,0,0,1,0,1,158.665,1,4,4,10.82
19.18,0,1,0,0,0,0,1,0,1,158.95,1,4,4,10.82
19.25,0,1,0,0,0,0,1,0,1,159.234,1,4,4,10.82
19.32,0,1,0,0,0,0,1,0,1,159.516,1,4,4,10.82
19.39,0,1,0,0,0,0,1,0,1,159.797,1,4,4,10.82
19.46,0,1,0,0,0,0.02,0.98,0,1,160.076,2,4,5,19.44
19.53,0,1,0,0,0,0.16,0.84,0,1,159.922,2,4,5,19.44
19.6,0,1,0,0,0,0.3,0.7,0,1,159.52,2,4,5,19.44
19.67,0,1,0,0,0,0.44,0.56,0,1,158.653,2,4,5,19.44
19.74,0,1,0,0,0,0.58,0.42,0,1,158.588,2,4,5,19.44
19.81,0,1,0,0,0,0.72,0.28,0,1,157.168,2,4,5,19.44
19.88,0,1,0,0,0,0.86,0.14,0,1,156.764,2,4,5,19.44
19.95,0,1,0,0,0,1,0,0,1,156.747,2,4,5,19.44
20.02,0,1,0,0,0,1,0,0,1,156.832,2,4,5,19.44
