"time","freqHz","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","J1.phi","J1.w"
0.62,0.2,0.4,-2.9791834113229,-1.0741213035416,-1.3431068388777,-1.1933368136716,-0.24200007321026,-2.1999999999994,4.5642903234109,4.4674581172127
0.63,0.2,0.4,-2.9900491213641,-1.1030083260567,-1.3543947790987,-1.0641033121723,-0.26450007321026,-2.2999999999994,4.608943973673,4.4671116382285
0.64,0.2,0.4,-3.0013107968819,-1.1519965837712,-1.3643859264202,-0.93397638375323,-0.28800007321025,-2.3999999999994,4.6536967965124,4.4859729675239
0.65,0.2,0.4,-3.0131272911881,-1.2124222028145,-1.373071291286,-0.8029449946463,-0.31250007321024,-2.4999999999994,4.6986986556843,4.5153671974603
0.66,0.2,0.4,-3.0255653445826,-1.2746785248783,-1.3804417745148,-0.67099825390839,-0.33800007321023,-2.5999999999994,4.7440071923076,4.5456767787861
0.67,0.2,0.4,-3.0385948298574,-1.3291586025888,-1.3864881687371,-0.53812541514095,-0.36450007321022,-2.6999999999994,4.7895830718047,4.5672840177291
0.68,0.2,0.4,-3.0520935010119,-1.3671976949216,-1.3912011598495,-0.40431587818707,-0.39200007321021,-2.7999999999994,4.8352947340716,4.571513573108
0.69,0.2,0.4,-3.065860780061,-1.381923504311,-1.3945713284848,-0.26955919080533,-0.4205000732102,-2.8999999999994,4.880932181756,4.5514826951157
0.7,0.2,0.4,-3.0796392164209,-1.3689292462979,-1.3965890709111,-0.13384499355443,-0.45000013239047,-2.9999999999994,4.9262284197225,4.5027742398517
0.71,0.2,0.4,-3.0931414341322,-1.3252949193523,-1.3972452156751,9.9946567406854e-14,-0.4804999889825,-3.0985816191631,4.9708866387898,4.4238765385153
0.72,0.2,0.4,-3.1057227066292,-1.1865698619817,-1.3972452156751,9.9946567406854e-14,-0.51164208464816,-3.129751915493,5.0146100069525,4.3163217774746
0.73,0.2,0.4,-3.1167933751397,-1.0241200363552,-1.3972452156751,9.9946567406854e-14,-0.54309340011478,-3.1604285175297,5.0571319909296,4.1845485538848
0.74,0.2,0.4,-3.1261488324234,-0.84485153331759,-1.3972452156751,9.9946567406854e-14,-0.57484899276438,-3.1906065515835,5.0982430408629,4.035458084901
0.75,0.2,0.4,-3.1336632330004,-0.65746459065994,-1.3972452156751,9.9946567406854e-14,-0.60690385302393,-3.2202812521929,5.1378123016995,3.8777458428527
0.76,0.2,0.4,-3.1393032054258,-0.47160170651448,-1.3972452156751,9.9946567406854e-14,-0.63925292406258,-3.2494479333787,5.1758013451635,3.7210496398931
