Time,Piston_frame_a_r_0_1,Piston_frame_a_r_0_2,Piston_frame_a_r_0_3
0.414,0.15,0.201676,0
0.415,0.15,0.209705,0
0.416,0.15,0.22455,0
0.417,0.15,0.245804,0
0.418,0.15,0.272016,0
0.419,0.15,0.301157,0
0.42,0.15,0.331172,0
0.421,0.15,0.359893,0
0.422,0.15,0.384234,0
0.423,0.15,0.39866,0
0.424,0.15,0.396558,0
0.425,0.15,0.379051,0
0.426,0.15,0.353002,0
0.427,0.15,0.323223,0
0.428,0.15,0.29253,0
0.429,0.15,0.263181,0
0.43,0.15,0.237532,0
0.431,0.15,0.217825,0
0.432,0.15,0.205338,0
0.433,0.15,0.20018,0
0.434,0.15,0.202116,0
0.435,0.15,0.21126,0
0.436,0.15,0.227804,0
0.437,0.15,0.251113,0
0.438,0.15,0.279362,0
0.439,0.15,0.310217,0
0.44,0.15,0.341355,0
0.441,0.15,0.370112,0
0.442,0.15,0.392135,0
0.443,0.15,0.399916,0
0.444,0.15,0.388906,0
0.445,0.15,0.365006,0
0.446,0.15,0.335149,0
0.447,0.15,0.303261,0
0.448,0.15,0.272005,0
0.449,0.15,0.243963,0
0.45,0.15,0.221759,0
0.451,0.15,0.207157,0
0.452,0.15,0.200506,0
0.453,0.15,0.201539,0
0.454,0.15,0.210323,0
0.455,0.15,0.227099,0
0.456,0.15,0.251225,0
0.457,0.15,0.280677,0
0.458,0.15,0.312839,0
0.459,0.15,0.345099,0
0.46,0.15,0.374341,0
0.461,0.15,0.395169,0
0.462,0.15,0.398868,0
0.463,0.15,0.38302,0
0.464,0.15,0.355696,0
0.465,0.15,0.323599,0
0.466,0.15,0.290454,0
0.467,0.15,0.259103,0
0.468,0.15,0.232498,0
0.469,0.15,0.213254,0
0.47,0.15,0.20253,0
0.471,0.15,0.200188,0
0.472,0.15,0.206077,0
0.473,0.15,0.220483,0
0.474,0.15,0.243183,0
0.475,0.15,0.272388,0
0.476,0.15,0.305271,0
0.477,0.15,0.338929,0
0.478,0.15,0.370105,0
0.479,0.15,0.393389,0
0.48,0.15,0.399369,0
0.481,0.15,0.384038,0
0.482,0.15,0.355926,0
0.483,0.15,0.322647,0
0.484,0.15,0.288353,0
0.485,0.15,0.256204,0
0.486,0.15,0.229459,0
0.487,0.15,0.210858,0
0.488,0.15,0.201396,0
0.489,0.15,0.200827,0
0.49,0.15,0.209109,0
0.491,0.15,0.226552,0
0.492,0.15,0.252455,0
0.493,0.15,0.284346,0
0.494,0.15,0.319017,0
0.495,0.15,0.353223,0
0.496,0.15,0.382662,0
0.497,0.15,0.399226,0
0.498,0.15,0.393214,0
0.499,0.15,0.36867,0
0.5,0.15,0.36867,0
