"time","DoublePendulum_cc.revolute1.w","DoublePendulum_cc.revolute2.w"
2.481,-2.0353885,-7.5262304
2.484,-2.1222412,-7.2500916
2.487,-2.2021439,-6.9913067
2.49,-2.2780232,-6.7405421
2.493,-2.3476076,-6.5054939
2.496,-2.4179673,-6.2619467
2.499,-2.4821705,-6.0335691
2.502,-2.5426241,-5.8121233
2.505,-2.5975678,-5.6044165
2.508,-2.6525788,-5.3890544
2.511,-2.7022293,-5.1869766
2.514,-2.7484283,-4.9909218
2.517,-2.7912502,-4.8006948
2.52,-2.8307689,-4.6161129
2.523,-2.867058,-4.4370046
2.526,-2.9001904,-4.26321
2.529,-2.9302385,-4.0945794
2.532,-2.9572741,-3.9309729
2.535,-2.9813683,-3.7722598
2.538,-3.0025917,-3.6183177
2.541,-3.0210143,-3.4690323
2.544,-3.0367054,-3.3242961
2.547,-3.0497338,-3.1840084
2.55,-3.0601677,-3.0480744
2.553,-3.0680746,-2.916405
2.556,-3.0735212,-2.7889159
2.559,-3.0765738,-2.6655274
2.562,-3.0773106,-2.5500785
2.565,-3.0757582,-2.4307532
2.568,-3.0720187,-2.3192269
2.571,-3.0661424,-2.2115192
2.574,-3.0584897,-2.1109723
2.577,-3.0482285,-2.0073097
2.58,-3.0363128,-1.9106884
2.583,-3.0225044,-1.8176465
2.586,-3.0074123,-1.7310563
2.589,-2.989443,-1.6420808
2.592,-2.9703042,-1.5594506
2.595,-2.949501,-1.4801862
2.598,-2.9278602,-1.4067156
2.601,-2.9031176,-1.3315526
2.604,-2.8776429,-1.2620839
2.607,-2.8507143,-1.195782
2.61,-2.8233482,-1.1346546
2.613,-2.7926936,-1.0724843
2.616,-2.7616973,-1.0153922
2.619,-2.7294389,-0.96127407
2.622,-2.6970983,-0.91174188
2.625,-2.6613142,-0.86176854
2.628,-2.625534,-0.81628552
2.631,-2.588664,-0.77358518
2.634,-2.5520246,-0.73490816
2.637,-2.5118133,-0.69634041
2.64,-2.4719092,-0.66169953
2.643,-2.4310683,-0.62964839
2.646,-2.389326,-0.60013825
2.649,-2.3467165,-0.57312016
2.652,-2.303273,-0.54854491
2.655,-2.2590275,-0.52636302
2.658,-2.214011,-0.50652474
2.661,-2.1682536,-0.48898004
2.664,-2.1217841,-0.47367862
2.667,-2.0746305,-0.46056986
2.67,-2.02682,-0.44960288
2.673,-1.9783786,-0.44072649
2.676,-1.9293315,-0.4338892
2.679,-1.8797032,-0.42903926
2.682,-1.8295171,-0.42612459
2.685,-1.778796,-0.42509286
2.688,-1.7275618,-0.42589145
2.691,-1.6775676,-0.42835353
2.694,-1.6236381,-0.43276777
2.697,-1.5709888,-0.43873892
2.7,-1.5179069,-0.44632726
2.703,-1.4662005,-0.45514921
2.706,-1.4105184,-0.46613964
2.709,-1.3562468,-0.47825519
2.712,-1.3016126,-0.49177093
2.715,-1.2484701,-0.50611564
2.718,-1.1913205,-0.52278376
2.721,-1.135693,-0.54017074
2.724,-1.0797642,-0.55873776
2.727,-1.0254264,-0.57775544
2.73,-0.96705808,-0.59918996
2.733,-0.91030748,-0.62096384
2.736,-0.85330895,-0.6436952
2.739,-0.79798622,-0.66652643
2.742,-0.73861675,-0.69180663
2.745,-0.68094646,-0.71707466
2.748,-0.62307496,-0.74307611
2.751,-0.56695136,-0.76885525
2.754,-0.50677095,-0.79705476
2.757,-0.44835883,-0.82491964
2.76,-0.38978634,-0.85329337
2.763,-0.33302263,-0.88115225
2.766,-0.27219736,-0.91134295
2.769,-0.21319862,-0.94090669
2.772,-0.15407504,-0.97075511
2.775,-0.094834748,-1.0008323
2.778,-0.035485562,-1.0310826
2.781,0.023964971,-1.0614502
2.784,0.083509577,-1.0918796
2.787,0.14314125,-1.1223153
2.79,0.20285326,-1.1527022
2.793,0.26263909,-1.1829849
2.796,0.32249251,-1.2131086
2.799,0.38240749,-1.2430184
2.802,0.44237822,-1.2726596
2.805,0.50239913,-1.3019778
2.808,0.56246484,-1.3309185
2.811,0.62257013,-1.3594278
2.814,0.68270998,-1.3874516
2.817,0.74287954,-1.4149362
2.82,0.80106724,-1.4409416
2.823,0.863289,-1.4680734
2.826,0.92351983,-1.4936194
2.829,0.98376217,-1.5184129
2.832,1.0420033,-1.5416149
2.835,1.1042641,-1.5655309
2.838,1.1645152,-1.5877502
2.841,1.2247607,-1.6090064
2.844,1.2829887,-1.6285895
2.847,1.3452177,-1.6484207
2.85,1.4054203,-1.6664746
2.853,1.4655997,-1.6833574
2.856,1.5237466,-1.6985153
2.859,1.5858696,-1.7134021
2.862,1.64595,-1.726461
2.865,1.7059868,-1.7381423
2.868,1.7639755,-1.7480764
2.871,1.8259062,-1.7571667
2.874,1.8857761,-1.7644073
2.877,1.9455769,-1.7700654
2.88,2.0033114,-1.7739825
2.883,2.0649399,-1.7764295
2.886,2.1244852,-1.7770336
2.889,2.1839272,-1.775851
2.892,2.2412799,-1.7729619
2.895,2.3024592,-1.767923
2.898,2.3615259,-1.7610759
2.901,2.4204426,-1.7522393
2.904,2.4772397,-1.7417585
2.907,2.5377687,-1.7283952
2.91,2.5961463,-1.713287
2.913,2.6543103,-1.6959877
2.916,2.7122415,-1.6764472
2.919,2.7699194,-1.6546158
2.922,2.8273219,-1.6304439
2.925,2.884425,-1.603882
2.928,2.9412033,-1.5748811
2.931,2.9976295,-1.5433924
2.934,3.0536744,-1.5093677
2.937,3.1093067,-1.4727589
2.94,3.1644933,-1.4335185
2.943,3.2191987,-1.3915997
2.946,3.2733852,-1.346956
2.949,3.3252349,-1.3011673
2.952,3.3800398,-1.2493119
2.955,3.4324207,-1.1962222
2.958,3.4841084,-1.1402293
2.961,3.5333674,-1.0833032
2.964,3.585202,-1.0193647
2.967,3.6345001,-0.95441093
2.97,3.6828894,-0.88638997
2.973,3.7287447,-0.81768488
2.976,3.7766956,-0.74099477
2.979,3.8219827,-0.66354785
2.982,3.8661013,-0.5828885
2.985,3.9075707,-0.50183322
2.988,3.9505419,-0.41180221
2.991,3.9907119,-0.32131383
2.994,4.0294091,-0.22749018
2.997,4.0653386,-0.13359833
3,4.1020515,-0.02973102
