"time","freqHz","T2","clutch1_phi_0rel","clutch1_w_0rel","clutch2_phi_0rel","clutch2_w_0rel","clutch3_phi_0rel","clutch3_w_0rel","J1_phi","J1_w"
0.117,0.2,0.4,-1.06333,-8.29758,-0.0665872,-1.15102,0,0,1.12992,9.44859
0.117,0.2,0.4,-1.07575,-8.26057,-0.0683248,-1.16586,0,0,1.14407,9.42642
0.1185,0.2,0.4,-1.07575,-8.26057,-0.0683248,-1.16586,0,0,1.14407,9.42642
0.1185,0.2,0.4,-1.08811,-8.22295,-0.0700847,-1.1807,0,0,1.1582,9.40365
0.12,0.2,0.4,-1.08811,-8.22295,-0.0700847,-1.1807,0,0,1.1582,9.40365
0.12,0.2,0.4,-1.10042,-8.18476,-0.0718669,-1.19553,0,0,1.17229,9.38029
0.1215,0.2,0.4,-1.10042,-8.18476,-0.0718669,-1.19553,0,0,1.17229,9.38029
0.1215,0.2,0.4,-1.11267,-8.146,-0.0736713,-1.21036,0,0,1.18634,9.35636
0.123,0.2,0.4,-1.11267,-8.146,-0.0736713,-1.21036,0,0,1.18634,9.35636
0.123,0.2,0.4,-1.12486,-8.1067,-0.075498,-1.22518,0,0,1.20035,9.33188
0.1245,0.2,0.4,-1.12486,-8.1067,-0.075498,-1.22518,0,0,1.20035,9.33188
0.1245,0.2,0.4,-1.13699,-8.06688,-0.0773469,-1.24,0,0,1.21433,9.30688
0.126,0.2,0.4,-1.13699,-8.06688,-0.0773469,-1.24,0,0,1.21433,9.30688
0.126,0.2,0.4,-1.14906,-8.02655,-0.079218,-1.25482,0,0,1.22827,9.28137
0.1275,0.2,0.4,-1.14906,-8.02655,-0.079218,-1.25482,0,0,1.22827,9.28137
0.1275,0.2,0.4,-1.16107,-7.98576,-0.0811113,-1.26963,0,0,1.24218,9.25539
0.129,0.2,0.4,-1.16107,-7.98576,-0.0811113,-1.26963,0,0,1.24218,9.25539
0.129,0.2,0.4,-1.17301,-7.94451,-0.0830269,-1.28444,0,0,1.25604,9.22895
0.1305,0.2,0.4,-1.17301,-7.94451,-0.0830269,-1.28444,0,0,1.25604,9.22895
0.1305,0.2,0.4,-1.1849,-7.90284,-0.0849646,-1.29924,0,0,1.26986,9.20208
0.132,0.2,0.4,-1.1849,-7.90284,-0.0849646,-1.29924,0,0,1.26986,9.20208
0.132,0.2,0.4,-1.19672,-7.86077,-0.0869246,-1.31404,0,0,1.28365,9.17481
0.1335,0.2,0.4,-1.19672,-7.86077,-0.0869246,-1.31404,0,0,1.28365,9.17481
0.1335,0.2,0.4,-1.20848,-7.81834,-0.0889068,-1.32884,0,0,1.29739,9.14717
0.135,0.2,0.4,-1.20848,-7.81834,-0.0889068,-1.32884,0,0,1.29739,9.14717
0.135,0.2,0.4,-1.22018,-7.77556,-0.0909111,-1.34362,0,0,1.31109,9.11918
0.1365,0.2,0.4,-1.22018,-7.77556,-0.0909111,-1.34362,0,0,1.31109,9.11918
0.1365,0.2,0.4,-1.23181,-7.73247,-0.0929376,-1.35841,0,0,1.32475,9.09088
0.138,0.2,0.4,-1.23181,-7.73247,-0.0929376,-1.35841,0,0,1.32475,9.09088
0.138,0.2,0.4,-1.24337,-7.6891,-0.0949863,-1.37319,0,0,1.33836,9.06229
0.1395,0.2,0.4,-1.24337,-7.6891,-0.0949863,-1.37319,0,0,1.33836,9.06229
