    "time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
      2.24, 11.699003, 30.688398, 17.834498, 21.875666,-10.794568
      2.25, 11.841721, 30.815043, 17.798075, 21.954976,-10.832363
      2.26, 11.985136, 30.934941, 17.765433, 22.031139,-10.869263
      2.27, 12.129182, 31.049163, 17.735871, 22.098291,-10.902227
      2.28, 12.273795, 31.157606, 17.709305, 22.155977,-10.930989
      2.29, 12.418914, 31.260666,  17.68541, 22.207848,-10.957295
       2.3, 12.564487, 31.358987, 17.663754, 22.254083,-10.981153
      2.31, 12.710463, 31.452975, 17.644045, 22.294859, -11.00259
      2.32,   12.8568, 31.542874, 17.626089, 22.329852,  -11.0214
      2.33, 13.003455, 31.629082, 17.609625, 22.361441,-11.038713
      2.34, 13.150395,  31.71207, 17.594366,  22.38971,-11.054516
      2.35, 13.297587, 31.792305, 17.580046, 22.415427,-11.069143
      2.36, 13.445006, 31.870102, 17.566482, 22.438511,-11.082517
      2.37, 13.592629, 31.945577, 17.553604,  22.45818,-11.094232
      2.38, 13.740433, 32.018835, 17.541348,  22.47538,-11.104747
      2.39, 13.888397, 32.090225, 17.529532, 22.491633,-11.114788
       2.4, 14.036505,  32.15984, 17.518113,  22.50466,-11.123211
      2.41,  14.18474, 32.227679, 17.507092,  22.51575,-11.130658
      2.42, 14.333086, 32.294083, 17.496301, 22.526781,-11.138037
      2.43, 14.481531, 32.359338, 17.485607, 22.536401,-11.144654
      2.44, 14.630065, 32.423461, 17.475018, 22.544727, -11.15057
      2.45, 14.778678, 32.486486, 17.464529, 22.551592,-11.155701
      2.46, 14.927361, 32.548637, 17.454043, 22.559031,-11.161048
      2.47, 15.076108,   32.6101, 17.443484, 22.565045,-11.165606
      2.48, 15.224912, 32.670692, 17.432964, 22.569592,-11.169373
      2.49, 15.373766, 32.730362, 17.422523, 22.572774,-11.172409
       2.5, 15.522661, 32.789592, 17.411931, 22.579111,-11.176932
      2.51, 15.671598, 32.848629, 17.401086, 22.583302, -11.18029
      2.52, 15.820574, 32.906892, 17.390304, 22.584705,-11.182209
      2.53,  15.96958, 32.964364, 17.379606, 22.586752,-11.184409
      2.54, 16.118611, 33.021468, 17.368788, 22.589363,-11.186823
      2.55, 16.267666, 33.078533, 17.357702,  22.59382,-11.190067
      2.56, 16.416747, 33.135383,  17.34646, 22.594798,-11.191506
      2.57, 16.565848, 33.191505, 17.335337, 22.595074,-11.192567
      2.58, 16.714964, 33.247193, 17.324191, 22.596053,-11.193936
      2.59, 16.864094, 33.302982, 17.312763, 22.600181,-11.196793
       2.6, 17.013241, 33.358658, 17.301184, 22.599414, -11.19715
      2.61, 17.162399, 33.413533, 17.289813, 22.598271,-11.197313
      2.62, 17.311563, 33.468223,  17.27834, 22.600097,-11.198911
      2.63, 17.460735, 33.522992, 17.266647, 22.600616,-11.199792
      2.64, 17.609914,  33.57777, 17.254782, 22.603194,-11.201642
      2.65, 17.759103,  33.63264,  17.24272, 22.603837,-11.202471
      2.66, 17.908301, 33.687044, 17.230756, 22.602543, -11.20232
      2.67, 18.057503, 33.740987, 17.218889, 22.601651,-11.202363
      2.68, 18.206706, 33.794878, 17.206915, 22.602676,-11.203324
      2.69, 18.355912, 33.848895, 17.194754, 22.603304,-11.204037
       2.7, 18.505121, 33.903005, 17.182436, 22.604831,-11.205152
      2.71, 18.654335, 33.956889, 17.170133, 22.602724,-11.204439
      2.72, 18.803551, 34.010559, 17.157841,   22.6046,-11.205695
      2.73, 18.952769, 34.064378, 17.145384,  22.60382,-11.205589
      2.74, 19.101989, 34.118053, 17.132916, 22.605028,-11.206453
      2.75, 19.251211, 34.171835, 17.120319, 22.605017,-11.206678
      2.76, 19.400437, 34.225387, 17.107768, 22.604382,-11.206585
      2.77, 19.549662, 34.278769, 17.095236, 22.603954,-11.206586
      2.78, 19.698887, 34.332073, 17.082678, 22.603798,-11.206707
      2.79, 19.848112, 34.385637, 17.069927, 22.606089, -11.20801
       2.8,  19.99734, 34.439361, 17.057044, 22.605942,-11.208065
      2.81, 20.146571, 34.492671, 17.044327, 22.603867,-11.207173
      2.82,   20.2958, 34.545533, 17.031788, 22.602136,-11.206472
      2.83, 20.445023, 34.598296, 17.019245, 22.601549,-11.206337
      2.84, 20.594241, 34.651141,  17.00661, 22.601426, -11.20641
      2.85, 20.743456, 34.704194, 16.993825,  22.60229,-11.206943
      2.86, 20.892669,  34.75741, 16.980922, 22.602403,-11.207075
      2.87, 21.041883, 34.810644, 16.967978,  22.60269, -11.20728
      2.88, 21.191097, 34.864051, 16.954921, 22.604125,-11.208035
      2.89, 21.340315, 34.917708, 16.941716, 22.605746,-11.208855
       2.9, 21.489538, 34.971302, 16.928529, 22.605106,-11.208544
      2.91, 21.638763, 35.024457, 16.915548, 22.603339,  -11.2077
      2.92, 21.787986, 35.077287, 16.902709, 22.602246,-11.207213
      2.93, 21.937205, 35.130099, 16.889852, 22.602039,-11.207163
      2.94, 22.086421, 35.183004, 16.876922,  22.60215,-11.207256
      2.95, 22.235634, 35.235885, 16.863984, 22.601206,-11.206817
      2.96, 22.384844, 35.288731, 16.851043, 22.601374,-11.206928
      2.97, 22.534052, 35.341524, 16.838111, 22.599684, -11.20611
      2.98, 22.683254,  35.39424, 16.825198, 22.600087,-11.206336
      2.99, 22.832455, 35.447269, 16.812111, 22.601055,-11.206814
         3, 22.981654, 35.500023, 16.799152, 22.597562,-11.205083
      3.01, 23.130847, 35.552735, 16.786197, 22.600315,-11.206465
      3.02, 23.279993, 35.580709,  16.78577,  22.25308,-11.035348
