"time","outdata_3263","outdata_0031","rdy_next_next_cycle","rdy_next_cycle","rdy","c17_out_3263","c17_out_0031","b1_out","key_l_out","countup_out"
0.218,1751215648,1986098021,0,0,0,-145713950,16713044,6,2711925,13
0.219,1751215648,1986098021,1,0,0,-145713950,16713044,60,10847700,14
0.22,1751215648,1986098021,0,1,0,-145713950,16713044,58,21695400,15
0.221,-2104833612,1407247955,0,0,1,-191346540,1869088467,32,43390800,0
0.222,-2104833612,1407247955,0,0,0,-191346540,1869088467,58,21695400,0
0.223,-2104833612,1407247955,0,0,0,-191346540,1869088467,60,10847700,1
0.224,-2104833612,1407247955,0,0,0,-191346540,1869088467,6,2711925,2
0.225,-2104833612,1407247955,0,0,0,-191346540,1869088467,51,67786845,3
0.226,-2104833612,1407247955,0,0,0,-191346540,1869088467,20,84055575,4
0.227,-2104833612,1407247955,0,0,0,-191346540,1869088467,2,222340485,5
0.228,-2104833612,1407247955,0,0,0,-191346540,1869088467,54,122693985,6
0.229,-2104833612,1407247955,0,0,0,-191346540,1869088467,53,97782360,7
0.23,-2104833612,1407247955,0,0,0,-191346540,1869088467,52,48891180,8
0.231,-2104833612,1407247955,0,0,0,-191346540,1869088467,8,12222795,9
0.232,-2104833612,1407247955,0,0,0,-191346540,1869088467,43,204382290,10
0.233,-2104833612,1407247955,0,0,0,-191346540,1869088467,30,185313300,11
0.234,-2104833612,1407247955,0,0,0,-191346540,1869088467,46,46328325,12
0.235,-2104833612,1407247955,0,0,0,-191346540,1869088467,8,78690945,13
0.236,-2104833612,1407247955,1,0,0,-191346540,1869088467,57,86781600,14
0.237,-2104833612,1407247955,0,1,0,-191346540,1869088467,22,43390800,15
0.238,1818848869,218759168,0,0,1,251665690,997156,12,21695400,0
0.239,1818848869,218759168,0,0,0,251665690,997156,57,43390800,0
0.24,1818848869,218759168,0,0,0,251665690,997156,42,86781600,1
0.241,1818848869,218759168,0,0,0,251665690,997156,0,78690945,2
0.242,1818848869,218759168,0,0,0,251665690,997156,25,46328325,3
0.243,1818848869,218759168,0,0,0,251665690,997156,39,185313300,4
0.244,1818848869,218759168,0,0,0,251665690,997156,58,204382290,5
0.245,1818848869,218759168,0,0,0,251665690,997156,36,12222795,6
0.246,1818848869,218759168,0,0,0,251665690,997156,4,48891180,7
0.247,1818848869,218759168,0,0,0,251665690,997156,53,97782360,8
0.248,1818848869,218759168,0,0,0,251665690,997156,7,122693985,9
0.249,1818848869,218759168,0,0,0,251665690,997156,45,222340485,10
0.25,1818848869,218759168,0,0,0,251665690,997156,59,84055575,11
0.251,1818848869,218759168,0,0,0,251665690,997156,21,67786845,12
0.252,1818848869,218759168,0,0,0,251665690,997156,54,2711925,13
0.253,1818848869,218759168,1,0,0,251665690,997156,13,10847700,14
0.254,1818848869,218759168,0,1,0,251665690,997156,43,21695400,15
0.255,663136555,-911747836,0,0,1,1346429821,1982667819,49,43390800,0
0.256,663136555,-911747836,0,0,0,1346429821,1982667819,43,21695400,0
0.257,663136555,-911747836,0,0,0,1346429821,1982667819,13,10847700,1
0.258,663136555,-911747836,0,0,0,1346429821,1982667819,54,2711925,2
0.259,663136555,-911747836,0,0,0,1346429821,1982667819,21,67786845,3
0.26,663136555,-911747836,0,0,0,1346429821,1982667819,59,84055575,4
0.261,663136555,-911747836,0,0,0,1346429821,1982667819,45,222340485,5
