time,y,z
7.48,0.457318564297,1.44014062545
7.5,0.484161376806,1.24414062545
7.54,0.526087001824,0.852140625448
7.58,0.552332626842,0.460140625448
7.62,0.56289825186,0.0681406254485
7.66,0.557783876878,-0.323859374551
7.68,0.549346689387,-0.519859374551
7.7,0.536989501896,-0.715859374551
7.72,0.520712314405,-0.911859374552
7.74,0.500515126914,-1.10785937455
7.76,0.476397939422,-1.30385937455
7.78,0.448360751931,-1.49985937455
7.8,0.41640356444,-1.69585937455
7.82,0.380526376949,-1.89185937455
7.84,0.340729189458,-2.08785937455
7.86,0.297012001967,-2.28385937455
7.88,0.249374814476,-2.47985937455
7.9,0.197817626985,-2.67585937455
7.92,0.142340439494,-2.87185937455
7.94,0.0829432520032,-3.06785937455
7.96,0.0196260645122,-3.26385937455
7.98,0.0340179813529,2.35410546925
8.0,0.0791400907379,2.15810546925
8.02,0.120342200123,1.96210546925
8.06,0.190986418893,1.57010546925
8.08,0.220428528278,1.37410546925
8.1,0.245950637663,1.17810546925
8.14,0.285234856433,0.786105469249
8.16,0.298996965818,0.590105469249
8.18,0.308839075203,0.394105469249
8.2,0.314761184588,0.198105469249
8.22,0.316763293973,0.00210546924892
8.24,0.314845403358,-0.193894530751
8.26,0.309007512743,-0.389894530751
8.28,0.299249622128,-0.585894530751
8.3,0.285571731513,-0.781894530751
8.32,0.267973840898,-0.977894530751
8.34,0.246455950283,-1.17389453075
8.36,0.221018059668,-1.36989453075
8.38,0.191660169053,-1.56589453075
8.4,0.158382278437,-1.76189453075
8.42,0.121184387822,-1.95789453075
8.44,0.0800664972075,-2.15389453075
8.46,0.0350286065924,-2.34989453075
8.48,0.0101847189272,1.8145791021
8.5,0.0445163009692,1.6185791021
8.52,0.0749278830112,1.4225791021
8.56,0.123991047095,1.0305791021
8.58,0.142642629137,0.8345791021
8.6,0.157374211179,0.6385791021
8.64,0.175077375263,0.2465791021
8.66,0.178048957305,0.0505791021003
8.68,0.177100539347,-0.1454208979
8.72,0.163443703431,-0.5374208979
8.74,0.150735285473,-0.7334208979
8.76,0.134106867515,-0.9294208979
8.78,0.113558449557,-1.1254208979
8.8,0.0890900315993,-1.3214208979
8.82,0.0607016136413,-1.5174208979
8.84,0.0283931956833,-1.7134208979
8.86,0.00572890433038,1.36093432674
8.88,0.0309875908651,1.16493432674
8.9,0.0523262773998,0.968934326737
8.92,0.0697449639346,0.772934326737
