Time,y_multiSwitch,y_triggeredAdd,y_product,y_sum
5.35,4.0,5.0,9.0,3.0
5.35,4.0,5.0,9.0,3.0
5.35,4.0,5.0,9.0,3.0
5.35,4.0,5.0,9.0,3.0
5.35,4.0,5.0,9.0,3.0
5.36,4.0,5.0,9.0,3.0
5.36,4.0,5.0,9.0,3.0
5.36,4.0,5.0,9.0,3.0
5.36,4.0,5.0,9.0,3.0
5.36,4.0,5.0,9.0,3.0
5.36,4.0,5.0,9.0,3.0
5.36,4.0,5.0,9.0,3.0
5.36,4.0,5.0,9.0,3.0
5.36,4.0,5.0,9.0,3.0
5.36,4.0,5.0,9.0,3.0
5.37,4.0,5.0,9.0,3.0
5.37,4.0,5.0,9.0,3.0
5.37,4.0,5.0,9.0,3.0
5.37,4.0,5.0,9.0,3.0
5.37,4.0,5.0,9.0,3.0
5.37,4.0,5.0,9.0,3.0
5.37,4.0,5.0,9.0,3.0
5.37,4.0,5.0,9.0,3.0
5.37,4.0,5.0,9.0,3.0
5.37,4.0,5.0,9.0,3.0
5.38,4.0,5.0,9.0,3.0
5.38,4.0,5.0,9.0,3.0
5.38,4.0,5.0,9.0,3.0
5.38,4.0,5.0,9.0,3.0
5.38,4.0,5.0,9.0,3.0
5.38,4.0,5.0,9.0,3.0
5.38,4.0,5.0,9.0,3.0
5.38,4.0,5.0,9.0,3.0
5.38,4.0,5.0,9.0,3.0
5.38,4.0,5.0,9.0,3.0
5.39,4.0,5.0,9.0,3.0
5.39,4.0,5.0,9.0,3.0
5.39,4.0,5.0,9.0,3.0
5.39,4.0,5.0,9.0,3.0
5.39,4.0,5.0,9.0,3.0
5.39,4.0,5.0,9.0,3.0
5.39,4.0,5.0,9.0,3.0
5.39,4.0,5.0,9.0,3.0
5.39,4.0,5.0,9.0,3.0
5.39,4.0,5.0,9.0,3.0
5.4,4.0,5.0,9.0,3.0
5.4,4.0,5.0,9.0,3.0
5.4,4.0,5.0,9.0,3.0
5.4,4.0,5.0,9.0,3.0
5.4,4.0,5.0,9.0,3.0
5.4,4.0,5.0,9.0,3.0
5.4,4.0,5.0,9.0,3.0
5.4,4.0,5.0,9.0,3.0
5.4,4.0,5.0,9.0,3.0
5.4,4.0,5.0,9.0,3.0
5.41,4.0,5.0,9.0,3.0
5.41,4.0,5.0,9.0,3.0
5.41,4.0,5.0,9.0,3.0
5.41,4.0,5.0,9.0,3.0
5.41,4.0,5.0,9.0,3.0
5.41,4.0,5.0,9.0,3.0
5.41,4.0,5.0,9.0,3.0
5.41,4.0,5.0,9.0,3.0
5.41,4.0,5.0,9.0,3.0
5.41,4.0,5.0,9.0,3.0
5.42,4.0,5.0,9.0,3.0
5.42,4.0,5.0,9.0,3.0
5.42,4.0,5.0,9.0,3.0
5.42,4.0,5.0,9.0,3.0
5.42,4.0,5.0,9.0,3.0
5.42,4.0,5.0,9.0,3.0
5.42,4.0,5.0,9.0,3.0
5.42,4.0,5.0,9.0,3.0
5.42,4.0,5.0,9.0,3.0
5.42,4.0,5.0,9.0,3.0
5.43,4.0,5.0,9.0,3.0
5.43,4.0,5.0,9.0,3.0
5.43,4.0,5.0,9.0,3.0
5.43,4.0,5.0,9.0,3.0
5.43,4.0,5.0,9.0,3.0
5.43,4.0,5.0,9.0,3.0
5.43,4.0,5.0,9.0,3.0
5.43,4.0,5.0,9.0,3.0
5.43,4.0,5.0,9.0,3.0
5.43,4.0,5.0,9.0,3.0
5.44,4.0,5.0,9.0,3.0
5.44,4.0,5.0,9.0,3.0
5.44,4.0,5.0,9.0,3.0
5.44,4.0,5.0,9.0,3.0
5.44,4.0,5.0,9.0,3.0
5.44,4.0,5.0,9.0,3.0
5.44,4.0,5.0,9.0,3.0
5.44,4.0,5.0,9.0,3.0
5.44,4.0,5.0,9.0,3.0
5.44,4.0,5.0,9.0,3.0
5.45,4.0,5.0,9.0,3.0
5.45,4.0,5.0,9.0,3.0
5.45,4.0,5.0,9.0,3.0
5.45,4.0,5.0,9.0,3.0
5.45,4.0,5.0,9.0,3.0
5.45,4.0,5.0,9.0,3.0
5.45,4.0,5.0,9.0,3.0
5.45,4.0,5.0,9.0,3.0
5.45,4.0,5.0,9.0,3.0
5.45,4.0,5.0,9.0,3.0
5.46,4.0,5.0,9.0,3.0
