"time","C1.v","C3.v","C5.v","L1.i","L2.i"
2.39995327976065E+01,4.91349020428582E-01,4.93817098504510E-01,4.91572858345828E-01,5.27243892862687E-01,4.58898731491078E-01
2.45717192403338E+01,4.87492018120256E-01,5.04813187901614E-01,4.87694258615574E-01,5.23068536087350E-01,4.65092148619643E-01
2.51439056830611E+01,4.87133954041280E-01,5.14126787276657E-01,4.87283556256172E-01,5.12840225471355E-01,4.80509847028397E-01
2.57160921257885E+01,4.90206309795311E-01,5.18862033252026E-01,4.90294517774333E-01,5.00136385904689E-01,4.99726292217333E-01
2.62882785685158E+01,4.95645943846506E-01,5.17996956147588E-01,4.95679234482663E-01,4.88615883200662E-01,5.17184042650041E-01
2.68604650112431E+01,5.01768491392992E-01,5.12273231062944E-01,5.01760993310830E-01,4.81285747024370E-01,5.28309030488623E-01
2.74326514539705E+01,5.06813707457175E-01,5.03790702778986E-01,5.06781095984484E-01,4.79719777953454E-01,5.30701332931963E-01
2.80048378966978E+01,5.09508297634095E-01,4.95161363625329E-01,5.09464692090624E-01,4.83758831965493E-01,5.24592889271133E-01
2.85770243394251E+01,5.09379520401009E-01,4.88703269084697E-01,5.09336122520287E-01,4.91742094982473E-01,5.12497657570707E-01
2.91492107821525E+01,5.06764102701087E-01,4.85896022634326E-01,5.06728345282134E-01,5.01133580078165E-01,4.98260921821895E-01
2.97213972248798E+01,5.02608093562999E-01,4.87119583308682E-01,5.02583365277439E-01,5.09295129901990E-01,4.85885730092843E-01
3.02935836676071E+01,4.98161295295429E-01,4.91664753732851E-01,4.98147634763686E-01,5.14179906643711E-01,4.78479597096556E-01
3.08657701103345E+01,4.94634165828025E-01,4.98005685232338E-01,4.94629632321368E-01,5.14801707253224E-01,4.77541069725493E-01
3.14379565530618E+01,4.92884439101648E-01,5.04272223741742E-01,4.92886410076916E-01,5.11398830597006E-01,4.82709877301276E-01
3.20101429957891E+01,4.93213740340306E-01,5.08786893984390E-01,4.93219680733966E-01,5.05267028000792E-01,4.92019848229798E-01
3.25823294385165E+01,4.95332957087873E-01,5.10505162227167E-01,4.95340730044162E-01,4.98316799481404E-01,5.02570913732262E-01
3.31545158812438E+01,4.98497316042010E-01,5.09238449579916E-01,4.98505291820509E-01,4.92495913602936E-01,5.11406103498749E-01
3.37267023239711E+01,5.01754664339194E-01,5.05619340919848E-01,5.01761750594225E-01,4.89256207161460E-01,5.16321347874038E-01
3.42988887666985E+01,5.04223103139564E-01,5.00848293655474E-01,5.04228689011069E-01,4.89212098213094E-01,5.16384091992640E-01
3.48710752094258E+01,5.05272736969223E-01,4.96193458933958E-01,5.05276658598522E-01,4.92314274046429E-01,5.11669569432382E-01
3.54432616521532E+01,5.04884061842962E-01,4.93210401781198E-01,5.04886081709729E-01,4.96759570122199E-01,5.04916288703561E-01
3.60154480948805E+01,5.03182709195546E-01,4.92225874277742E-01,5.03183030334368E-01,5.01868551778101E-01,4.97156241700484E-01
3.65876345376078E+01,5.00793839569507E-01,4.93419653876462E-01,5.00792710047200E-01,5.05980588593502E-01,4.90911356528348E-01
3.71598209803352E+01,4.98424289449775E-01,4.96260652736020E-01,4.98422100503762E-01,5.08090570741168E-01,4.87707943849525E-01
3.77320074230625E+01,4.96707344645147E-01,4.99827627445587E-01,4.96704598018042E-01,5.07827209914902E-01,4.88109601655894E-01
3.83041938657898E+01,4.96039840491844E-01,5.03093971845939E-01,4.96037077527515E-01,5.05491712416383E-01,4.91658514180158E-01
3.88763803085172E+01,4.96498593284789E-01,5.05213476152136E-01,4.96496306315592E-01,5.01911689423134E-01,4.97097389704545E-01
3.94485667512445E+01,4.97851012120518E-01,5.05729780662317E-01,4.97849561349129E-01,4.98167739409248E-01,5.02784778460516E-01
4.00207531939718E+01,4.99647697369245E-01,5.04660631707819E-01,4.99647250713760E-01,4.95279015102566E-01,5.07172664866358E-01
4.05929396366992E+01,5.01364021804427E-01,5.02446792907761E-01,5.01364531268875E-01,4.93936218387330E-01,5.09212006082398E-01
4.11651260794265E+01,5.02547965463797E-01,4.99792732817411E-01,5.02549188929525E-01,4.94348696090933E-01,5.08584955409536E-01
4.17373125221539E+01,5.02934092610025E-01,4.97452311804209E-01,5.02935659466122E-01,4.96235242811626E-01,5.05718802834716E-01
4.23094989648812E+01,5.02496509743793E-01,4.96022086817972E-01,5.02498014814290E-01,4.98947083444245E-01,5.01599141935384E-01
