    "time",   "der_p",   "der_T"
       0.8, 1252.1789, 1.5515289
     0.802, 1252.1756, 1.5514742
     0.804, 1252.1723, 1.5514195
     0.806, 1252.1691, 1.5513647
     0.808, 1252.1658,   1.55131
      0.81, 1252.1625, 1.5512553
     0.812, 1252.1593, 1.5512006
     0.814,  1252.156, 1.5511459
     0.816, 1252.1527, 1.5510912
     0.818, 1252.1495, 1.5510365
      0.82, 1252.1462, 1.5509818
     0.822, 1252.1429, 1.5509271
     0.824, 1252.1397, 1.5508724
     0.826, 1252.1364, 1.5508177
     0.828, 1252.1331,  1.550763
      0.83, 1252.1299, 1.5507083
     0.832, 1252.1266, 1.5506536
     0.834, 1252.1233, 1.5505989
     0.836, 1252.1201, 1.5505443
     0.838, 1252.1168, 1.5504896
      0.84, 1252.1135, 1.5504349
     0.842, 1252.1103, 1.5503802
     0.844,  1252.107, 1.5503256
     0.846, 1252.1037, 1.5502709
     0.848, 1252.1005, 1.5502163
      0.85, 1252.0972, 1.5501616
     0.852, 1252.0939, 1.5501069
     0.854, 1252.0907, 1.5500523
     0.856, 1252.0874, 1.5499976
     0.858, 1252.0841,  1.549943
      0.86, 1252.0809, 1.5498884
     0.862, 1252.0776, 1.5498337
     0.864, 1252.0743, 1.5497791
     0.866, 1252.0711, 1.5497244
     0.868, 1252.0678, 1.5496698
      0.87, 1252.0646, 1.5496152
     0.872, 1252.0613, 1.5495606
     0.874,  1252.058, 1.5495059
     0.876, 1252.0548, 1.5494513
     0.878, 1252.0515, 1.5493967
      0.88, 1252.0482, 1.5493421
     0.882,  1252.045, 1.5492875
     0.884, 1252.0417, 1.5492329
     0.886, 1252.0385, 1.5491783
     0.888, 1252.0352, 1.5491237
      0.89, 1252.0319, 1.5490691
     0.892, 1252.0287, 1.5490145
     0.894, 1252.0254, 1.5489599
     0.896, 1252.0222, 1.5489053
     0.898, 1252.0189, 1.5488507
       0.9, 1252.0156, 1.5487961
     0.902, 1252.0124, 1.5487415
     0.904, 1252.0091,  1.548687
     0.906, 1252.0059, 1.5486324
     0.908, 1252.0026, 1.5485778
      0.91, 1251.9993, 1.5485232
     0.912, 1251.9961, 1.5484687
     0.914, 1251.9928, 1.5484141
     0.916, 1251.9896, 1.5483595
