"time",	"e",	"g",	"der(h)",	"der(v)",	"h",	"v"
3.4,	0.7,	9.81,	-0.2541823,	-9.81,	0.0002657,	-0.2541823
3.41,	0.7,	9.81,	-0.3522823,	-9.81,	-0.0022761,	-0.3522823
3.42,	0.7,	9.81,	0.1484976,	-9.81,	0.0001899,	0.1484976
3.43,	0.7,	9.81,	0.0503976,	-9.81,	0.0016749,	0.0503976
3.44,	0.7,	9.81,	-0.0477024,	-9.81,	0.0021788,	-0.0477024
3.45,	0.7,	9.81,	-0.1458024,	-9.81,	0.0017018,	-0.1458024
3.46,	0.7,	9.81,	-0.2439024,	-9.81,	0.0002438,	-0.2439024
3.47,	0.7,	9.81,	-0.3420024,	-9.81,	-0.0021952,	-0.3420024
3.48,	0.7,	9.81,	0.1413017,	-9.81,	0.0001988,	0.1413017
3.49,	0.7,	9.81,	0.0432017,	-9.81,	0.0016118,	0.0432017
3.5,	0.7,	9.81,	-0.0548983,	-9.81,	0.0020438,	-0.0548983
3.51,	0.7,	9.81,	-0.1529983,	-9.81,	0.0014948,	-0.1529983
3.52,	0.7,	9.81,	-0.2510983,	-9.81,	-3.52E-05,	-0.2510983
3.53,	0.7,	9.81,	0.0776688,	-9.81,	0.0017225,	0.0776688
3.54,	0.7,	9.81,	-0.0204312,	-9.81,	0.0024992,	-0.0204312
3.55,	0.7,	9.81,	-0.1185312,	-9.81,	0.0022949,	-0.1185312
3.56,	0.7,	9.81,	-0.2166312,	-9.81,	0.0011096,	-0.2166312
3.57,	0.7,	9.81,	-0.3147312,	-9.81,	-0.0010567,	-0.3147312
3.58,	0.7,	9.81,	0.1222118,	-9.81,	0.0011464,	0.1222118
3.59,	0.7,	9.81,	0.0241118,	-9.81,	0.0023685,	0.0241118
3.6,	0.7,	9.81,	-0.0739882,	-9.81,	0.0026096,	-0.0739882
3.61,	0.7,	9.81,	-0.1720882,	-9.81,	0.0018698,	-0.1720882
3.62,	0.7,	9.81,	-0.2701882,	-9.81,	0.0001489,	-0.2701882
3.63,	0.7,	9.81,	-0.3682882,	-9.81,	-0.002553,	-0.3682882
3.64,	0.7,	9.81,	0.1597017,	-9.81,	2.5E-05,	0.1597017
3.65,	0.7,	9.81,	0.0616017,	-9.81,	0.001622,	0.0616017
3.66,	0.7,	9.81,	-0.0364983,	-9.81,	0.002238,	-0.0364983
3.67,	0.7,	9.81,	-0.1345983,	-9.81,	0.0018731,	-0.1345983
3.68,	0.7,	9.81,	-0.2326983,	-9.81,	0.0005271,	-0.2326983
3.69,	0.7,	9.81,	-0.3307983,	-9.81,	-0.0017999,	-0.3307983
3.7,	0.7,	9.81,	0.1334588,	-9.81,	0.0005157,	0.1334588
3.71,	0.7,	9.81,	0.0353588,	-9.81,	0.0018503,	0.0353588
3.72,	0.7,	9.81,	-0.0627412,	-9.81,	0.0022039,	-0.0627412
3.73,	0.7,	9.81,	-0.1608412,	-9.81,	0.0015765,	-0.1608412
3.74,	0.7,	9.81,	-0.2589412,	-9.81,	-3.2E-05,	-0.2589412
3.75,	0.7,	9.81,	0.0831588,	-9.81,	0.0017806,	0.0831588
3.76,	0.7,	9.81,	-0.0149412,	-9.81,	0.0026122,	-0.0149412
3.77,	0.7,	9.81,	-0.1130412,	-9.81,	0.0024628,	-0.1130412
3.78,	0.7,	9.81,	-0.2111412,	-9.81,	0.0013324,	-0.2111412
3.79,	0.7,	9.81,	-0.3092412,	-9.81,	-0.000779,	-0.3092412
3.8,	0.7,	9.81,	0.1183688,	-9.81,	0.0013857,	0.1183688
3.81,	0.7,	9.81,	0.0202688,	-9.81,	0.0025694,	0.0202688
3.82,	0.7,	9.81,	-0.0778312,	-9.81,	0.002772,	-0.0778312
3.83,	0.7,	9.81,	-0.1759312,	-9.81,	0.0019937,	-0.1759312
3.84,	0.7,	9.81,	-0.2740312,	-9.81,	0.0002344,	-0.2740312
3.85,	0.7,	9.81,	-0.3721312,	-9.81,	-0.0025059,	-0.3721312
3.86,	0.7,	9.81,	0.1623918,	-9.81,	9.9E-05,	0.1623918
3.87,	0.7,	9.81,	0.0642918,	-9.81,	0.0017229,	0.0642918
3.88,	0.7,	9.81,	-0.0338082,	-9.81,	0.0023659,	-0.0338082
3.89,	0.7,	9.81,	-0.1319082,	-9.81,	0.0020278,	-0.1319082
3.9,	0.7,	9.81,	-0.2300082,	-9.81,	0.0007087,	-0.2300082
3.91,	0.7,	9.81,	-0.3281082,	-9.81,	-0.0015914,	-0.3281082
3.92,	0.7,	9.81,	0.1315757,	-9.81,	0.0007054,	0.1315757
3.93,	0.7,	9.81,	0.0334757,	-9.81,	0.0020211,	0.0334757
3.94,	0.7,	9.81,	-0.0646243,	-9.81,	0.0023559,	-0.0646243
3.95,	0.7,	9.81,	-0.1627243,	-9.81,	0.0017097,	-0.1627243
3.96,	0.7,	9.81,	-0.2608243,	-9.81,	8.24E-05,	-0.2608243
3.97,	0.7,	9.81,	-0.3589243,	-9.81,	-0.0025258,	-0.3589243
3.98,	0.7,	9.81,	0.153147,	-9.81,	-1.34E-05,	0.153147
3.99,	0.7,	9.81,	0.055047,	-9.81,	0.0015181,	0.055047
4,	0.7,	9.81,	-0.043053,	-9.81,	0.0020686,	-0.043053
4.01,	0.7,	9.81,	-0.141153,	-9.81,	0.001638,	-0.141153
