    "time","outputs[1]","outputs[2]"
     0.743,        25,   25.9364
     0.744,        25, 25.935807
     0.745,        25, 25.935213
     0.746,        25,  25.93462
     0.747,        25, 25.934026
     0.748,        25, 25.933433
     0.749,        25, 25.932839
      0.75,        25, 25.932246
     0.751,        25, 25.931653
     0.752,        25,  25.93106
     0.753,        25, 25.930467
     0.754,        25, 25.929874
     0.755,        25, 25.929281
     0.756,        25, 25.928688
     0.757,        25, 25.928095
     0.758,        25, 25.927502
     0.759,        25, 25.926909
      0.76,        25, 25.926317
     0.761,        25, 25.925724
     0.762,        25, 25.925131
     0.763,        25, 25.924539
     0.764,        25, 25.923946
     0.765,        25, 25.923354
     0.766,        25, 25.922762
     0.767,        25, 25.922169
     0.768,        25, 25.921577
     0.769,        25, 25.920985
      0.77,        25, 25.920393
     0.771,        25, 25.919801
     0.772,        25, 25.919209
     0.773,        25, 25.918617
     0.774,        25, 25.918025
     0.775,        25, 25.917433
     0.776,        25, 25.916842
     0.777,        25,  25.91625
     0.778,        25, 25.915658
     0.779,        25, 25.915067
      0.78,        25, 25.914475
     0.781,        25, 25.913884
     0.782,        25, 25.913292
     0.783,        25, 25.912701
     0.784,        25,  25.91211
     0.785,        25, 25.911518
     0.786,        25, 25.910927
     0.787,        25, 25.910336
     0.788,        25, 25.909745
     0.789,        25, 25.909154
      0.79,        25, 25.908563
     0.791,        25, 25.907972
     0.792,        25, 25.907382
     0.793,        25, 25.906791
     0.794,        25,   25.9062
     0.795,        25,  25.90561
     0.796,        25, 25.905019
     0.797,        25, 25.904429
     0.798,        25, 25.903838
     0.799,        25, 25.903248
       0.8,        25, 25.902657
     0.801,        25, 25.902067
     0.802,        25, 25.901477
     0.803,        25, 25.900887
     0.804,        25, 25.900297
     0.805,        25, 25.899707
     0.806,        25, 25.899117
     0.807,        25, 25.898527
     0.808,        25, 25.897937
     0.809,        25, 25.897347
      0.81,        25, 25.896757
     0.811,        25, 25.896168
     0.812,        25, 25.895578
     0.813,        25, 25.894989
     0.814,        25, 25.894399
     0.815,        25,  25.89381
     0.816,        25,  25.89322
     0.817,        25, 25.892631
     0.818,        25, 25.892042
     0.819,        25, 25.891452
      0.82,        25, 25.890863
     0.821,        25, 25.890274
     0.822,        25, 25.889685
     0.823,        25, 25.889096
     0.824,        25, 25.888507
     0.825,        25, 25.887918
     0.826,        25,  25.88733
     0.827,        25, 25.886741
     0.828,        25, 25.886152
     0.829,        25, 25.885564
      0.83,        25, 25.884975
     0.831,        25, 25.884387
     0.832,        25, 25.883798
     0.833,        25,  25.88321
     0.834,        25, 25.882621
     0.835,        25, 25.882033
     0.836,        25, 25.881445
     0.837,        25, 25.880857
     0.838,        25, 25.880269
     0.839,        25, 25.879681
      0.84,        25, 25.879093
     0.841,        25, 25.878505
     0.842,        25, 25.877917
     0.843,        25, 25.877329
     0.844,        25, 25.876741
