"time","OAT","fanspeed","valveopen","room.Awall","room.LWT","room.RATinit","room.cAir","room.cWater","room.eps","room.hAir","room.mdotat","room.mdotwt","room.rohAir","room.vAir","wall.TisurfInit","wall.TosurfInit","wall.aWall","wall.cWall","wall.hi","wall.ho","wall.lWall","wall.lambda_Wall","wall.rhoWall","RAT","wall.RAT","room.energy","room.Tisurf","wall.Tosurf","room.der(RAT)","room.der(energy)","wall.der(Tisurf)","wall.der(Tosurf)","room.DT","room.EWT","room.Qin","room.Qout","room.SAT","room.fs","room.mdota","room.mdotw","room.vo","wall.C","wall.R"
0.017,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.008257919996,15.99998487,9.999803547,1.318951933e-006,0.4857599995,-0.0008902795642,-0.01155589668,0.4821223033,28.38172687,0.4857599995,0.00363769625,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0175,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.008500799996,15.99998442,9.999797769,1.318659233e-006,0.4857599995,-0.0008902802168,-0.0115558887,0.4820153115,28.38172687,0.4857599995,0.003744688072,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.018,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.008743679996,15.99998398,9.999791991,1.318366533e-006,0.4857599995,-0.0008902808694,-0.01155588072,0.4819083196,28.38172687,0.4857599995,0.003851679937,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0185,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000002,16.00000002,0.008986559996,15.99998353,9.999786214,1.318073833e-006,0.4857599995,-0.000890281522,-0.01155587274,0.4818013277,28.38172687,0.4857599995,0.003958671846,25.60000001,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.019,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.009229439995,15.99998308,9.999780436,1.317781133e-006,0.4857599995,-0.0008902821746,-0.01155586475,0.4816943357,28.38172687,0.4857599995,0.004065663797,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0195,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.009472319995,15.99998264,9.999774658,1.317488433e-006,0.4857599995,-0.0008902828272,-0.01155585677,0.4815873437,28.38172687,0.4857599995,0.004172655791,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.02,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.009715199995,15.99998219,9.99976888,1.317195732e-006,0.4857599995,-0.0008902834797,-0.01155584879,0.4814803516,28.38172687,0.4857599995,0.004279647829,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0205,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.009958079995,15.99998175,9.999763102,1.316903032e-006,0.4857599995,-0.0008902841323,-0.0115558408,0.4813733595,28.38172687,0.4857599995,0.004386639911,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.021,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.01020095999,15.9999813,9.999757324,1.316610331e-006,0.4857599994,-0.0008902847849,-0.01155583282,0.4812663674,28.38172687,0.4857599994,0.004493632035,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0215,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.01044383999,15.99998086,9.999751546,1.31631763e-006,0.4857599994,-0.0008902854375,-0.01155582484,0.4811593752,28.38172687,0.4857599994,0.004600624202,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.022,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.01068671999,15.99998041,9.999745768,1.31602493e-006,0.4857599994,-0.0008902860901,-0.01155581686,0.481052383,28.38172687,0.4857599994,0.004707616413,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0225,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.01092959999,15.99997997,9.99973999,1.315732229e-006,0.4857599994,-0.0008902867427,-0.01155580887,0.4809453907,28.38172687,0.4857599994,0.004814608666,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.023,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.01117247999,15.99997952,9.999734212,1.315439528e-006,0.4857599994,-0.0008902873952,-0.01155580089,0.4808383984,28.38172687,0.4857599994,0.004921600963,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0235,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.01141535999,15.99997908,9.999728434,1.315146826e-006,0.4857599994,-0.0008902880478,-0.01155579291,0.4807314061,28.38172687,0.4857599994,0.005028593304,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.024,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.01165823999,15.99997863,9.999722656,1.314854125e-006,0.4857599994,-0.0008902887004,-0.01155578493,0.4806244137,28.38172687,0.4857599994,0.005135585687,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0245,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.01190111999,15.99997819,9.999716879,1.314561424e-006,0.4857599993,-0.000890289353,-0.01155577694,0.4805174212,28.38172687,0.4857599993,0.005242578113,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.025,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.01214399999,15.99997774,9.999711101,1.314268722e-006,0.4857599993,-0.0008902900056,-0.01155576896,0.4804104287,28.38172688,0.4857599993,0.005349570583,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0255,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.01238687999,15.9999773,9.999705323,1.31397602e-006,0.4857599993,-0.0008902906581,-0.01155576098,0.4803034362,28.38172688,0.4857599993,0.005456563096,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.026,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000003,16.00000003,0.01262975999,15.99997685,9.999699545,1.313683319e-006,0.4857599993,-0.0008902913107,-0.011555753,0.4801964437,28.38172688,0.4857599993,0.005563555652,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0265,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000004,16.00000004,0.01287263999,15.99997641,9.999693767,1.313390617e-006,0.4857599993,-0.0008902919633,-0.01155574501,0.480089451,28.38172688,0.4857599993,0.005670548251,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.027,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000004,16.00000004,0.01311551999,15.99997596,9.999687989,1.313097915e-006,0.4857599993,-0.0008902926159,-0.01155573703,0.4799824584,28.38172688,0.4857599993,0.005777540893,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0275,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000004,16.00000004,0.01335839999,15.99997552,9.999682211,1.312805213e-006,0.4857599993,-0.0008902932684,-0.01155572905,0.4798754657,28.38172688,0.4857599993,0.005884533579,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.028,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000004,16.00000004,0.01360127999,15.99997507,9.999676433,1.31251251e-006,0.4857599993,-0.000890293921,-0.01155572106,0.4797684729,28.38172688,0.4857599993,0.005991526308,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0285,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000004,16.00000004,0.01384415999,15.99997463,9.999670656,1.312219808e-006,0.4857599992,-0.0008902945736,-0.01155571308,0.4796614802,28.38172688,0.4857599992,0.00609851908,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.029,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000004,16.00000004,0.01408703999,15.99997418,9.999664878,1.311927105e-006,0.4857599992,-0.0008902952262,-0.0115557051,0.4795544873,28.38172688,0.4857599992,0.006205511896,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0295,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000004,16.00000004,0.01432991999,15.99997374,9.9996591,1.311634403e-006,0.4857599992,-0.0008902958787,-0.01155569712,0.4794474945,28.38172688,0.4857599992,0.006312504754,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.03,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000004,16.00000004,0.01457279999,15.99997329,9.999653322,1.3113417e-006,0.4857599992,-0.0008902965313,-0.01155568913,0.4793405015,28.38172688,0.4857599992,0.006419497655,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.0305,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000004,16.00000004,0.01481567999,15.99997285,9.999647544,1.311048997e-006,0.4857599992,-0.0008902971839,-0.01155568115,0.4792335086,28.38172688,0.4857599992,0.0065264906,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
0.031,0,0,0,60,40,16,1012,4181,0.4,4,0.5,0.1,1.204,300,16,10,60,1360.71,8.33,33.33,0.03,0.1192,1312,16.00000004,16.00000004,0.01505855999,15.9999724,9.999641766,1.310756294e-006,0.4857599992,-0.0008902978364,-0.01155567317,0.4791265156,28.38172688,0.4857599992,0.006633483588,25.60000002,0.0001,5e-005,1e-005,0.0001,1606726.368,0.004194630872
