time,Out1[1],Out1[2],Out2,Out3,Out4,Out5,Out6[1],Out6[2],Out6[3],Out6[4],Out6[5],Out6[6],Out7,Out8.signal1,Out8.signal2,Out9,Out10,Out11
6.82,1.0,0.511401322396,6.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.511401322396,1.0,0.311541363519,0.0988226702272,6.0
6.83,1.0,0.519969029404,6.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.519969029404,1.0,0.511401322404,0.0988226702272,6.0
6.84,1.0,0.528484739943,6.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.528484739943,1.0,0.511401322404,0.0988226702272,6.0
6.85,1.0,0.536947602448,6.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.536947602448,1.0,0.511401322404,0.0988226702272,6.0
6.86,1.0,0.54535677064,6.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.54535677064,1.0,0.511401322404,0.0988226702272,6.0
6.87,1.0,0.55371140361,6.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.55371140361,1.0,0.511401322404,0.0988226702272,6.0
6.88,1.0,0.562010665901,6.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.562010665901,1.0,0.511401322404,0.0988226702272,6.0
6.89,1.0,0.570253727593,6.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.570253727593,1.0,0.511401322404,0.0988226702272,6.0
6.9,1.0,0.578439764388,6.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.311541363511,0.578439764388,1.0,0.511401322404,0.0988226702272,6.0
6.91,1.0,0.586567957689,7.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.586567957689,1.0,0.511401322404,0.115687952877,6.0
6.92,1.0,0.594637494682,7.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.594637494682,1.0,0.511401322404,0.115687952877,6.0
6.93,1.0,0.602647568422,7.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.602647568422,1.0,0.511401322404,0.115687952877,6.0
6.94,1.0,0.610597377907,7.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.610597377907,1.0,0.511401322404,0.115687952877,6.0
6.95,1.0,0.618486128163,7.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.618486128163,1.0,0.511401322404,0.115687952877,6.0
6.96,1.0,0.626313030322,7.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.626313030322,1.0,0.511401322404,0.115687952877,6.0
6.97,1.0,0.634077301699,7.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.634077301699,1.0,0.511401322404,0.115687952877,6.0
