"time","egsCarSpeed","egsGear","egsTargetGear","valves_0eds","valves_0eds1","valves_0eds2","valves_0eds3","valves_0eds4","valves_0eds5","valves_0mv1","valves_0mv2","valves_0mv3"
25.6398,166.477,5,6,0,0,1,0,0,1,1,1,0
25.6398,166.413,5,6,0,0,1,0,0,1,1,1,0
25.6734,166.413,5,6,0,0,1,0,0,1,1,1,0
25.6734,166.348,5,6,0,0,1,0,0,1,1,1,0
25.707,166.348,5,6,0,0,1,0,0,1,1,1,0
25.707,166.284,5,6,0,0,1,0,0,1,1,1,0
25.7405,166.284,5,6,0,0,1,0,0,1,1,1,0
25.7405,166.219,5,6,0,0,1,0,0,1,1,1,0
25.7741,166.219,5,6,0,0,1,0,0,1,1,1,0
25.7741,166.155,5,6,0,0,1,0,0,1,1,1,0
25.8076,166.155,5,6,0,0,1,0,0,1,1,1,0
25.8076,166.09,5,6,0,0,1,0,0,1,1,1,0
25.8412,166.09,5,6,0,0,1,0,0,1,1,1,0
25.8412,166.026,5,6,0,0,1,0,0,1,1,1,0
25.8748,166.026,5,6,0,0,1,0,0,1,1,1,0
25.8748,165.961,5,6,0,0,1,0,0,1,1,1,0
25.9083,165.961,5,6,0,0,1,0,0,1,1,1,0
25.9083,165.897,5,6,0,0,1,0,0,1,1,1,0
25.9419,165.897,5,6,0,0,1,0,0,1,1,1,0
25.9419,165.833,6,6,0,0,1,0,0,1,1,1,0
25.9754,165.833,6,6,0,0,1,0,0,1,1,1,0
25.9754,165.769,6,6,0,0,1,0,0,1,1,1,0
26.009,165.769,6,6,0,0,1,0,0,1,1,1,0
26.009,165.704,6,6,0,0,1,0,0,1,1,1,0
26.0426,165.704,6,6,0,0,1,0,0,1,1,1,0
26.0426,165.64,6,6,0,0,1,0,0,1,1,1,0
26.0761,165.64,6,6,0,0,1,0,0,1,1,1,0
26.0761,165.576,6,6,0,0,1,0,0,1,1,1,0
26.1097,165.576,6,6,0,0,1,0,0,1,1,1,0
26.1097,165.512,6,6,0,0,1,0,0,1,1,1,0
26.1432,165.512,6,6,0,0,1,0,0,1,1,1,0
26.1432,165.448,6,6,0,0,1,0,0,1,1,1,0
26.1768,165.448,6,6,0,0,1,0,0,1,1,1,0
26.1768,165.384,6,6,0,0,1,0,0,1,1,1,0
26.2104,165.384,6,6,0,0,1,0,0,1,1,1,0
26.2104,165.317,6,6,0,0,1,0,0,1,1,1,0
26.2439,165.317,6,6,0,0,1,0,0,1,1,1,0
26.2439,165.222,6,6,0,0,1,0,0,1,1,1,0
26.2775,165.222,6,6,0,0,1,0,0,1,1,1,0
26.2775,165.045,6,6,0,0,1,0,0,1,1,1,0
26.311,165.045,6,6,0,0,1,0,0,1,1,1,0
26.311,164.762,6,6,0,0,1,0,0,1,1,1,0
26.3446,164.762,6,6,0,0,1,0,0,1,1,1,0
26.3446,164.275,6,6,0,0,1,0,0,1,1,1,0
26.3782,164.275,6,6,0,0,1,0,0,1,1,1,0
26.3782,163.556,6,6,0,0,1,0,0,1,1,1,0
26.4117,163.556,6,6,0,0,1,0,0,1,1,1,0
26.4117,162.791,6,6,0,0,1,0,0,1,1,1,0
26.4453,162.791,6,6,0,0,1,0,0,1,1,1,0
