"time","Piston_body_r_00_2_","Inertia_w"
0.437,0.252051,310.652
0.438,0.280444,289.363
0.439,0.311358,279.864
0.44,0.34247,285.215
0.441,0.371082,308.067
0.442,0.392737,346.505
0.442871,0.4,367.189
0.442871,0.4,367.189
0.443,0.399833,366.667
0.444,0.388175,337.214
0.445,0.363928,303.123
0.446,0.333915,286.804
0.447,0.301988,287.931
0.448,0.270793,304.163
0.449,0.242927,331.391
0.45,0.220996,360.34
0.451,0.206719,380.784
0.452,0.200394,389.554
0.452322,0.2,390.087
0.452322,0.2,390.087
0.453,0.201754,387.706
0.454,0.210882,374.952
0.455,0.228003,351.192
0.456,0.252416,322.548
0.457,0.28205,299.96
0.458,0.314282,290.864
0.459,0.346496,298.762
0.46,0.375515,326.691
0.461,0.395777,368.974
0.461631,0.4,382.197
0.461631,0.4,382.197
0.462,0.398525,377.504
0.463,0.381937,338.819
0.464,0.354263,307.181
0.465,0.322032,296.282
0.466,0.288887,303.971
0.467,0.257684,327.148
0.468,0.231373,358.658
0.469,0.212526,386.03
0.47,0.20222,401.104
0.470736,0.2,404.227
0.470736,0.2,404.227
0.471,0.200285,403.829
0.472,0.206597,394.826
0.473,0.221453,373.193
0.474,0.244555,342.921
0.475,0.274034,315.849
0.476,0.307041,302.231
0.477,0.340668,306.84
0.478,0.371602,333.249
0.479,0.39424,378.376
0.479714,0.4,396.619
0.479714,0.4,396.619
0.48,0.399044,393.427
0.481,0.382756,352.941
0.482,0.354204,318.355
0.483,0.32077,306.835
0.484,0.286497,315.881
0.485,0.254552,341.723
0.486,0.228192,375.471
0.487,0.210086,402.867
0.488,0.201131,416.273
0.488508,0.2,417.909
0.488508,0.2,417.909
0.489,0.201057,416.384
0.49,0.209857,403.304
0.491,0.227827,376.601
0.492,0.254165,343.873
0.493,0.286318,319.327
0.494,0.321064,312.14
0.495,0.355135,326.761
0.496,0.384106,366.468
0.497,0.399551,408.94
0.497189,0.4,410.566
0.497189,0.4,410.566
0.498,0.392152,386.489
0.499,0.366852,341.114
0.5,0.333668,318.934
0.5,0.333668,318.934
