"time","U@resistance","I@variable_resistance"
3.909626719e-005,-0.7643586303,-0.2213033839
3.929273084e-005,-0.05624519425,-0.2200548769
3.94891945e-005,0.6220778344,-0.2193740803
3.968565815e-005,1.260492291,-0.2194541039
3.988212181e-005,1.849995204,-0.220466756
4.007858546e-005,2.391383236,-1.970144781e-007
4.027504912e-005,2.955662864,-6.811345632e-007
4.047151277e-005,3.54918792,-1.149591624e-006
4.066797642e-005,4.155812668,-1.588877297e-006
4.086444008e-005,4.757101783,-1.986994223e-006
4.106090373e-005,5.333111803,-2.333858306e-006
4.125736739e-005,5.863243905,-2.621616072e-006
4.145383104e-005,6.327127044,-2.844864801e-006
4.16502947e-005,6.705497723,-3.000770247e-006
4.184675835e-005,6.981035102,-3.089078832e-006
4.2043222e-005,7.139119375,-3.112027128e-006
4.223968566e-005,7.168481299,-3.074154743e-006
4.243614931e-005,7.061717036,-2.982030782e-006
4.263261297e-005,6.815648118,-2.843907288e-006
4.282907662e-005,6.431513035,-2.669315814e-006
4.302554028e-005,5.914984274,-2.468625236e-006
4.322200393e-005,5.276011589,-2.252579811e-006
4.341846758e-005,4.528499728,-2.031837269e-006
4.361493124e-005,3.689835298,-1.816525994e-006
4.381139489e-005,2.78028334,-1.615838944e-006
4.400785855e-005,1.822279261,-1.437680302e-006
4.42043222e-005,0.8396445859,-1.28837794e-006
4.440078585e-005,-0.143238865,-1.172472553e-006
4.459724951e-005,-1.102267077,-1.092589272e-006
4.479371316e-005,-2.01442859,-1.04939585e-006
4.499017682e-005,-2.858564643,-1.041646482e-006
4.518664047e-005,-3.831579316,-0.03417227886
4.538310413e-005,-4.709920079,-0.06323265873
4.557956778e-005,-5.47084785,-0.09004967068
4.577603143e-005,-6.106663165,-0.1144764521
4.597249509e-005,-6.61210588,-0.1364127054
4.616895874e-005,-6.984337627,-0.1558043702
4.63654224e-005,-7.222884302,-0.1726425034
4.656188605e-005,-7.329540351,-0.1869614742
4.675834971e-005,-7.308241423,-0.1988365126
4.695481336e-005,-7.16490525,-0.2083806906
4.715127701e-005,-6.907244116,-0.2157413109
4.734774067e-005,-6.544559473,-0.221096014
4.754420432e-005,-6.087514983,-0.22464843
4.774066798e-005,-5.547898619,-0.2266236435
4.793713163e-005,-4.938373942,-0.2272634403
4.813359528e-005,-4.272232402,-0.2268215758
4.833005894e-005,-3.563139067,-0.2255589305
4.852652259e-005,-2.824885971,-0.223738795
4.872298625e-005,-2.071160513,-0.2216224514
4.89194499e-005,-1.315315901,-0.219464791
4.911591356e-005,-0.5701554402,-0.2175102002
4.931237721e-005,0.152250521,-0.215989054
4.950884086e-005,0.8407389543,-0.2151144113
4.970530452e-005,1.485202163,-0.2150791789
4.990176817e-005,2.076709704,-0.2160537702
5.009823183e-005,2.620732663,-2.405957391e-007
5.029469548e-005,3.187428322,-7.137489229e-007
5.049115914e-005,3.776886645,-1.170395734e-006
5.068762279e-005,4.373192926,-1.597612958e-006
5.088408644e-005,4.958363876,-1.983980589e-006
5.10805501e-005,5.513108529,-2.319960405e-006
5.127701375e-005,6.017651421,-2.598190473e-006
5.147347741e-005,6.452580827,-2.813685731e-006
5.166994106e-005,6.79968827,-2.963939532e-006
5.186640472e-005,7.042761098,-3.048923951e-006
5.206286837e-005,7.168296844,-3.070991883e-006
5.225933202e-005,7.166109517,-3.034687316e-006
