"time","temperatureSensor.T"
2.024883,25.216958
2.030000,25.214289
2.034883,25.211743
2.040000,25.209077
2.044883,25.206534
2.050000,25.203870
2.054883,25.201330
2.060000,25.198669
2.064883,25.196131
2.070000,25.193473
2.074883,25.190938
2.080000,25.188282
2.084883,25.185750
2.090000,25.183097
2.094883,25.180566
2.100000,25.177916
2.104883,25.175388
2.110000,25.172741
2.114883,25.170216
2.120000,25.167571
2.124883,25.165048
2.130000,25.162406
2.134883,25.159886
2.140000,25.157246
2.144883,25.154728
2.150000,25.152091
2.154883,25.149576
2.160000,25.146942
2.164883,25.144429
2.170000,25.141797
2.174883,25.139287
2.180000,25.136658
2.184883,25.134150
2.190000,25.131524
2.194883,25.129019
2.200000,25.126395
2.204883,25.123892
2.210000,25.121271
2.214883,25.118771
2.220000,25.116152
2.224883,25.113655
2.230000,25.111039
2.234883,25.108544
2.240000,25.105930
2.244883,25.103438
2.250000,25.100827
2.254883,25.098337
2.260000,25.095729
2.264883,25.093241
2.270000,25.140771
2.274883,25.186093
2.280000,25.233568
2.284883,25.278842
2.290000,25.326257
2.294883,25.371470
2.300000,25.418821
2.304883,25.463971
2.310000,25.511257
2.314883,25.556346
2.320000,25.603567
2.324883,25.648593
2.330000,25.695749
2.334883,25.740714
2.340000,25.787805
2.344883,25.832708
2.350000,25.879735
2.354883,25.924576
2.360000,25.971538
2.364883,26.016318
2.370000,26.063215
2.374883,26.107933
2.380000,26.154766
2.384883,26.199423
2.390000,26.246192
2.394883,26.290787
2.400000,26.337492
2.404883,26.382026
2.410000,26.428666
2.414883,26.473140
2.420000,26.519716
2.424883,26.564128
2.430000,26.610641
2.434883,26.654992
2.440000,26.701441
2.444883,26.745731
2.450000,26.792116
2.454883,26.836346
2.460000,26.882667
2.464883,26.926836
2.470000,26.973094
2.474883,27.017203
2.480000,27.063397
2.484883,27.107445
2.490000,27.153576
2.494883,27.197564
2.500000,27.243632
2.504883,27.287560
2.510000,27.333564
2.514883,27.377432
2.520000,27.423374
2.524883,27.467181
2.530000,27.513060
2.534883,27.556807
2.540000,27.602623
2.544883,27.646311
2.550000,27.692064
2.554883,27.735692
2.560000,27.781383
2.564883,27.824951
2.570000,27.870579
2.574883,27.914087
2.580000,27.959653
2.584883,28.003102
2.590000,28.048605
2.594883,28.091995
2.600000,28.137436
2.604883,28.180766
2.610000,28.226145
2.614883,28.269416
2.620000,28.314733
2.624883,28.357945
2.630000,28.403200
2.634883,28.446353
2.640000,28.491546
2.644883,28.534640
2.650000,28.579771
2.654883,28.622806
2.660000,28.667876
2.664883,28.710852
2.670000,28.755860
2.674883,28.790955
2.680000,28.786459
2.684883,28.782170
2.690000,28.777677
2.694883,28.773392
2.700000,28.768903
2.704883,28.764623
2.710000,28.760139
2.714883,28.755863
2.720000,28.751383
2.724883,28.747111
2.730000,28.742636
2.734883,28.738368
2.740000,28.733898
2.744883,28.729634
2.750000,28.725168
2.754883,28.720909
2.760000,28.716448
2.764883,28.712193
2.770000,28.707735
2.774883,28.703485
2.780000,28.699032
2.784883,28.694786
2.790000,28.690337
2.794883,28.686095
2.800000,28.681651
2.804883,28.677413
2.810000,28.672974
2.814883,28.668740
2.820000,28.664305
2.824883,28.660076
2.830000,28.655645
2.834883,28.651420
2.840000,28.646994
2.844883,28.642773
2.850000,28.638351
2.854883,28.634135
2.860000,28.629717
2.864883,28.625505
2.870000,28.621092
2.874883,28.616884
2.880000,28.612475
2.884883,28.608271
2.890000,28.603867
2.894883,28.599667
2.900000,28.595268
2.904883,28.591072
2.910000,28.586677
2.914883,28.582485
2.920000,28.578094
2.924883,28.573907
2.930000,28.569520
2.934883,28.565337
2.940000,28.560955
2.944883,28.556776
2.950000,28.552398
2.954883,28.548223
2.960000,28.543850
2.964883,28.539680
2.970000,28.535311
2.974883,28.531144
2.980000,28.526780
2.984883,28.522617
2.990000,28.518257
2.994883,28.514099
3.000000,28.509743
3.004883,28.505589
3.010000,28.501238
3.014883,28.497088
3.020000,28.492741
3.024883,28.488595
3.030000,28.484252
3.034883,28.480111
3.040000,28.475772
3.044883,28.471635
3.050000,28.467301
3.054883,28.463167
3.060000,28.458838
3.064883,28.454708
3.070000,28.450383
3.074883,28.493490
3.080000,28.538635
3.084883,28.581693
3.090000,28.626790
3.094883,28.669793
3.100000,28.714830
3.104883,28.757775
3.110000,28.802750
3.114883,28.845636
3.120000,28.890550
3.124883,28.933378
3.130000,28.978231
3.134883,29.021000
3.140000,29.065791
3.144883,29.108502
3.150000,29.153232
3.154883,29.195885
3.160000,29.240554
3.164883,29.283149
3.170000,29.327757
3.174883,29.370293
3.180000,29.414841
3.184883,29.457319
3.190000,29.501806
3.194883,29.544226
3.200000,29.588652
3.204883,29.631015
3.210000,29.675380
3.214883,29.717685
3.220000,29.761990
3.224883,29.804237
3.230000,29.848482
3.234883,29.890671
3.240000,29.934856
3.244883,29.976988
3.250000,30.021112
3.254883,30.063186
3.260000,30.107251
3.264883,30.149268
3.270000,30.193272
3.274883,30.235232
3.280000,30.279176
3.284883,30.321079
3.290000,30.364964
3.294883,30.406810
3.300000,30.450634
3.304883,30.492423
3.310000,30.536188
3.314883,30.577920
3.320000,30.621626
3.324883,30.663301
3.330000,30.706947
3.334883,30.748566
3.340000,30.792153
3.344883,30.833715
3.350000,30.877242
3.354883,30.918747
3.360000,30.962216
3.364883,31.003665
3.370000,31.047074
3.374883,31.088466
3.380000,31.131817
3.384883,31.173153
3.390000,31.216444
3.394883,31.257724
3.400000,31.300957
3.404883,31.342181
3.410000,31.385355
3.414883,31.426523
3.420000,31.469638
3.424883,31.510750
3.430000,31.553806
3.434883,31.594863
3.440000,31.637861
3.444883,31.678862
3.450000,31.721801
3.454883,31.762746
3.460000,31.805627
3.464883,31.846517
3.470000,31.889340
3.474883,31.930174
3.480000,31.972939
3.484883,32.013717
3.490000,32.056424
3.494883,32.097148
3.500000,32.139797
3.504883,32.180465
3.510000,32.223056
3.514883,32.263669
3.520000,32.306202
3.524883,32.331340
3.530000,32.325033
3.534883,32.319017
3.540000,32.312714
3.544883,32.306704
3.550000,32.300408
3.554883,32.294403
3.560000,32.288114
3.564883,32.282115
3.570000,32.275832
3.574883,32.269839
3.580000,32.263562
3.584883,32.257575
3.590000,32.251305
3.594883,32.245324
3.600000,32.239059
3.604883,32.233085
3.610000,32.226826
3.614883,32.220858
3.620000,32.214606
3.624883,32.208643
3.630000,32.202397
3.634883,32.196441
3.640000,32.190201
3.644883,32.184250
3.650000,32.178017
3.654883,32.172072
3.660000,32.165845
3.664883,32.159906
3.670000,32.153685
3.674883,32.147752
3.680000,32.141538
3.684883,32.135611
3.690000,32.129402
3.694883,32.123481
3.700000,32.117279
3.704883,32.111364
3.710000,32.105168
3.714883,32.099258
3.720000,32.093068
3.724883,32.087165
3.730000,32.080981
3.734883,32.075084
3.740000,32.068906
3.744883,32.063015
3.750000,32.056844
3.754883,32.050958
3.760000,32.044793
3.764883,32.038913
3.770000,32.032754
3.774883,32.026880
3.780000,32.020727
3.784883,32.014859
3.790000,32.008713
3.794883,32.002850
3.800000,31.996710
3.804883,31.990853
3.810000,31.984719
3.814883,31.978869
3.820000,31.972740
3.824883,31.966896
3.830000,31.960774
3.834883,31.954935
3.840000,31.948819
3.844883,31.942986
3.850000,31.936876
3.854883,31.931049
3.860000,31.924945
3.864883,31.919124
3.870000,31.913026
3.874883,31.907211
3.880000,31.901119
3.884883,31.895309
3.890000,31.889224
3.894883,31.883420
3.900000,31.926203
3.904883,31.966998
3.910000,32.009732
3.914883,32.050485
3.920000,32.093165
3.924883,32.133864
3.930000,32.176488
3.934883,32.217131
3.940000,32.259697
3.944883,32.300285
3.950000,32.342793
3.954883,32.383327
3.960000,32.425777
3.964883,32.466256
3.970000,32.508649
3.974883,32.549072
3.980000,32.591408
3.984883,32.631777
3.990000,32.674055
3.994883,32.714369
4.000000,32.756590
4.004883,32.796849
4.010000,32.839013
4.014883,32.879218
4.020000,32.921324
4.024883,32.961475
4.030000,33.003524
4.034883,33.043620
4.040000,33.085613
4.044883,33.125655
4.050000,33.167590
4.054883,33.207578
4.060000,33.249457
4.064883,33.289391
4.070000,33.331213
4.074883,33.371092
4.080000,33.412858
4.084883,33.452684
4.090000,33.494393
4.094883,33.534164
4.100000,33.575817
4.104883,33.615535
4.110000,33.657131
4.114883,33.696795
4.120000,33.738335
4.124883,33.777946
4.130000,33.819430
4.134883,33.858987
4.140000,33.900415
4.144883,33.939918
4.150000,33.981290
4.154883,34.020740
4.160000,34.062056
4.164883,34.101453
4.170000,34.142713
4.174883,34.182057
4.180000,34.223261
4.184883,34.262552
4.190000,34.303700
4.194883,34.342938
4.200000,34.384031
4.204883,34.423215
4.210000,34.464253
4.214883,34.503384
4.220000,34.544366
4.224883,34.583445
4.230000,34.624372
4.234883,34.663398
4.240000,34.704269
4.244883,34.743243
4.250000,34.784059
4.254883,34.822980
4.260000,34.863741
4.264883,34.902609
4.270000,34.943315
4.274883,34.982131
4.280000,35.022783
4.284883,35.061546
4.290000,35.102143
4.294883,35.140854
4.300000,35.181396
4.304883,35.220054
4.310000,35.260542
4.314883,35.299148
4.320000,35.339581
4.324883,35.378136
4.330000,35.418514
4.334883,35.457017
4.340000,35.497340
4.344883,35.535791
4.350000,35.576060
4.354883,35.614459
4.360000,35.654675
4.364883,35.693022
4.370000,35.733183
4.374883,35.771478
4.380000,35.811585
4.384883,35.849829
4.390000,35.889882
4.394883,35.928075
4.400000,35.968074
4.404883,35.998727
4.410000,35.990543
4.414883,35.982738
4.420000,35.974561
4.424883,35.966763
4.430000,35.958594
4.434883,35.950804
4.440000,35.942644
4.444883,35.934861
4.450000,35.926709
4.454883,35.918934
4.460000,35.910790
4.464883,35.903023
4.470000,35.894888
4.474883,35.887128
4.480000,35.879001
4.484883,35.871249
4.490000,35.863130
4.494883,35.855386
4.500000,35.847274
4.504883,35.839538
4.510000,35.831435
4.514883,35.823707
4.520000,35.815612
4.524883,35.807891
4.530000,35.799804
4.534883,35.792091
4.540000,35.784012
4.544883,35.776307
4.550000,35.768236
4.554883,35.760538
4.560000,35.752475
4.564883,35.744786
4.570000,35.736731
4.574883,35.729049
4.580000,35.721002
4.584883,35.713328
4.590000,35.705289
4.594883,35.697622
4.600000,35.689591
4.604883,35.681932
4.610000,35.673910
4.614883,35.666258
4.620000,35.658244
4.624883,35.650600
4.630000,35.642593
4.634883,35.634957
4.640000,35.626958
4.644883,35.619330
4.650000,35.611339
4.654883,35.603718
4.660000,35.595736
4.664883,35.588122
4.670000,35.580148
4.674883,35.572542
4.680000,35.564575
4.684883,35.556977
4.690000,35.549019
4.694883,35.541428
4.700000,35.533477
4.704883,35.525895
4.710000,35.517952
4.714883,35.510376
4.720000,35.502441
4.724883,35.494874
4.730000,35.486947
4.734883,35.479387
4.740000,35.471468
4.744883,35.463915
4.750000,35.456004
4.754883,35.494469
4.760000,35.534754
4.764883,35.573176
4.770000,35.613418
4.774883,35.651792
4.780000,35.691982
4.784883,35.730304
4.790000,35.770439
4.794883,35.808711
4.800000,35.848792
4.804883,35.887011
4.810000,35.927039
4.814883,35.965207
4.820000,36.005180
4.824883,36.043297
4.830000,36.083216
4.834883,36.121282
4.840000,36.161147
4.844883,36.199162
4.850000,36.238974
4.854883,36.276937
4.860000,36.316695
4.864883,36.354607
4.870000,36.394312
4.874883,36.432173
4.880000,36.471825
4.884883,36.509635
4.890000,36.549233
4.894883,36.586992
4.900000,36.626537
4.904883,36.664246
4.910000,36.703738
4.914883,36.741395
4.920000,36.780834
4.924883,36.818441
4.930000,36.857827
4.934883,36.895383
4.940000,36.934716
4.944883,36.972222
4.950000,37.011502
4.954883,37.048958
4.960000,37.088185
4.964883,37.125590
4.970000,37.164765
4.974883,37.202120
4.980000,37.241242
4.984883,37.278546
4.990000,37.317616
4.994883,37.354871
5.000000,37.393887
5.004883,37.431092
5.010000,37.470057
5.014883,37.507211
5.020000,37.546124
5.024883,37.583228
5.030000,37.622088
5.034883,37.659143
5.040000,37.697951
5.044883,37.734957
5.050000,37.773712
5.054883,37.810668
5.060000,37.849372
5.064883,37.886278
5.070000,37.924930
5.074883,37.961786
5.080000,38.000386
5.084883,38.037193
5.090000,38.075741
5.094883,38.112499
5.100000,38.150996
5.104883,38.187704
5.110000,38.226149
5.114883,38.262808
5.120000,38.301202
5.124883,38.337812
5.130000,38.376154
5.134883,38.412715
5.140000,38.451005
5.144883,38.487517
5.150000,38.525757
5.154883,38.562220
5.160000,38.600408
5.164883,38.636822
5.170000,38.674959
5.174883,38.711324
5.180000,38.749410
5.184883,38.785727
5.190000,38.823761
5.194883,38.860030
5.200000,38.898013
5.204883,38.934233
5.210000,38.972166
5.214883,39.008337
5.220000,39.046219
5.224883,39.082342
5.230000,39.120173
5.234883,39.156247
5.240000,39.194028
5.244883,39.230054
5.250000,39.267784
5.254883,39.303762
5.260000,39.341442
5.264883,39.377372
5.270000,39.415001
5.274883,39.450883
5.280000,39.488462
5.284883,39.524295
5.290000,39.561824
5.294883,39.597610
5.300000,39.635088
5.304883,39.670826
5.310000,39.708254
5.314883,39.743945
5.320000,39.781323
5.324883,39.816965
5.330000,39.853511
5.334883,39.843819
5.340000,39.833668
5.344883,39.823986
5.350000,39.813844
5.354883,39.804172
5.360000,39.794040
5.364883,39.784377
5.370000,39.774256
5.374883,39.764603
5.380000,39.754491
5.384883,39.744848
5.390000,39.734747
5.394883,39.725113
5.400000,39.715022
5.404883,39.705398
5.410000,39.695317
5.414883,39.685702
5.420000,39.675631
5.424883,39.666026
5.430000,39.655965
5.434883,39.646370
5.440000,39.636319
5.444883,39.626734
5.450000,39.616693
5.454883,39.607117
5.460000,39.597086
5.464883,39.587519
5.470000,39.577499
5.474883,39.567942
5.480000,39.557931
5.484883,39.548384
5.490000,39.538383
5.494883,39.528845
5.500000,39.518854
5.504883,39.509326
5.510000,39.499345
5.514883,39.489826
5.520000,39.479855
5.524883,39.470346
5.530000,39.460385
5.534883,39.450886
5.540000,39.440935
5.544883,39.431444
5.550000,39.421503
5.554883,39.412023
5.560000,39.402092
5.564883,39.392620
5.570000,39.382699
5.574883,39.373237
5.580000,39.363326
5.584883,39.353874
5.590000,39.343973
5.594883,39.334530
5.600000,39.324638
5.604883,39.315205
5.610000,39.305323
5.614883,39.295899
5.620000,39.286028
5.624883,39.276613
5.630000,39.266751
5.634883,39.257346
5.640000,39.247494
5.644883,39.238098
5.650000,39.228256
5.654883,39.218870
5.660000,39.256595
5.664883,39.292568
5.670000,39.330250
5.674883,39.366186
5.680000,39.403822
5.684883,39.439711
5.690000,39.477298
5.694883,39.513139
5.700000,39.550675
5.704883,39.586468
5.710000,39.623954
5.714883,39.659699
5.720000,39.697135
5.724883,39.732833
5.730000,39.770219
5.734883,39.805868
5.740000,39.843204
5.744883,39.878806
5.750000,39.916092
5.754883,39.951647
5.760000,39.988883
5.764883,40.024390
5.770000,40.061576
5.774883,40.097036
5.780000,40.134172
5.784883,40.169585
5.790000,40.206672
5.794883,40.242037
5.800000,40.279074
5.804883,40.314392
5.810000,40.351380
5.814883,40.386650
5.820000,40.423589
5.824883,40.458812
5.830000,40.495702
5.834883,40.530878
5.840000,40.567718
5.844883,40.602847
5.850000,40.639638
5.854883,40.674721
5.860000,40.711463
5.864883,40.746498
5.870000,40.783191
5.874883,40.818180
5.880000,40.854824
5.884883,40.889766
5.890000,40.926361
5.894883,40.961257
5.900000,40.997803
5.904883,41.032652
5.910000,41.069149
5.914883,41.103952
5.920000,41.140401
5.924883,41.175157
5.930000,41.211557
5.934883,41.246267
5.940000,41.282618
5.944883,41.317282
5.950000,41.353585
5.954883,41.388202
5.960000,41.424457
5.964883,41.459028
5.970000,41.495235
5.974883,41.529760
5.980000,41.565918
5.984883,41.600397
5.990000,41.636507
5.994883,41.670940
6.000000,41.707002
6.004883,41.741389
6.010000,41.777403
6.014883,41.811745
6.020000,41.847711
6.024883,41.882006
6.030000,41.917924
6.034883,41.952174
6.040000,41.988045
6.044883,42.022249
6.050000,42.058072
6.054883,42.092230
6.060000,42.128005
6.064883,42.162119
6.070000,42.197846
6.074883,42.231914
6.080000,42.267593
6.084883,42.301616
6.090000,42.337248
6.094883,42.371226
6.100000,42.406810
6.104883,42.440742
6.110000,42.476280
6.114883,42.510167
6.120000,42.545657
6.124883,42.579499
6.130000,42.614942
6.134883,42.648739
6.140000,42.684134
6.144883,42.717886
6.150000,42.753235
6.154883,42.786942
6.160000,42.822244
6.164883,42.855906
6.170000,42.891161
6.174883,42.924779
6.180000,42.959986
6.184883,42.993559
6.190000,43.028720
6.194883,43.062249
6.200000,43.097363
6.204883,43.130847
6.210000,43.165914
6.214883,43.199354
6.220000,43.234375
6.224883,43.267770
6.230000,43.302744
6.234883,43.336095
6.240000,43.371023
6.244883,43.404329
6.250000,43.439210
6.254883,43.472472
6.260000,43.507308
6.264883,43.540526
6.270000,43.575315
6.274883,43.608488
6.280000,43.643231
6.284883,43.676361
6.290000,43.711058
6.294883,43.744143
6.300000,43.778794
6.304883,43.811836
6.310000,43.846441
6.314883,43.879438
6.320000,43.913997
6.324883,43.946951
6.330000,43.981464
6.334883,44.014375
6.340000,44.048842
6.344883,44.081709
6.350000,44.099216
6.354883,44.087455
6.360000,44.075133
6.364883,44.063381
6.370000,44.051071
6.374883,44.039330
6.380000,44.027032
6.384883,44.015302
6.390000,44.003016
6.394883,43.991299
6.400000,43.979025
6.404883,43.967320
6.410000,43.955058
6.414883,43.943364
6.420000,43.931115
6.424883,43.919433
6.430000,43.907196
6.434883,43.895526
6.440000,43.883301
6.444883,43.871642
6.450000,43.859430
6.454883,43.847782
6.460000,43.835582
6.464883,43.823946
6.470000,43.811758
6.474883,43.800134
6.480000,43.787959
6.484883,43.776346
6.490000,43.764182
6.494883,43.752582
6.500000,43.740430
6.504883,43.728841
6.510000,43.716702
6.514883,43.705124
6.520000,43.692997
6.524883,43.681431
6.530000,43.669316
6.534883,43.657761
6.540000,43.645658
6.544883,43.634115
6.550000,43.622024
6.554883,43.610493
6.560000,43.598414
6.564883,43.586894
6.570000,43.574827
6.574883,43.563319
6.580000,43.551264
6.584883,43.539768
6.590000,43.527725
6.594883,43.516240
6.600000,43.504209
6.604883,43.492735
6.610000,43.480716
6.614883,43.469254
6.620000,43.457247
6.624883,43.445797
6.630000,43.433802
6.634883,43.422362
6.640000,43.410380
6.644883,43.398952
6.650000,43.386981
6.654883,43.375565
6.660000,43.410454
6.664883,43.443723
6.670000,43.478574
6.674883,43.511809
6.680000,43.546617
6.684883,43.579809
6.690000,43.614572
6.694883,43.647720
6.700000,43.682436
6.704883,43.715540
6.710000,43.750210
6.714883,43.783271
6.720000,43.817895
6.724883,43.850911
6.730000,43.885490
6.734883,43.918462
6.740000,43.952994
6.744883,43.985923
6.750000,44.020410
6.754883,44.053295
6.760000,44.087736
6.764883,44.120577
6.770000,44.154972
6.774883,44.187770
6.780000,44.222120
6.784883,44.254874
6.790000,44.289178
6.794883,44.321889
6.800000,44.356147
6.804883,44.388815
6.810000,44.423028
6.814883,44.455652
6.820000,44.489820
6.824883,44.522401
6.830000,44.556524
6.834883,44.589061
6.840000,44.623139
6.844883,44.655633
6.850000,44.689665
6.854883,44.722117
6.860000,44.756104
