    "time",    "Out1", "Out2[1]", "Out2[2]",    "Out3",    "Out4",    "Out5"
      1.21,0.64698174, 0.2743857,0.64698174, 1.9680456,0.44039719,0.23381264
      1.22, 0.6563554,0.28090236, 0.6563554, 1.9913257,0.44534214,0.23432888
      1.23,0.66576342,0.28751293,0.66576342, 2.0147454,0.45027207,0.23478073
      1.24,0.67520486,0.29421774,0.67520486, 2.0383057,0.45518621,0.23516756
      1.25,0.68467878,0.30101713,0.68467878, 2.0620078,0.46008377,0.23548876
      1.26,0.69418423,0.30791142,0.69418423, 2.0858527,0.46496397, 0.2357437
      1.27,0.70372027,0.31490092,0.70372027, 2.1098416,0.46982604,0.23593181
      1.28,0.71328593,0.32198592,0.71328593, 2.1339755,0.47466921,0.23605249
      1.29,0.72288027,0.32916673,0.72288027, 2.1582558,0.47949272,0.23610517
       1.3,0.73250231,0.33644362,0.73250231, 2.1826835,0.48429581, 0.2360893
      1.31,0.74215111,0.34381687,0.74215111, 2.2072598,0.48907772,0.23600432
      1.32,0.75182569,0.35128673,0.75182569, 2.2319861, 0.4938377,0.23584971
      1.33,0.76152509,0.35885346,0.76152509, 2.2568635,0.49857502,0.23562494
      1.34,0.77124834,0.36651731,0.77124834, 2.2818933,0.50328892,0.23532951
      1.35,0.78099446,0.37427851,0.78099446, 2.3070768,0.50797868,0.23496291
      1.36,0.79076248,0.38213727,0.79076248, 2.3324154,0.51264357,0.23452467
      1.37,0.80055142,0.39009383,0.80055142, 2.3579104,0.51728286,0.23401431
      1.38,0.81036031,0.39814837,0.81036031, 2.3835631,0.52189584,0.23343137
      1.39,0.82018817, 0.4063011,0.82018817, 2.4093749,0.52648178, 0.2327754
       1.4,  0.830034,0.41455219,  0.830034, 2.4353473,0.53103998,0.23204597
      1.41,0.83989683,0.42290183,0.83989683, 2.4614817,0.53556974,0.23124265
      1.42,0.84977567,0.43135018,0.84977567, 2.4877795,0.54007036,0.23036504
      1.43,0.85966954, 0.4398974,0.85966954, 2.5142423,0.54454114,0.22941274
      1.44,0.86957743,0.44854362,0.86957743, 2.5408715, 0.5489814,0.22838536
      1.45,0.87949837,0.45728899,0.87949837, 2.5676687,0.55339045,0.22728253
      1.46,0.88943136,0.46613363,0.88943136, 2.5946355,0.55776763,0.22610389
      1.47,0.89937541,0.47507765,0.89937541, 2.6217733,0.56211224,0.22484908
      1.48,0.90932952,0.48412117,0.90932952,  2.649084,0.56642365,0.22351777
      1.49,0.91929269,0.49326427,0.91929269,  2.676569,0.57070117,0.22210964
       1.5,0.92926394,0.50250705,0.92926394, 2.7042301,0.57494416,0.22062438
      1.51,0.93924226,0.51184957,0.93924226, 2.7320689,0.57915197,0.21906168
      1.52,0.94922666,0.52129191,0.94922666, 2.7600872,0.58332396,0.21742126
      1.53,0.95921613,0.53083412,0.95921613, 2.7882867,0.58745948,0.21570284
      1.54,0.96920968,0.54047625,0.96920968, 2.8166693,0.59155792,0.21390615
      1.55,0.97920632,0.55021833,0.97920632, 2.8452366,0.59561863,0.21203095
      1.56,0.98920503,0.56006038,0.98920503, 2.8739905,0.59964101,  0.210077
      1.57,0.99920482,0.57000243,0.99920482, 2.9029329,0.60362444,0.20804407
      1.58, 1.0092047,0.58004448, 1.0092047, 2.9320657,0.60756832,0.20593195
      1.59, 1.0192036,0.59018652, 1.0192036, 2.9613908,0.61147203,0.20374043
       1.6, 1.0292007,0.60042855, 1.0292007, 2.9909101,0.61533499,0.20146932
      1.61, 1.0391948,0.61077053, 1.0391948, 3.0206257,0.61915661,0.19911844
      1.62,  1.049185,0.62121243,  1.049185, 3.0505395, 0.6229363,0.19668763
      1.63, 1.0591702,0.63175421, 1.0591702, 3.0806535,0.62667349,0.19417674
      1.64, 1.0691496,0.64239581, 1.0691496, 3.1109698, 0.6303676,0.19158561
      1.65,  1.079122,0.65313718,  1.079122, 3.1414906,0.63401808,0.18891412
      1.66, 1.0890866,0.66397823, 1.0890866, 3.1722179,0.63762435,0.18616215
      1.67, 1.0990422,0.67491888, 1.0990422,  3.203154,0.64118588,0.18332959
      1.68, 1.1089879,0.68595904, 1.1089879, 3.2343009,0.64470212,0.18041635
      1.69, 1.1189227, 0.6970986, 1.1189227,  3.265661,0.64817253,0.17742234
       1.7, 1.1288456,0.70833745, 1.1288456, 3.2972365,0.65159657, 0.1743475
      1.71, 1.1387557,0.71967547, 1.1387557, 3.3290296,0.65497372,0.17119176
      1.72, 1.1486518,0.73111252, 1.1486518, 3.3610428,0.65830346,0.16795507
      1.73, 1.1585331,0.74264846, 1.1585331, 3.3932783,0.66158527,0.16463741
      1.74, 1.1683986,0.75428313, 1.1683986, 3.4257385,0.66481866,0.16123873
      1.75, 1.1782472,0.76601637, 1.1782472, 3.4584259,0.66800312,0.15775904
      1.76,  1.188078,0.77784802,  1.188078, 3.4913429,0.67113816,0.15419833
      1.77,   1.19789,0.78977787,   1.19789, 3.5244921,0.67422328,0.15055661
      1.78, 1.2076821,0.80180575, 1.2076821, 3.5578758,0.67725802, 0.1468339
      1.79, 1.2174536,0.81393145, 1.2174536, 3.5914968, 0.6802419,0.14303023
       1.8, 1.2272032,0.82615475, 1.2272032, 3.6253576,0.68317445,0.13914565
      1.81, 1.2369302,0.83847543, 1.2369302, 3.6594608,0.68605521,0.13518023
      1.82, 1.2466335,0.85089327, 1.2466335, 3.6938091,0.68888373,0.13113401
      1.83, 1.2563121,0.86340802, 1.2563121, 3.7284052,0.69165957,0.12700709
      1.84,  1.265965,0.87601943,  1.265965, 3.7632519,0.69438228,0.12279955
      1.85, 1.2755914,0.88872723, 1.2755914, 3.7983519,0.69705144,0.11851149
      1.86, 1.2851902,0.90153116, 1.2851902, 3.8337081,0.69966662,0.11414303
      1.87, 1.2947605,0.91443094, 1.2947605, 3.8693233, 0.7022274, 0.1096943
      1.88, 1.3043013,0.92742628, 1.3043013, 3.9052004,0.70473336,0.10516541
      1.89, 1.3138117,0.94051687, 1.3138117, 3.9413423,0.70718412,0.10055654
       1.9, 1.3232907,0.95370241, 1.3232907,  3.977752,0.70957926,0.095867816
      1.91, 1.3327374,0.96698257, 1.3327374, 4.0144325,0.71191841,0.091099425
      1.92, 1.3421508,0.98035704, 1.3421508, 4.0513869,0.71420117,0.08625154
      1.93,   1.35153,0.99382548,   1.35153, 4.0886183,0.71642717,0.081324353
      1.94,  1.360874, 1.0073875,  1.360874, 4.1261298,0.71859604,0.076318063
      1.95,  1.370182, 1.0210428,  1.370182, 4.1639245,0.72070743,0.071232884
      1.96, 1.3794529,  1.034791, 1.3794529, 4.2020057,0.72276097,0.066069036
      1.97, 1.3886859, 1.0486318, 1.3886859, 4.2403767,0.72475633,0.060826755
      1.98,   1.39788, 1.0625646,   1.39788, 4.2790407,0.72669315,0.055506282
      1.99, 1.4070343, 1.0765892, 1.4070343,  4.318001,0.72857111,0.050107874
         2,  1.416148, 1.0907052,  1.416148, 4.3572612,0.73038989,0.044631795
      2.01,   1.42522, 1.1049121,   1.42522, 4.3968245,0.73214916,0.039078321
      2.02, 1.4342495, 1.1192094, 1.4342495, 4.4366944,0.73384861,0.033447737
      2.03, 1.4432356, 1.1335969, 1.4432356, 4.4768746,0.73548795,0.027740341
      2.04, 1.4521773,  1.148074, 1.4521773, 4.5173684,0.73706687,0.021956438
      2.05, 1.4610738, 1.1626403, 1.4610738, 4.5581796,0.73858509,0.016096346
      2.06, 1.4699243, 1.1772953, 1.4699243, 4.5993118,0.74004232,0.010160393
      2.07, 1.4787277, 1.1920386, 1.4787277, 4.6407686, 0.7414383,0.0041489145
      2.08, 1.4874832, 1.2068697, 1.4874832, 4.6825539,0.74277275,-0.0019377406
      2.09, 1.4961901, 1.2217881, 1.4961901, 4.7246714,0.74404542,-0.0080992151
       2.1, 1.5048472, 1.2367934, 1.5048472, 4.7671248,0.74525605,-0.014335142
      2.11,  1.513454, 1.2518849,  1.513454, 4.8099182,0.74640441,-0.020645142
      2.12, 1.5220093, 1.2670623, 1.5220093, 4.8530555,0.74749024,-0.027028831
      2.13, 1.5305125, 1.2823249, 1.5305125, 4.8965405,0.74851334,-0.033485809
      2.14, 1.5389626, 1.2976723, 1.5389626, 4.9403774,0.74947346,-0.04001567
      2.15, 1.5473588,  1.313104, 1.5473588, 4.9845702,0.75037041,-0.046617998
