"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
1.385,2.65533,2.45341,2.46183,2.46639
1.389,2.63888,2.45341,2.46183,2.46639
1.393,2.62713,2.45341,2.46183,2.46639
1.397,2.62025,2.45341,2.46183,2.46639
1.401,2.61837,2.45341,2.46183,2.46639
1.405,2.62151,2.45341,2.46183,2.46639
1.409,2.62961,2.45341,2.46183,2.46639
1.413,2.64256,2.45341,2.46183,2.46639
1.417,2.66015,2.45341,2.46183,2.46639
1.421,2.6821,2.45341,2.46183,2.46639
1.425,2.70806,2.45341,2.46183,2.46639
1.429,2.73762,2.45341,2.46183,2.46639
1.433,2.77033,2.45341,2.46183,2.46639
1.437,2.80566,2.45341,2.46183,2.46639
1.441,2.84305,2.45341,2.46183,2.46639
1.445,2.88192,2.45341,2.46183,2.46639
1.449,2.92166,2.45341,2.46183,2.46639
1.453,2.96163,2.45341,2.46183,2.46639
1.457,3.0012,2.45341,2.46183,2.46639
1.461,3.03976,2.45341,2.46183,2.46639
1.465,3.0767,2.45341,2.46183,2.46639
1.469,3.11142,2.45341,2.46183,2.46639
1.473,3.14339,2.45341,2.46183,2.46639
1.477,3.17209,2.45341,2.46183,2.46639
1.481,3.19709,2.45341,2.46183,2.46639
1.485,3.21798,2.45341,2.46183,2.46639
1.489,3.23443,2.45341,2.46183,2.46639
1.493,3.24618,2.45341,2.46183,2.46639
1.497,3.25305,2.45341,2.46183,2.46639
1.5,3.25494,2.45341,2.46183,2.46639
1.5,3.25494,2.45341,2.46183,2.46639
