time,Capacitor1.i,IdealDiode3.v
0.05790,218.99403,2.71997
0.05800,207.69594,2.70869
0.05810,189.24918,2.69026
0.05820,163.34671,2.66437
0.05830,129.72975,2.63077
0.05840,88.18948,2.58924
0.05850,38.56859,2.53964
0.05860,-16.75685,2.48431
0.05870,-73.38741,2.42768
0.05880,-131.34225,2.36973
0.05890,-190.72228,2.31034
0.05900,-251.61521,2.24945
0.05910,-288.59312,2.21234
0.05920,-277.21086,2.22370
0.05930,-260.63187,2.24026
0.05940,-239.40862,2.26147
0.05950,-214.12162,2.28674
0.05960,-185.37569,2.31547
0.05970,-153.79608,2.34703
0.05980,-120.02457,2.38078
0.05990,-84.71538,2.41608
0.06000,-48.53108,2.45225
0.06010,-12.13844,2.48862
0.06020,23.79575,2.52454
0.06030,58.60878,2.55934
0.06040,91.64625,2.59236
0.06050,122.26605,2.62297
0.06060,149.84239,2.65053
0.06070,173.76972,2.67444
0.06080,193.46648,2.69413
0.06090,208.37875,2.70903
0.06100,217.98370,2.71862
0.06110,221.79293,2.72242
0.06120,219.35549,2.71997
0.06130,210.26083,2.71086
0.06140,194.14137,2.69473
0.06150,170.67492,2.67125
0.06160,139.58684,2.64015
0.06170,100.65183,2.60120
0.06180,53.69556,2.55423
0.06190,-0.50934,2.49823
0.06200,-56.74707,2.42783
0.06210,-114.25510,2.34215
0.06220,-173.13844,2.24121
0.06230,-233.48943,2.12507
0.06240,-292.28604,-122.91529
0.06250,-282.71064,-136.75629
0.06260,-267.75514,-150.76349
0.06270,-247.96216,-164.93920
0.06280,-223.90360,-179.28374
0.06290,-196.17692,-193.79541
0.06300,-165.40139,-208.47040
0.06310,-132.21410,-223.30274
0.06320,-97.26601,-238.28425
0.06330,-61.21780,-253.40455
0.06340,-24.73576,-268.65101
0.06350,11.51238,-284.00878
0.06360,46.86161,-299.46078
0.06370,80.65380,-314.98777
0.06380,112.24179,-330.56836
0.06390,140.99340,-346.17910
0.06400,166.29540,-361.79450
0.06410,187.55730,-377.38717
0.06420,204.21507,-392.92790
0.06430,215.73463,-408.38575
0.06440,221.61526,-423.72819
0.06450,221.39272,-438.92120
0.06460,214.64221,-453.92947
0.06470,200.98110,-468.71650
0.06480,180.07141,-483.24476
0.06490,151.62199,-497.47589
0.06500,115.39054,-511.37083
0.06510,71.18522,-524.89005
0.06520,18.97075,-535.82354
0.06530,-36.80159,-535.77426
0.06540,-93.81464,-535.36314
0.06550,-152.17774,-534.58141
0.06560,-211.98797,-533.41960
0.06570,-273.32888,-531.86763
0.06580,-285.81495,-529.98140
0.06590,-272.57916,-528.13040
0.06600,-254.32565,-526.38968
0.06610,-231.61700,-524.79028
0.06620,-205.04262,-523.35935
0.06630,-175.21492,-522.12004
0.06640,-142.76550,-521.09129
0.06650,-108.34109,-520.28779
0.06660,-72.59954,-519.71986
0.06670,-36.20564,-519.39341
0.06680,0.17299,-519.30989
0.06690,35.87012,-519.46631
0.06700,70.22499,-519.85526
0.06710,102.58651,-520.46496
0.06720,132.31725,-521.27935
0.06730,158.79743,-522.27821
0.06740,181.42878,-523.43724
0.06750,199.63829,-524.72830
0.06760,212.88176,-526.11953
0.06770,220.64725,-527.57559
0.06780,222.45829,-529.05787
0.06790,217.87690,-530.52476
0.06800,206.50639,-531.93189
0.06810,187.99394,-533.23245
0.06820,162.03286,-534.37748
0.06830,128.36466,-535.31616
0.06840,86.78082,-535.99619
0.06850,37.12425,-536.36408
0.06860,-18.23697,-536.37260
0.06870,-74.89413,-536.00620
0.06880,-132.86439,-535.25646
0.06890,-192.24854,-534.11417
0.06900,-253.13429,-532.56953
0.06910,-289.36008,-530.67063
0.06920,-277.95987,-528.78791
0.06930,-261.35879,-527.00402
0.06940,-240.10945,-525.35127
0.06950,-214.79252,-523.85813
0.06960,-186.01298,-522.54913
0.06970,-154.39629,-521.44463
0.06980,-120.58443,-520.56078
0.06990,-85.23185,-519.90939
0.07000,-49.00136,-519.49786
0.07010,-12.56001,-519.32915
0.07020,23.42515,-519.40177
0.07030,58.29113,-519.70982
0.07040,91.38321,-520.24298
0.07050,122.05899,-520.98663
0.07060,149.69237,-521.92195
0.07070,173.67747,-523.02601
0.07080,193.43242,-524.27196
0.07090,208.40297,-525.62917
0.07100,218.06597,-527.06348
0.07110,221.93269,-528.53734
0.07120,219.55188,-530.01015
0.07130,210.51265,-531.43846
0.07140,194.44713,-532.77624
0.07150,171.03284,-533.97525
0.07160,139.99485,-534.98526
0.07170,101.10758,-535.75445
0.07180,54.19644,-536.22970
0.07190,0.04092,-536.35703
0.07200,-56.14432,-536.10032
0.07210,-113.60441,-535.44957
0.07220,-172.44471,-534.39596
0.07230,-232.75786,-532.93000
0.07240,-291.84243,-406.14762
0.07250,-282.21838,-390.38719
0.07260,-267.24473,-374.54393
0.07270,-247.43651,-358.64836
0.07280,-223.36564,-342.73051
0.07290,-195.62966,-326.81851
0.07300,-164.84788,-310.93857
0.07310,-131.65742,-295.11487
0.07320,-96.70926,-279.36948
0.07330,-60.66407,-263.72233
0.07340,-24.18811,-248.19114
0.07350,12.05092,-232.79142
0.07360,47.38806,-217.53646
0.07370,81.16527,-202.43730
0.07380,112.73546,-187.50277
0.07390,141.46657,-172.73951
0.07400,166.74547,-158.15203
0.07410,187.98181,-143.74273
0.07420,204.61171,-129.51198
0.07430,216.10125,-115.45823
0.07440,221.94988,-101.57807
0.07450,221.69353,-87.86632
0.07460,214.90760,-74.31618
0.07470,201.20966,-60.91933
0.07480,180.26192,-47.66605
0.07490,151.77347,-34.54540
0.07500,115.50221,-21.54532
0.07510,71.25653,-8.65280
0.07520,18.99905,2.00020
0.07530,-36.82762,2.00968
0.07540,-93.89472,2.03320
0.07550,-152.31119,2.07064
0.07560,-212.17372,2.12186
0.07570,-273.56546,2.18671
0.07580,-286.03853,2.21462
0.07590,-272.83823,2.22783
0.07600,-254.61872,2.24607
0.07610,-231.94239,2.26875
0.07620,-205.39846,2.29531
0.07630,-175.59919,2.32512
0.07640,-143.17602,2.35756
0.07650,-108.77554,2.39198
0.07660,-73.05546,2.42771
0.07670,-36.68047,2.46410
0.07680,-0.31808,2.50048
0.07690,35.36555,2.53618
0.07700,69.70975,2.57054
0.07710,102.06348,2.60291
0.07720,131.78934,2.63265
0.07730,158.26757,2.65914
0.07740,180.89993,2.68179
0.07750,199.11337,2.70002
0.07760,212.36368,2.71329
0.07770,220.13887,2.72108
0.07780,221.96242,2.72292
0.07790,217.39627,2.71837
0.07800,206.04364,2.70704
0.07810,187.55161,2.68856
0.07820,161.61336,2.66264
0.07830,127.97029,2.62901
0.07840,86.41372,2.58747
0.07850,36.78641,2.53785
0.07860,-18.53517,2.48254
0.07870,-75.14894,2.42592
0.07880,-133.07399,2.36799
0.07890,-192.41147,2.30865
0.07900,-253.24942,2.24781
0.07910,-289.32760,2.21160
0.07920,-277.89126,2.22302
0.07930,-261.25449,2.23964
0.07940,-239.97010,2.26091
0.07950,-214.61896,2.28624
0.07960,-185.80622,2.31504
0.07970,-154.15754,2.34667
0.07980,-120.31507,2.38049
0.07990,-84.93342,2.41586
0.08000,-48.67557,2.45210
0.08010,-12.20870,2.48855
0.08020,23.79997,2.52455
0.08030,58.68735,2.55942
0.08040,91.79860,2.59251
0.08050,122.49120,2.62319
0.08060,150.13898,2.65083
0.08070,174.13598,2.67481
0.08080,193.90027,2.69456
0.08090,208.87753,2.70953
0.08100,218.54462,2.71918
0.08110,222.41275,2.72304
0.08120,220.03069,2.72064
0.08130,210.98756,2.71159
0.08140,194.91551,2.69550
0.08150,171.49210,2.67207
0.08160,140.44245,2.64101
0.08170,101.54106,2.60209
0.08180,54.61342,2.55515
0.08190,0.43599,2.49917
0.08200,-55.77695,2.42878
0.08210,-113.26741,2.34310
0.08220,-172.14051,2.24217
0.08230,-232.48867,2.12603
0.08240,-291.76931,-122.91355
0.08250,-282.20102,-136.76090
0.08260,-267.25544,-150.76978
0.08270,-247.47515,-164.94713
0.08280,-223.43196,-179.29327
0.08290,-195.72325,-193.80648
0.08300,-164.96816,-208.48295
