"time","v_0_out","v_1_out"
0.569,1506901765,1650005283
0.57,1506901765,1650005283
0.571,-290805401,1650005283
0.572,-290805401,1650005283
0.573,-290805401,-921720744
0.574,-290805401,-921720744
0.575,196203132,-921720744
0.576,196203132,-921720744
0.577,196203132,-283172257
0.578,196203132,-283172257
0.579,-913352563,-283172257
0.58,-913352563,-283172257
0.581,-913352563,-1912480761
0.582,-913352563,-1912480761
0.583,-689231453,-1912480761
0.584,-689231453,-1912480761
0.585,-689231453,-1315113951
0.586,-689231453,-1315113951
0.587,804200115,-1315113951
0.588,804200115,-1315113951
0.589,804200115,-838580188
0.59,804200115,-838580188
0.591,1066050953,-838580188
0.592,1066050953,-838580188
0.593,1066050953,-1212736619
0.594,1066050953,-1212736619
0.595,660349598,-1212736619
0.596,660349598,-1212736619
0.597,660349598,469607820
0.598,660349598,469607820
0.599,1248680891,469607820
0.6,1248680891,469607820
0.601,1248680891,-13425638
0.602,1248680891,-13425638
0.603,1219300087,-13425638
0.604,1219300087,-13425638
0.605,1219300087,-453596189
0.606,1219300087,-453596189
0.607,1651502460,-453596189
0.608,1651502460,-453596189
0.609,1651502460,-1486586590
0.61,1651502460,-1486586590
0.611,-1287579793,-1486586590
0.612,-1287579793,-1486586590
0.613,-1287579793,-1274031475
0.614,-1287579793,-1274031475
0.615,1021212935,-1274031475
0.616,1021212935,-1274031475
0.617,1021212935,-1140329910
0.618,1021212935,-1140329910
0.619,1142337789,-1140329910
0.62,1142337789,-1140329910
0.621,1142337789,1606209889
0.622,1142337789,1606209889
0.623,969518660,1606209889
0.624,969518660,1606209889
0.625,969518660,-62541213
0.626,969518660,-62541213
0.627,-1229307330,-62541213
0.628,-1229307330,-62541213
0.629,-1229307330,-918047131
0.63,-1229307330,-918047131
0.631,1769039011,-918047131
0.632,1769039011,-918047131
0.633,1769039011,-872826053
0.634,1769039011,-872826053
0.635,-466322067,-872826053
0.636,-466322067,-872826053
0.637,-466322067,-626946958
0.638,-466322067,-626946958
0.639,-2054753897,-626946958
0.64,-2054753897,-626946958
0.641,-2054753897,-1261977371
0.642,-2054753897,-1261977371
0.643,1255462771,-1261977371
0.644,1255462771,-1261977371
0.645,1255462771,1344569556
0.646,1255462771,1344569556
0.647,2098631806,1344569556
0.648,2098631806,1344569556
0.649,2098631806,-1616930849
0.65,2098631806,-1616930849
0.651,1645520381,-1616930849
0.652,1645520381,-1616930849
0.653,1645520381,849132246
0.654,1645520381,849132246
0.655,670805772,849132246
0.656,670805772,849132246
0.657,670805772,-831581234
0.658,670805772,-831581234
0.659,1110725268,-831581234
0.66,1110725268,-831581234
0.661,1110725268,-17252637
