"time","tempc@tpf_st_chamber","press@tpf_st_chamber","out2@division","tau@tpf_st_chamber","dm2@tpf_pump","torque@expseu_"
38.1,161.676,6.43768,0.264465,27.4465,0,-65.2474
38.2,162.013,6.4926,0.26444,27.444,0,-65.9979
38.3,162.344,6.547,0.264413,27.4413,0,-66.7438
38.4,162.67,6.60089,0.264384,27.4384,0,-67.4851
38.5,162.991,6.65424,0.264353,27.4353,0,-68.2213
38.6,163.307,6.70705,0.264321,27.4321,0,-68.9523
38.7,163.617,6.7593,0.264286,27.4286,0,-69.6779
38.8,163.922,6.81099,0.26425,27.425,0,-70.3979
38.9,164.222,6.8621,0.264212,27.4212,0,-71.1121
39,164.517,6.91263,0.264173,27.4173,0,-71.8203
39.1,164.806,6.96249,0.264131,27.4131,0,-72.5166
39.2,165.089,7.01161,0.264088,27.4088,0,-73.2043
39.3,165.367,7.05996,0.264042,27.4042,0,-73.8834
39.4,165.638,7.10755,0.263994,27.3995,0,-74.5538
39.5,165.904,7.15435,0.263945,27.3945,0,-75.2153
39.6,166.163,7.20035,0.263893,27.3893,0,-75.8677
39.7,166.417,7.24555,0.263839,27.3839,0,-76.5107
39.8,166.665,7.28994,0.263783,27.3783,0,-77.1442
39.9,166.908,7.3335,0.263725,27.3725,0,-77.768
40,167.144,7.37622,0.263665,27.3665,0,-78.382
40.1,167.375,7.41812,0.263603,27.3603,0,-78.9822
40.2,167.601,7.4592,0.26354,27.354,0,-79.5722
40.3,167.821,7.49945,0.263474,27.3474,0,-80.152
40.4,168.035,7.53886,0.263405,27.3405,0,-80.7215
40.5,168.244,7.57742,0.263335,27.3335,0,-81.2806
40.6,168.447,7.61513,0.263263,27.3263,0,-81.8292
40.7,168.646,7.65198,0.263189,27.3189,0,-82.367
40.8,168.838,7.68796,0.263113,27.3113,0,-82.894
40.9,169.025,7.72307,0.263035,27.3035,0,-83.41
41,169.207,7.75729,0.262955,27.2955,0,-83.915
41.1,169.384,7.79068,0.262873,27.2873,0,-84.4067
41.2,169.557,7.82328,0.262789,27.2789,0,-84.8881
41.3,169.724,7.85511,0.262704,27.2704,0,-85.3593
41.4,169.887,7.88614,0.262616,27.2616,0,-85.8204
41.5,170.045,7.91637,0.262527,27.2527,0,-86.2711
41.6,170.199,7.9458,0.262436,27.2436,0,-86.7116
41.7,170.347,7.97443,0.262343,27.2343,0,-87.1415
41.8,170.492,8.00225,0.262248,27.2248,0,-87.561
41.9,170.631,8.02925,0.262151,27.2151,0,-87.9698
42,170.766,8.05544,0.262053,27.2053,0,-88.3679
42.1,170.897,8.08088,0.261953,27.1953,0,-88.7546
42.2,171.024,8.10563,0.261851,27.1851,0,-89.1319
42.3,171.148,8.12971,0.261748,27.1748,0,-89.5002
42.4,171.267,8.15309,0.261643,27.1643,0,-89.8593
42.5,171.383,8.1758,0.261536,27.1536,0,-90.2092
42.6,171.495,8.19781,0.261428,27.1428,0,-90.5499
42.7,171.603,8.21913,0.261318,27.1318,0,-90.8814
42.8,171.707,8.23975,0.261207,27.1207,0,-91.2035
42.9,171.808,8.25968,0.261094,27.1094,0,-91.5164
43,171.905,8.27892,0.26098,27.098,0,-91.8198
43.1,171.999,8.29752,0.260864,27.0864,0,-92.1141
43.2,172.09,8.31557,0.260747,27.0747,0,-92.4006
43.3,172.177,8.33307,0.260628,27.0628,0,-92.6794
43.4,172.262,8.35001,0.260508,27.0508,0,-92.9506
43.5,172.344,8.36639,0.260387,27.0387,0,-93.2142
43.6,172.423,8.38221,0.260264,27.0264,0,-93.4702
43.7,172.499,8.39748,0.260141,27.0141,0,-93.7185
43.8,172.573,8.41218,0.260015,27.0015,0,-93.9591
43.9,172.643,8.42633,0.259889,26.9889,0,-94.192
44,172.711,8.43991,0.259761,26.9761,0,-94.4173
