"time",	"der(h)",	"der(v)",	"e",	"g",	"h",	"v"
3.53,	0.003298,	-9.81,	0.7,	9.81,	2.1E-05,	0.003298
3.54,	0.023591,	-9.81,	0.7,	9.81,	-2.1E-05,	0.023591
3.55,	0.02186,	-9.81,	0.7,	9.81,	-1E-05,	0.02186
3.56,	-0.01334,	-9.81,	0.7,	9.81,	1.9E-05,	-0.01334
3.57,	-0.011245,	-9.81,	0.7,	9.81,	2.4E-05,	-0.011245
3.58,	0.006458,	-9.81,	0.7,	9.81,	1.7E-05,	0.006458
3.59,	0.025139,	-9.81,	0.7,	9.81,	-2.6E-05,	0.025139
3.6,	-0.015635,	-9.81,	0.7,	9.81,	1.4E-05,	-0.015635
3.61,	-0.017373,	-9.81,	0.7,	9.81,	1.8E-05,	-0.017373
3.62,	0.003455,	-9.81,	0.7,	9.81,	1.8E-05,	0.003455
3.63,	0.001987,	-9.81,	0.7,	9.81,	2.5E-05,	0.001987
3.64,	0.022948,	-9.81,	0.7,	9.81,	-1.7E-05,	0.022948
3.65,	0.021545,	-9.81,	0.7,	9.81,	-7E-06,	0.021545
3.66,	-0.01312,	-9.81,	0.7,	9.81,	2.1E-05,	-0.01312
3.67,	0.00554,	-9.81,	0.7,	9.81,	1.6E-05,	0.00554
3.68,	0.008012,	-9.81,	0.7,	9.81,	1.7E-05,	0.008012
3.69,	0.0259,	-9.81,	0.7,	9.81,	-2.6E-05,	0.0259
3.7,	-0.016168,	-9.81,	0.7,	9.81,	1.5E-05,	-0.016168
3.71,	-0.017634,	-9.81,	0.7,	9.81,	2E-05,	-0.017634
3.72,	0.003327,	-9.81,	0.7,	9.81,	2E-05,	0.003327
3.73,	0.023605,	-9.81,	0.7,	9.81,	-2.2E-05,	0.023605
3.74,	0.021867,	-9.81,	0.7,	9.81,	-1.1E-05,	0.021867
3.75,	-0.013345,	-9.81,	0.7,	9.81,	1.8E-05,	-0.013345
3.76,	-0.011248,	-9.81,	0.7,	9.81,	2.4E-05,	-0.011248
3.77,	0.006457,	-9.81,	0.7,	9.81,	1.6E-05,	0.006457
3.78,	0.008461,	-9.81,	0.7,	9.81,	1.8E-05,	0.008461
3.79,	0.02612,	-9.81,	0.7,	9.81,	-2.5E-05,	0.02612
3.8,	-0.016322,	-9.81,	0.7,	9.81,	1.8E-05,	-0.016322
3.81,	0.00397,	-9.81,	0.7,	9.81,	1.6E-05,	0.00397
3.82,	0.00224,	-9.81,	0.7,	9.81,	2.4E-05,	0.00224
3.83,	0.023072,	-9.81,	0.7,	9.81,	-1.8E-05,	0.023072
3.84,	0.021606,	-9.81,	0.7,	9.81,	-8E-06,	0.021606
3.85,	-0.013162,	-9.81,	0.7,	9.81,	2E-05,	-0.013162
3.86,	0.005519,	-9.81,	0.7,	9.81,	1.5E-05,	0.005519
3.87,	0.008002,	-9.81,	0.7,	9.81,	1.6E-05,	0.008002
3.88,	0.025895,	-9.81,	0.7,	9.81,	-2.7E-05,	0.025895
3.89,	-0.016165,	-9.81,	0.7,	9.81,	1.5E-05,	-0.016165
3.9,	-0.017633,	-9.81,	0.7,	9.81,	1.9E-05,	-0.017633
3.91,	0.003328,	-9.81,	0.7,	9.81,	1.9E-05,	0.003328
3.92,	0.001925,	-9.81,	0.7,	9.81,	2.6E-05,	0.001925
3.93,	0.022918,	-9.81,	0.7,	9.81,	-1.5E-05,	0.022918
3.94,	-0.01408,	-9.81,	0.7,	9.81,	1.7E-05,	-0.01408
3.95,	-0.011608,	-9.81,	0.7,	9.81,	2.3E-05,	-0.011608
3.96,	0.00628,	-9.81,	0.7,	9.81,	1.6E-05,	0.00628
3.97,	0.008375,	-9.81,	0.7,	9.81,	1.8E-05,	0.008375
3.98,	0.026078,	-9.81,	0.7,	9.81,	-2.5E-05,	0.026078
3.99,	-0.016293,	-9.81,	0.7,	9.81,	1.7E-05,	-0.016293
4,	0.003985,	-9.81,	0.7,	9.81,	1.6E-05,	0.003985
4.01,	0.002247,	-9.81,	0.7,	9.81,	2.3E-05,	0.002247
4.02,	0.023075,	-9.81,	0.7,	9.81,	-1.9E-05,	0.023075
