    "time","driveAngle","spring.w_rel",  "PI.I.y","inertia1.phi","spring.phi_rel","integrator.y","inertia1.w"
     1.548,      1.57,0.0031830808,-0.076291143,0.54562913,0.00095711431,         1, 1.0211998
     1.552,      1.57,0.0028455306,-0.077149167,0.54971493,0.00096917469,         1,  1.021669
     1.556,      1.57,0.0025221018,-0.078022368,0.55380225,0.00097990376,         1, 1.0219627
      1.56,      1.57,0.0022186579,-0.078903836, 0.5578904,0.00098938179,         1, 1.0220983
     1.564,      1.57,0.0019370139,-0.079786939,0.56197871,0.00099770579,         1, 1.0220964
     1.568,      1.57,0.0016797444,-0.080667713,0.56606679,0.0010048304,         1, 1.0219565
     1.572,      1.57,0.0014436966,-0.081541076,0.57015412,0.0010110523,         1, 1.0217192
     1.576,      1.57,0.001229357,-0.08240305,0.57424032,0.0010163995,         1, 1.0213921
      1.58,      1.57,0.0010359956,-0.083250359,0.57832505,0.0010209367,         1, 1.0209866
     1.584,      1.57,0.00086248669,-0.08408033,0.58240805,0.0010247344,         1, 1.0205136
     1.588,      1.57,0.00070732966,-0.08489037,0.58648905,0.0010278725,         1, 1.0199855
     1.592,      1.57,0.00056904702,-0.085678447,0.59056786,0.0010304223,         1, 1.0194128
     1.596,      1.57,0.00044623439,-0.086442955,0.59464431,0.001032448,         1, 1.0188047
       1.6,      1.57,0.00033751045,-0.087182606,0.59871828,0.0010340099,         1, 1.0181698
