"time","FMU_Interface_OUT0_Primary Ang","FMU_Interface_OUT1_Secondary A","FMU_Interface_OUT2_Primary Spe","FMU_Interface_OUT3_Secondary S","FMU_Interface_OUT4_Primary Acc","FMU_Interface_OUT5_Secondary A","FMU_Interface_OUT6_Primary Tor","FMU_Interface_OUT7_Secondary T","FMU_Interface_OUT8_Torque Fric","FMU_Interface_OUT9_Spring Actu"
3.192,34897.4,34874.3,2200,2200,-2.84216E-09,-2.84216E-09,-75.6145,176.166,100.553,136.904
3.204,35055.9,35032.7,2200,2200,2.84215E-09,2.84215E-09,-76.2086,176.945,100.738,136.795
3.216,35214.4,35191.1,2200,2200,2.84214E-09,2.84214E-09,-76.7846,177.699,100.916,136.689
3.228,35372.9,35349.5,2200,2200,1.06925E-14,1.06925E-14,-77.3424,178.429,101.089,136.587
3.24,35531.4,35507.9,2200,2200,2.84214E-09,2.84214E-09,-77.8818,179.135,101.255,136.487
3.252,35689.9,35666.3,2200,2200,2.84217E-09,2.84217E-09,-78.4029,179.817,101.415,136.392
3.264,35848.4,35824.7,2200,2200,-1.10799E-14,-1.10799E-14,-78.9055,180.474,101.57,136.299
3.276,36006.9,35983.1,2200,2200,-4.26332E-26,-4.26332E-26,-79.3896,181.106,101.718,136.211
3.288,36165.3,36141.5,2200,2200,2.84216E-09,2.84216E-09,-79.855,181.714,101.86,136.125
3.3,36323.8,36299.9,2200,2200,2.84215E-09,2.84215E-09,-80.3017,182.297,101.997,136.043
3.312,36482.3,36458.3,2200,2200,2.84216E-09,2.84216E-09,-80.7295,182.855,102.127,135.965
3.324,36640.8,36616.7,2200,2200,1.17255E-14,1.17255E-14,-81.1385,183.388,102.251,135.89
3.336,36799.2,36775.1,2200,2200,4.72891E-26,4.72891E-26,-81.5286,183.896,102.369,135.818
3.348,36957.7,36933.5,2200,2200,-2.84216E-09,-2.84216E-09,-81.8997,184.38,102.482,135.75
3.36,37116.2,37091.9,2200,2200,2.84217E-09,2.84217E-09,-82.2517,184.838,102.588,135.685
3.372,37274.6,37250.3,2200,2200,-5.68432E-09,-5.68432E-09,-82.5845,185.271,102.688,135.624
3.384,37433.1,37408.7,2200,2200,2.84215E-09,2.84215E-09,-82.8982,185.679,102.783,135.567
3.396,37591.6,37567.1,2200,2200,-2.84215E-09,-2.84215E-09,-83.1927,186.062,102.871,135.513
3.408,37750,37725.5,2200,2200,-1.19883E-20,-1.19883E-20,-83.4678,186.42,102.954,135.463
3.42,37908.5,37883.9,2200,2200,0,0,-83.7237,186.752,103.03,135.416
3.432,38066.9,38042.3,2200,2200,2.84217E-09,2.84217E-09,-83.9601,187.059,103.101,135.372
3.444,38225.3,38200.7,2200,2200,2.84213E-09,2.84213E-09,-84.1772,187.341,103.165,135.333
3.456,38383.8,38359.1,2200,2200,2.84214E-09,2.84214E-09,-84.3748,187.597,103.224,135.297
3.468,38542.2,38517.5,2200,2200,2.84214E-09,2.84214E-09,-84.5529,187.827,103.276,135.264
3.48,38700.6,38675.9,2200,2200,-1.34039E-14,-1.34039E-14,-84.7115,188.033,103.323,135.235
3.492,38859.1,38834.3,2200,2200,2.84213E-09,2.84213E-09,-84.8505,188.213,103.364,135.21
3.504,39017.5,38992.7,2200,2200,2.84217E-09,2.84217E-09,-84.97,188.367,103.399,135.188
3.516,39175.9,39151.1,2200,2200,2.84214E-09,2.84214E-09,-85.0699,188.496,103.427,135.17
3.528,39334.3,39309.5,2200,2200,5.6843E-09,5.6843E-09,-85.1502,188.599,103.45,135.155
3.54,39492.7,39467.9,2200,2200,5.6843E-09,5.6843E-09,-85.2109,188.676,103.467,135.144
3.552,39651.1,39626.3,2200,2200,2.65004E-20,2.65004E-20,-85.2519,188.729,103.478,135.136
3.564,39809.5,39784.7,2200,2200,2.84216E-09,2.84216E-09,-85.2725,188.755,103.483,135.133
3.576,39967.9,39943.1,2200,2200,-2.84213E-09,-2.84213E-09,-65.2725,168.752,103.474,135.132
3.588,40126.3,40101.5,2200,2200,-1.35658E-20,-1.35658E-20,-65.2725,168.625,103.348,135.136
3.6,40284.7,40259.9,2200,2200,-2.84216E-09,-2.84216E-09,-65.2725,168.363,103.086,135.143
3.612,40443.1,40418.3,2200,2200,2.84217E-09,2.84217E-09,-65.2725,167.965,102.688,135.153
3.624,40601.5,40576.7,2200,2200,-5.68431E-09,-5.68431E-09,-65.2725,167.431,102.154,135.167
3.636,40759.9,40735.1,2200,2200,2.84216E-09,2.84216E-09,-65.2725,166.762,101.485,135.185
3.648,40918.3,40893.5,2200,2200,-2.84213E-09,-2.84213E-09,-65.2725,165.958,100.68,135.206
3.66,41076.6,41051.9,2200,2200,-1.53408E-14,-1.53408E-14,-65.2725,165.018,99.7407,135.231
3.672,41235,41210.3,2200,2200,-2.84217E-09,-2.84217E-09,-65.2725,163.943,98.6657,135.26
3.684,41393.4,41368.7,2200,2200,2.84217E-09,2.84217E-09,-65.2725,162.733,97.4557,135.292
3.696,41551.7,41527.1,2200,2200,-3.14562E-14,-3.14562E-14,-65.2725,161.388,96.1108,135.328
3.708,41710.1,41685.5,2200,2200,5.68429E-09,5.68429E-09,-65.2725,159.909,94.6313,135.367
3.72,41868.5,41843.9,2200,2200,5.68429E-09,5.68429E-09,-65.2725,158.295,93.0174,135.41
3.732,42026.8,42002.3,2200,2200,2.84214E-09,2.84214E-09,-65.2725,156.546,91.2692,135.456
3.744,42185.2,42160.7,2200,2200,2.84212E-09,2.84212E-09,-65.2725,154.664,89.3871,135.506
3.756,42343.5,42319.1,2200,2200,2.84217E-09,2.84217E-09,-65.2725,152.649,87.3714,135.559
3.768,42501.9,42477.5,2200,2200,2.84214E-09,2.84214E-09,-65.2725,150.499,85.2222,135.617
3.78,42660.2,42635.9,2200,2200,5.68429E-09,5.68429E-09,-65.2725,148.217,82.9399,135.677
3.792,42818.5,42794.3,2200,2200,5.68429E-09,5.68429E-09,-65.2725,145.802,80.5249,135.741
3.804,42976.9,42952.7,2200,2200,3.09175E-20,3.09175E-20,-65.2725,143.255,77.9774,135.809
3.816,43135.2,43111.1,2200,2200,2.84215E-09,2.84215E-09,-65.2725,140.575,75.298,135.88
3.828,43293.5,43269.5,2200,2200,-2.84212E-09,-2.84212E-09,-65.2725,137.764,72.4868,135.954
3.84,43451.8,43427.9,2200,2200,-1.57743E-20,-1.57743E-20,-65.2725,134.822,69.5444,136.032
3.852,43610.2,43586.3,2200,2200,-2.84215E-09,-2.84215E-09,-65.2725,131.748,66.4712,136.114
3.864,43768.5,43744.7,2200,2200,2.84217E-09,2.84217E-09,-65.2725,128.545,63.2676,136.199
3.876,43926.8,43903.1,2200,2200,-5.68431E-09,-5.68431E-09,-65.2725,125.211,59.9341,136.287
3.888,44085.1,44061.5,2200,2200,2.84215E-09,2.84215E-09,-65.2725,121.748,56.4711,136.379
3.9,44243.4,44219.9,2200,2200,-2.84212E-09,-2.84212E-09,-65.2725,118.156,52.8792,136.474
3.912,44401.7,44378.3,2200,2200,-1.80522E-14,-1.80522E-14,-65.2725,115.437,50.1277,136.573
3.924,44560,44536.7,2200,2200,-2.84217E-09,-2.84217E-09,-65.2725,113.591,48.2485,136.675
3.936,44718.3,44695.1,2200,2200,2.84217E-09,2.84217E-09,-65.2725,111.685,46.3059,136.781
3.948,44876.6,44853.5,2200,2200,-3.6879E-14,-3.6879E-14,-65.2725,109.72,44.3008,136.889
3.96,45034.9,45011.9,2200,2200,5.68429E-09,5.68429E-09,-65.2725,107.694,42.2341,137.002
3.972,45193.2,45170.3,2200,2200,5.68429E-09,5.68429E-09,-65.2725,105.607,40.1078,137.117
3.984,45351.4,45328.7,2200,2200,2.84213E-09,2.84213E-09,-65.2725,103.456,37.9244,137.236
3.996,45509.7,45487.1,2200,2200,2.84211E-09,2.84211E-09,-65.2725,101.242,35.6846,137.358
4.008,45668,45645.5,2200,2200,2.84217E-09,2.84217E-09,-65.2725,98.9641,33.3904,137.483
4.02,45826.3,45803.9,2200,2200,2.84213E-09,2.84213E-09,-65.2725,96.6196,31.0445,137.612
4.032,45984.5,45962.3,2200,2200,5.68428E-09,5.68428E-09,-65.2725,94.2084,28.6483,137.744
4.044,46142.8,46120.7,2200,2200,5.68428E-09,5.68428E-09,-65.2725,91.7308,26.2025,137.879
4.056,46301.1,46279.1,2200,2200,3.34421E-20,3.34421E-20,-65.2725,89.1872,23.7077,138.017
4.068,46459.3,46437.5,2200,2200,2.84215E-09,2.84215E-09,-65.2725,86.5798,21.3029,138.159
4.08,46617.6,46595.9,2200,2200,-2.84211E-09,-2.84211E-09,-65.2725,83.9123,18.6354,138.304
4.092,46775.8,46754.3,2200,2200,-1.63E-20,-1.63E-20,-65.2725,81.2213,16.0202,138.451
4.104,46934.1,46912.7,2200,2200,-2.84215E-09,-2.84215E-09,-65.2725,79.6066,14.3045,138.602
4.116,47092.3,47071.1,2200,2200,2.84217E-09,2.84217E-09,-65.2725,77.6575,12.5133,138.756
4.128,47250.6,47229.5,2200,2200,-5.6843E-09,-5.6843E-09,-65.2725,75.7552,10.52,138.913
4.14,47408.8,47387.9,2200,2200,2.84213E-09,2.84213E-09,-65.2725,74.0765,8.76147,139.074
4.152,47567,47546.3,2200,2200,-2.84213E-09,-2.84213E-09,-65.2725,72.0999,6.76359,139.237
4.164,47725.3,47704.7,2200,2200,-2.07636E-14,-2.07636E-14,-65.2725,70.0203,4.63213,139.403
4.176,47883.5,47863.1,2200,2200,-2.84217E-09,-2.84217E-09,-65.2725,68.1757,2.86736,139.572
4.188,48041.7,48021.5,2200,2200,2.84217E-09,2.84217E-09,-65.2725,66.1003,0.908278,139.744
4.2,48199.9,48179.9,2200,2200,2.84211E-09,2.84211E-09,-65.2725,63.8399,-1.32013,139.919
4.212,48358.2,48338.3,2200,2200,5.68428E-09,5.68428E-09,-65.2725,61.9159,-3.34082,140.097
4.224,48516.4,48496.7,2200,2200,5.68428E-09,5.68428E-09,-65.2725,59.9243,-5.45716,140.278
4.236,48674.6,48655.1,2200,2200,2.84213E-09,2.84213E-09,-65.2725,57.5893,-7.46135,140.462
4.248,48832.8,48813.5,2200,2200,2.84211E-09,2.84211E-09,-65.2725,55.4138,-9.93628,140.649
4.26,48991,48971.9,2200,2200,2.84217E-09,2.84217E-09,-65.2725,53.3332,-11.927,140.838
4.272,49149.2,49130.3,2200,2200,1.46179E-20,1.46179E-20,-65.2725,50.8728,-14.2377,141.03
4.284,49307.4,49288.7,2200,2200,2.84215E-09,2.84215E-09,-65.2725,49.0612,-16.3236,141.225
4.296,49465.6,49447.1,2200,2200,2.84217E-09,2.84217E-09,-65.2725,47.2495,-17.829,141.423
4.308,49623.8,49605.5,2200,2200,1.44074E-20,1.44074E-20,-65.2725,45.5074,-19.7183,141.623
4.32,49782,49763.9,2200,2200,2.84215E-09,2.84215E-09,-65.2725,43.8181,-21.3638,141.826
4.332,49940.2,49922.3,2200,2200,-2.8421E-09,-2.8421E-09,-65.2725,42.1651,-23.1193,142.032
4.344,50098.4,50080.7,2200,2200,-1.39864E-20,-1.39864E-20,-65.2725,40.4347,-24.769,142.24
4.356,50256.6,50239.1,2200,2200,-2.84215E-09,-2.84215E-09,-65.2725,38.6549,-26.8423,142.451
4.368,50414.8,50397.5,2200,2200,2.84217E-09,2.84217E-09,-65.2725,36.8134,-28.7381,142.664
4.38,50573,50555.9,2200,2200,-5.6843E-09,-5.6843E-09,-65.2725,34.9839,-30.6059,142.88
4.392,50731.2,50714.3,2200,2200,2.84212E-09,2.84212E-09,-65.2725,33.0342,-32.3507,143.098
4.404,50889.3,50872.7,2200,2200,-2.84212E-09,-2.84212E-09,-65.2725,31.0554,-34.1557,143.319
4.416,51047.5,51031.1,2200,2200,-2.3475E-14,-2.3475E-14,-65.2725,29.1522,-36.083,143.542
4.428,51205.7,51189.5,2200,2200,2.8421E-09,2.8421E-09,-65.2725,27.1412,-37.9491,143.768
4.44,51363.9,51347.9,2200,2200,2.84217E-09,2.84217E-09,-65.2725,25.1761,-39.8431,143.996
4.452,51522,51506.3,2200,2200,2.8421E-09,2.8421E-09,-65.2725,23.2765,-41.8437,144.226
4.464,51680.2,51664.7,2200,2200,5.68427E-09,5.68427E-09,-65.2725,21.3164,-43.8504,144.459
4.476,51838.4,51823.1,2200,2200,5.68427E-09,5.68427E-09,-65.2725,19.7626,-45.4554,144.694
4.488,51996.5,51981.5,2200,2200,2.84212E-09,2.84212E-09,-65.2725,18.1899,-47.0285,144.931
4.5,52154.7,52139.9,2200,2200,2.84215E-09,2.84215E-09,-65.2725,16.6029,-48.621,145.17
4.512,52312.9,52298.3,2200,2200,2.84217E-09,2.84217E-09,-65.2725,14.9839,-50.2814,145.411
4.524,52471,52456.7,2200,2200,1.2514E-20,1.2514E-20,-65.2725,13.3658,-51.9057,145.655
4.536,52629.2,52615.1,2200,2200,2.84215E-09,2.84215E-09,-65.2725,11.7518,-53.5364,145.901
4.548,52787.3,52773.5,2200,2200,2.84217E-09,2.84217E-09,-65.2725,10.1319,-55.1799,146.148
4.56,52945.5,52931.9,2200,2200,-5.68429E-09,-5.68429E-09,-65.2725,8.49735,-56.4179,146.398
4.572,53103.6,53090.3,2200,2200,2.84215E-09,2.84215E-09,-65.2725,6.86254,-58.1054,146.65
4.584,53261.8,53248.7,2200,2200,-2.8421E-09,-2.8421E-09,-65.2725,5.21498,-59.8049,146.903
4.596,53419.9,53407.1,2200,2200,-1.18829E-20,-1.18829E-20,-65.2725,3.55376,-61.5236,147.159
4.608,53578.1,53565.5,2200,2200,-2.84215E-09,-2.84215E-09,-65.2725,1.86857,-63.2513,147.416
4.62,53736.2,53723.9,2200,2200,2.84217E-09,2.84217E-09,-65.2725,0.186231,-64.9762,147.675
4.632,53894.3,53882.3,2200,2200,-5.15983E-14,-5.15983E-14,-65.2725,-1.51982,-66.7183,147.936
4.644,54052.5,54040.7,2200,2200,2.84212E-09,2.84212E-09,-65.2725,-3.2262,-68.4669,148.199
4.656,54210.6,54199.1,2200,2200,2.84212E-09,2.84212E-09,-65.2725,-4.94211,-70.235,148.463
4.668,54368.7,54357.5,2200,2200,-2.61864E-14,-2.61864E-14,-65.2725,-6.66704,-72.011,148.73
4.68,54526.9,54515.9,2200,2200,2.84209E-09,2.84209E-09,-65.2725,-8.40198,-73.7927,148.997
4.692,54685,54674.3,2200,2200,2.84217E-09,2.84217E-09,-65.2725,-10,-75.5277,149.258
4.704,54843.1,54832.7,2200,2200,2.84212E-09,2.84212E-09,-65.2725,-10,-75.1891,149.273
4.716,55001.3,54991.1,2200,2200,5.68426E-09,5.68426E-09,-65.2725,-10,-75.1891,149.273
4.728,55159.4,55149.5,2200,2200,5.68426E-09,5.68426E-09,-65.2725,-10,-75.1891,149.273
4.74,55317.5,55307.9,2200,2200,2.84212E-09,2.84212E-09,-65.2725,-10,-75.1891,149.273
4.752,55475.6,55466.3,2200,2200,2.84214E-09,2.84214E-09,-65.2725,-10,-75.1891,149.273
4.764,55633.8,55624.7,2200,2200,2.72194E-14,2.72194E-14,-65.2725,-10,-75.1891,149.273
4.776,55791.9,55783.1,2200,2200,9.76862E-26,9.76862E-26,-65.2725,-10,-75.1891,149.273
4.788,55950,55941.5,2200,2200,-2.84214E-09,-2.84214E-09,-65.2725,-10,-75.1891,149.273
4.8,56108.1,56099.9,2200,2200,2.84217E-09,2.84217E-09,-65.2725,-10,-75.1891,149.273
4.812,56266.2,56258.3,2200,2200,-5.68429E-09,-5.68429E-09,-65.2725,-10,-75.1891,149.273
4.824,56424.3,56416.7,2200,2200,2.84214E-09,2.84214E-09,-65.2725,-10,-75.1891,149.273
4.836,56582.5,56575.1,2200,2200,-2.84209E-09,-2.84209E-09,-65.2725,-10,-75.1891,149.273
4.848,56740.6,56733.5,2200,2200,-2.81233E-14,-2.81233E-14,-65.2725,-10,-75.1891,149.273
4.86,56898.7,56891.9,2200,2200,-2.84217E-09,-2.84217E-09,-65.2725,-10,-75.1891,149.273
4.872,57056.8,57050.3,2200,2200,2.84217E-09,2.84217E-09,-65.2725,-10,-75.1891,149.273
4.884,57214.9,57208.7,2200,2200,-5.70211E-14,-5.70211E-14,-65.2725,-10,-75.1891,149.273
4.896,57373,57367.1,2200,2200,2.84211E-09,2.84211E-09,-65.2725,-10,-75.1891,149.273
4.908,57531.1,57525.5,2200,2200,5.68426E-09,5.68426E-09,-65.2725,-10,-75.1891,149.273
4.92,57689.2,57683.9,2200,2200,2.84211E-09,2.84211E-09,-65.2725,-10,-75.1891,149.273
4.932,57847.3,57842.3,2200,2200,2.84208E-09,2.84208E-09,-65.2725,-10,-75.1891,149.273
4.944,58005.4,58000.7,2200,2200,2.84217E-09,2.84217E-09,-65.2725,-10,-75.1891,149.273
4.956,58163.6,58159.1,2200,2200,2.84211E-09,2.84211E-09,-65.2725,-10,-75.1891,149.273
4.968,58321.7,58317.5,2200,2200,5.68425E-09,5.68425E-09,-65.2725,-10,-75.1891,149.273
4.98,58479.8,58475.9,2200,2200,5.68425E-09,5.68425E-09,-65.2725,-10,-75.1891,149.273
4.992,58637.9,58634.3,2200,2200,1.66131E-20,1.66131E-20,-65.2725,-10,-75.1891,149.273
5.004,58796,58792.7,2200,2200,0,0,-65.2725,-10,-75.1891,149.273
5.016,58954.1,58951.1,2200,2200,2.84217E-09,2.84217E-09,-65.2725,-10,-75.1891,149.273
5.028,59112.2,59109.5,2200,2200,-3.006E-14,-3.006E-14,-65.2725,-10,-75.1891,149.273
5.04,59270.3,59267.9,2200,2200,2.84211E-09,2.84211E-09,-65.2725,-10,-75.1891,149.273
5.052,59428.4,59426.3,2200,2200,2.84217E-09,2.84217E-09,-65.2725,-10,-75.1891,149.273
5.064,59586.5,59584.7,2200,2200,7.67582E-21,7.67582E-21,-65.2725,-10,-75.1891,149.273
5.076,59744.6,59743.1,2200,2200,2.84211E-09,2.84211E-09,-65.2725,-10,-75.1891,149.273
5.088,59902.7,59901.5,2200,2200,2.84217E-09,2.84217E-09,-65.2725,-10,-75.1891,149.273
5.1,60060.8,60059.9,2200,2200,-3.08347E-14,-3.08347E-14,-65.2725,-10,-75.1891,149.273
5.112,60218.9,60218.3,2200,2200,2.84211E-09,2.84211E-09,-65.2725,-10,-75.1891,149.273
5.124,60377,60376.7,2200,2200,7.04427E-21,7.04427E-21,-65.2725,-10,-75.1891,149.273
5.136,60535.1,60535.1,2200,2200,-3.1222E-14,-3.1222E-14,-65.2725,-10,-75.1891,149.273
5.148,60693.2,60693.5,2200,2200,2.84211E-09,2.84211E-09,10,-87.8654,-77.2164,149.121
5.16,60851.3,60851.9,2200,2200,2.84217E-09,2.84217E-09,10,-87.1059,-76.8535,149.229
5.172,61009.4,61010.3,2200,2200,-3.16095E-14,-3.16095E-14,10,-87.2789,-77.1219,149.172
5.184,61167.5,61168.7,2200,2200,2.84211E-09,2.84211E-09,10,-86.8732,-77.432,149.165
5.196,61325.6,61327.1,2200,2200,2.84217E-09,2.84217E-09,10,-86.4002,-76.8966,149.245
5.208,61483.7,61485.5,2200,2200,-3.19967E-14,-3.19967E-14,10,-87.5259,-77.4693,149.133
5.22,61641.8,61643.9,2200,2200,2.84211E-09,2.84211E-09,10,-86.386,-76.9016,149.279
5.232,61799.9,61802.3,2200,2200,2.84217E-09,2.84217E-09,10,-87.9782,-77.4971,149.095
5.244,61958,61960.7,2200,2200,-3.23842E-14,-3.23842E-14,10,-86.2251,-76.9321,149.307
5.256,62116.1,62119.1,2200,2200,-6.58857E-26,-6.58857E-26,10,-88.3166,-77.4795,149.074
5.268,62274.2,62277.5,2200,2200,2.84217E-09,2.84217E-09,10,-85.864,-77.0602,149.304
5.28,62432.3,62435.9,2200,2200,-3.27714E-14,-3.27714E-14,10,-88.2507,-77.3714,149.101
5.292,62590.4,62594.3,2200,2200,2.84211E-09,2.84211E-09,10,-86.1562,-76.5444,149.248
5.304,62748.5,62752.7,2200,2200,2.84217E-09,2.84217E-09,10,-88.1383,-77.2097,149.115
5.316,62906.6,62911.1,2200,2200,5.36178E-21,5.36178E-21,10,-86.641,-76.8629,149.24
5.328,63064.7,63069.5,2200,2200,2.8421E-09,2.8421E-09,10,-87.4406,-77.1169,149.158
5.34,63222.8,63227.9,2200,2200,2.84217E-09,2.84217E-09,10,-87.3417,-77.2892,149.185
5.352,63380.9,63386.3,2200,2200,-3.35461E-14,-3.35461E-14,10,-86.8946,-77.0047,149.22
5.364,63539,63544.7,2200,2200,2.8421E-09,2.8421E-09,10,-87.3691,-77.4642,149.137
5.376,63697.1,63703.1,2200,2200,3.38044E-14,3.38044E-14,10,-86.5456,-76.8997,149.274
5.388,63855.2,63861.5,2200,2200,-3.39336E-14,-3.39336E-14,10,-87.8831,-77.3926,149.105
5.4,64013.3,64019.9,2200,2200,2.8421E-09,2.8421E-09,10,-86.461,-76.9316,149.3
5.412,64171.5,64178.3,2200,2200,2.84217E-09,2.84217E-09,10,-88.2421,-77.5119,149.075
5.424,64329.6,64336.7,2200,2200,-3.43209E-14,-3.43209E-14,10,-86.0023,-77.0208,149.31
5.436,64487.7,64495.1,2200,2200,2.8421E-09,2.8421E-09,10,-88.1582,-77.4155,149.099
5.448,64645.8,64653.5,2200,2200,2.84217E-09,2.84217E-09,10,-86.3272,-75.7483,149.256
5.46,64803.9,64811.9,2200,2200,-3.47084E-14,-3.47084E-14,10,-88.2409,-77.2939,149.102
5.472,64962,64970.3,2200,2200,2.8421E-09,2.8421E-09,10,-86.5661,-76.4159,149.251
5.484,65120.1,65128.7,2200,2200,2.84217E-09,2.84217E-09,10,-87.7813,-77.1766,149.137
5.496,65278.3,65287.1,2200,2200,-3.50956E-14,-3.50956E-14,10,-86.9866,-76.8402,149.206
5.508,65436.4,65445.5,2200,2200,-4.54321E-26,-4.54321E-26,10,-87.2128,-77.049,149.181
5.52,65594.5,65603.9,2200,2200,0,0,10,-87.33,-77.3918,149.168
5.532,65752.6,65762.3,2200,2200,0,0,10,-86.8542,-76.9339,149.237
5.544,65910.7,65920.7,2200,2200,0,0,10,-87.5286,-77.3849,149.155
5.556,66068.9,66079.1,2200,2200,0,0,10,-86.991,-77.0065,149.248
5.568,66227,66237.5,2200,2200,0,0,10,-87.8478,-77.524,149.103
5.58,66385.1,66395.9,2200,2200,0,0,11.0889,-85.9132,-77.0973,149.256
5.592,66543.2,66554.3,2200,2200,0,0,11.0888,-88.7081,-77.3493,148.985
5.604,66701.4,66712.7,2200,2200,0,0,12.4379,-90.8254,-78.0807,148.716
5.616,66859.5,66871.1,2200,2200,0,0,13.7692,-92.8094,-78.8666,148.448
5.628,67017.6,67029.5,2200,2200,0,0,15.0998,-94.8745,-79.4107,148.182
5.64,67175.8,67187.9,2200,2200,0,0,16.5046,-96.7697,-79.9538,147.918
5.652,67333.9,67346.3,2200,2200,0,0,17.9469,-98.5802,-80.4811,147.655
5.664,67492.1,67504.7,2200,2200,0,0,19.4057,-100.399,-80.7131,147.394
5.676,67650.2,67663.1,2200,2200,0,0,20.8938,-102.204,-81.3894,147.135
5.688,67808.3,67821.5,2200,2200,0,0,22.291,-104.041,-82.0167,146.878
5.7,67966.5,67979.9,2200,2200,0,0,23.5708,-105.932,-82.5201,146.622
5.712,68124.6,68138.3,2200,2200,0,0,24.816,-107.779,-83.0289,146.369
5.724,68282.8,68296.7,2200,2200,0,0,26.1278,-109.56,-83.544,146.117
5.736,68440.9,68455.1,2200,2200,0,0,27.5248,-111.342,-83.9469,145.868
5.748,68599.1,68613.5,2200,2200,0,0,28.9691,-113.139,-84.3555,145.62
5.76,68757.2,68771.9,2200,2200,0,0,30.2182,-114.965,-84.9813,145.375
5.772,68915.4,68930.3,2200,2200,0,0,31.3612,-116.762,-85.4541,145.131
5.784,69073.6,69088.7,2200,2200,0,0,32.5728,-118.672,-85.9209,144.89
5.796,69231.7,69247.1,2200,2200,0,0,33.8637,-120.525,-86.3957,144.651
5.808,69389.9,69405.5,2200,2200,0,0,35.1818,-122.185,-86.8598,144.414
5.82,69548,69563.9,2200,2200,0,0,36.5355,-123.757,-86.9615,144.179
5.832,69706.2,69722.3,2200,2200,0,0,37.8948,-125.373,-87.5235,143.947
5.844,69864.4,69880.7,2200,2200,0,0,39.1315,-127.06,-88.1659,143.717
5.856,70022.6,70039.1,2200,2200,0,0,40.2188,-128.762,-88.5934,143.489
5.868,70180.7,70197.5,2200,2200,0,0,41.3314,-130.385,-89.0323,143.263
5.88,70338.9,70355.9,2200,2200,0,0,42.5459,-131.898,-89.4721,143.04
5.892,70497.1,70514.3,2200,2200,0,0,43.8076,-133.45,-89.8918,142.82
5.904,70655.3,70672.7,2200,2200,0,0,45.1019,-135.028,-89.6254,142.602
5.916,70813.5,70831.1,2200,2200,0,0,46.1585,-136.622,-90.529,142.386
5.928,70971.6,70989.5,2200,2200,0,0,47.1681,-138.213,-91.0701,142.173
5.94,71129.8,71147.9,2200,2200,0,0,48.2471,-139.896,-91.4673,141.962
5.952,71288,71306.3,2200,2200,0,0,49.3976,-141.464,-91.8631,141.754
5.964,71446.2,71464.7,2200,2200,0,0,50.5607,-142.869,-92.2474,141.549
5.976,71604.4,71623.1,2200,2200,0,0,51.7277,-144.261,-92.205,141.346
5.988,71762.6,71781.5,2200,2200,0,0,52.8768,-145.689,-92.7139,141.146
6,71920.8,71939.9,2200,2200,0,0,53.886,-147.123,-93.3167,140.948
6.012,72079,72098.3,2200,2200,-4.06477E-14,-4.06477E-14,54.8389,-148.608,-93.6714,140.753
6.024,72237.2,72256.7,2200,2200,5.68422E-09,5.68422E-09,55.8913,-149.91,-94.0344,140.561
6.036,72395.4,72415.1,2200,2200,-4.09059E-14,-4.09059E-14,56.9873,-151.186,-94.3921,140.372
6.048,72553.7,72573.5,2200,2200,5.68422E-09,5.68422E-09,58.0046,-152.541,-94.7249,140.186
6.06,72711.9,72731.9,2200,2200,-2.15067E-22,-2.15067E-22,58.9775,-153.82,-94.8687,140.002
6.072,72870.1,72890.3,2200,2200,8.25868E-14,8.25868E-14,59.928,-155.123,-94.8961,139.822
6.084,73028.3,73048.7,2200,2200,-3.1302E-27,-3.1302E-27,60.8482,-156.427,-95.5391,139.644
6.096,73186.5,73207.1,2200,2200,-2.84205E-09,-2.84205E-09,61.7389,-157.739,-95.9972,139.469
6.108,73344.8,73365.5,2200,2200,1.07533E-22,1.07533E-22,62.6452,-159.035,-96.3072,139.297
6.12,73503,73523.9,2200,2200,-2.84205E-09,-2.84205E-09,63.5764,-160.275,-96.6109,139.128
6.132,73661.2,73682.3,2200,2200,-2.84213E-09,-2.84213E-09,64.5153,-161.439,-96.9048,138.962
6.144,73819.5,73840.7,2200,2200,-2.84204E-09,-2.84204E-09,65.4322,-162.572,-96.8485,138.799
6.156,73977.7,73999.1,2200,2200,-2.84213E-09,-2.84213E-09,66.3136,-163.71,-97.2936,138.639
6.168,74136,74157.5,2200,2200,-2.84213E-09,-2.84213E-09,67.1269,-164.873,-97.7296,138.482
6.18,74294.2,74315.9,2200,2200,-2.84213E-09,-2.84213E-09,67.8992,-165.999,-98.0053,138.328
6.192,74452.4,74474.3,2200,2200,-2.84213E-09,-2.84213E-09,68.7137,-166.979,-98.2793,138.177
6.204,74610.7,74632.7,2200,2200,5.68421E-09,5.68421E-09,69.5207,-167.964,-98.5435,138.03
6.216,74769,74791.1,2200,2200,-4.28426E-14,-4.28426E-14,70.4479,-168.992,-98.5698,137.885
6.228,74927.2,74949.5,2200,2200,5.68421E-09,5.68421E-09,71.1411,-169.924,-99.0176,137.744
6.24,75085.5,75107.9,2200,2200,-4.31008E-14,-4.31008E-14,71.7216,-171.036,-99.2648,137.606
6.252,75243.7,75266.3,2200,2200,5.68421E-09,5.68421E-09,72.5669,-171.988,-99.5004,137.471
6.264,75402,75424.7,2200,2200,-4.33591E-14,-4.33591E-14,73.2801,-172.94,-99.6967,137.339
