"time","y","y1","y2","y3","y4","y5","y6","Q","QI"
2.22097656,0,8,1,0,1,0,0,1,0
2.22488281,0,8,1,0,1,0,0,1,0
2.23,0,8,1,0,1,0,0,1,0
2.23,0,8,1,0,1,0,0,1,0
2.23,0,8,1,0,1,0,0,1,0
2.23019531,0,8,1,0,1,0,0,1,0
2.23097656,0,8,1,0,1,0,0,1,0
2.23488281,0,8,1,0,1,0,0,1,0
2.24,0,8,1,0,1,0,0,1,0
2.24,0,8,1,0,1,0,0,1,0
2.24,0,8,1,0,1,0,0,1,0
2.24019531,0,8,1,0,1,0,0,1,0
2.24097656,0,8,1,0,1,0,0,1,0
2.24488281,0,8,1,0,1,0,0,1,0
2.25,0,8,1,0,1,0,0,1,0
2.25,0,8,1,0,1,0,0,1,0
2.25,0,8,1,0,1,0,0,1,0
2.25019531,0,8,1,0,1,0,0,1,0
2.25097656,0,8,1,0,1,0,0,1,0
2.25488281,0,8,1,0,1,0,0,1,0
2.26,0,8,1,0,1,0,0,1,0
2.26,0,8,1,0,1,0,0,1,0
2.26,0,8,1,0,1,0,0,1,0
2.26019531,0,8,1,0,1,0,0,1,0
2.26097656,0,8,1,0,1,0,0,1,0
2.26488281,0,8,1,0,1,0,0,1,0
2.27,0,8,1,0,1,0,0,1,0
2.27,0,8,1,0,1,0,0,1,0
2.27,0,8,1,0,1,0,0,1,0
2.27019531,0,8,1,0,1,0,0,1,0
2.27097656,0,8,1,0,1,0,0,1,0
2.27488281,0,8,1,0,1,0,0,1,0
2.28,0,8,1,0,1,0,0,1,0
2.28,0,8,1,0,1,0,0,1,0
2.28,0,8,1,0,1,0,0,1,0
2.28019531,0,8,1,0,1,0,0,1,0
2.28097656,0,8,1,0,1,0,0,1,0
2.28488281,0,8,1,0,1,0,0,1,0
2.29,0,8,1,0,1,0,0,1,0
2.29,0,8,1,0,1,0,0,1,0
2.29,0,8,1,0,1,0,0,1,0
2.29019531,0,8,1,0,1,0,0,1,0
2.29097656,0,8,1,0,1,0,0,1,0
2.29488281,0,8,1,0,1,0,0,1,0
2.3,0,8,1,0,1,0,0,1,0
2.3,0,8,1,0,1,0,0,1,0
2.3,0,8,1,0,1,0,0,0,1
2.30019531,0,8,1,0,1,0,0,0,1
2.30097656,0,8,1,0,1,0,0,0,1
2.30488281,0,8,1,0,1,0,0,0,1
2.31,0,8,1,0,1,0,0,0,1
2.31,0,8,1,0,1,0,0,0,1
2.31,0,8,1,0,1,0,0,0,1
2.31019531,0,8,1,0,1,0,0,0,1
2.31097656,0,8,1,0,1,0,0,0,1
2.31488281,0,8,1,0,1,0,0,0,1
2.32,0,8,1,0,1,0,0,0,1
2.32,0,8,1,0,1,0,0,0,1
2.32,0,8,1,0,1,0,0,0,1
2.32019531,0,8,1,0,1,0,0,0,1
2.32097656,0,8,1,0,1,0,0,0,1
2.32488281,0,8,1,0,1,0,0,0,1
2.33,0,8,1,0,1,0,0,0,1
2.33,0,8,1,0,1,0,0,0,1
2.33,0,8,1,0,1,0,0,0,1
2.33019531,0,8,1,0,1,0,0,0,1
2.33097656,0,8,1,0,1,0,0,0,1
2.33488281,0,8,1,0,1,0,0,0,1
2.34,0,8,1,0,1,0,0,0,1
2.34,0,8,1,0,1,0,0,0,1
2.34,0,8,1,0,1,0,0,0,1
2.34019531,0,8,1,0,1,0,0,0,1
2.34097656,0,8,1,0,1,0,0,0,1
2.34488281,0,8,1,0,1,0,0,0,1
2.35,0,8,1,0,1,0,0,0,1
2.35,0,8,1,0,1,0,0,0,1
2.35,0,8,1,0,1,0,0,0,1
2.35019531,0,8,1,0,1,0,0,0,1
2.35097656,0,8,1,0,1,0,0,0,1
2.35488281,0,8,1,0,1,0,0,0,1
2.36,0,8,1,0,1,0,0,0,1
2.36,0,8,1,0,1,0,0,0,1
2.36,0,8,1,0,1,0,0,0,1
2.36019531,0,8,1,0,1,0,0,0,1
2.36097656,0,8,1,0,1,0,0,0,1
2.36488281,0,8,1,0,1,0,0,0,1
2.37,0,8,1,0,1,0,0,0,1
2.37,0,8,1,0,1,0,0,0,1
2.37,0,8,1,0,1,0,0,0,1
2.37019531,0,8,1,0,1,0,0,0,1
2.37097656,0,8,1,0,1,0,0,0,1
2.37488281,0,8,1,0,1,0,0,0,1
2.38,0,8,1,0,1,0,0,0,1
2.38,0,8,1,0,1,0,0,0,1
2.38,0,8,1,0,1,0,0,0,1
2.38019531,0,8,1,0,1,0,0,0,1
2.38097656,0,8,1,0,1,0,0,0,1
2.38488281,0,8,1,0,1,0,0,0,1
2.39,0,8,1,0,1,0,0,0,1
2.39,0,8,1,0,1,0,0,0,1
2.39,0,8,1,0,1,0,0,0,1
2.39019531,0,8,1,0,1,0,0,0,1
2.39097656,0,8,1,0,1,0,0,0,1
2.39488281,0,8,1,0,1,0,0,0,1
2.4,0,8,1,0,1,0,0,0,1
2.4,0,8,1,0,1,0,0,0,1
2.4,0,8,1,0,1,0,0,0,1
2.40019531,0,8,1,0,1,0,0,0,1
2.40097656,0,8,1,0,1,0,0,0,1
2.40488281,0,8,1,0,1,0,0,0,1
2.41,0,8,1,0,1,0,0,0,1
2.41,0,8,1,0,1,0,0,0,1
2.41,0,8,1,0,1,0,0,0,1
2.41019531,0,8,1,0,1,0,0,0,1
2.41097656,0,8,1,0,1,0,0,0,1
2.41488281,0,8,1,0,1,0,0,0,1
2.42,0,8,1,0,1,0,0,0,1
2.42,0,8,1,0,1,0,0,0,1
2.42,0,8,1,0,1,0,0,0,1
2.42019531,0,8,1,0,1,0,0,0,1
2.42097656,0,8,1,0,1,0,0,0,1
2.42488281,0,8,1,0,1,0,0,0,1
2.43,0,8,1,0,1,0,0,0,1
2.43,0,8,1,0,1,0,0,0,1
2.43,0,8,1,0,1,0,0,0,1
2.43019531,0,8,1,0,1,0,0,0,1
2.43097656,0,8,1,0,1,0,0,0,1
2.43488281,0,8,1,0,1,0,0,0,1
2.44,0,8,1,0,1,0,0,0,1
2.44,0,8,1,0,1,0,0,0,1
2.44,0,8,1,0,1,0,0,0,1
2.44019531,0,8,1,0,1,0,0,0,1
2.44097656,0,8,1,0,1,0,0,0,1
2.44488281,0,8,1,0,1,0,0,0,1
2.45,0,8,1,0,1,0,0,0,1
2.45,0,8,1,0,1,0,0,0,1
2.45,0,8,1,0,1,0,0,0,1
2.45019531,0,8,1,0,1,0,0,0,1
2.45097656,0,8,1,0,1,0,0,0,1
2.45488281,0,8,1,0,1,0,0,0,1
2.46,0,8,1,0,1,0,0,0,1
2.46,0,8,1,0,1,0,0,0,1
2.46,0,8,1,0,1,0,0,0,1
2.46019531,0,8,1,0,1,0,0,0,1
2.46097656,0,8,1,0,1,0,0,0,1
2.46488281,0,8,1,0,1,0,0,0,1
2.47,0,8,1,0,1,0,0,0,1
2.47,0,8,1,0,1,0,0,0,1
2.47,0,8,1,0,1,0,0,0,1
2.47019531,0,8,1,0,1,0,0,0,1
2.47097656,0,8,1,0,1,0,0,0,1
2.47488281,0,8,1,0,1,0,0,0,1
2.48,0,8,1,0,1,0,0,0,1
2.48,0,8,1,0,1,0,0,0,1
2.48,0,8,1,0,1,0,0,0,1
2.48019531,0,8,1,0,1,0,0,0,1
2.48097656,0,8,1,0,1,0,0,0,1
2.48488281,0,8,1,0,1,0,0,0,1
2.49,0,8,1,0,1,0,0,0,1
2.49,0,8,1,0,1,0,0,0,1
2.49,0,8,1,0,1,0,0,0,1
2.49019531,0,8,1,0,1,0,0,0,1
2.49097656,0,8,1,0,1,0,0,0,1
2.49488281,0,8,1,0,1,0,0,0,1
2.5,0,8,1,0,1,0,0,0,1
2.5,0,8,1,0,1,0,0,0,1
2.5,0,8,1,0,1,0,0,0,1
2.50019531,0,8,1,0,1,0,0,0,1
2.50097656,0,8,1,0,1,0,0,0,1
2.50488281,0,8,1,0,1,0,0,0,1
2.51,0,8,1,0,1,0,0,0,1
2.51,0,8,1,0,1,0,0,0,1
2.51,0,8,1,0,1,0,0,1,0
2.51019531,0,8,1,0,1,0,0,1,0
2.51097656,0,8,1,0,1,0,0,1,0
2.51488281,0,8,1,0,1,0,0,1,0
2.52,0,8,1,0,1,0,0,1,0
2.52,0,8,1,0,1,0,0,1,0
2.52,0,8,1,0,1,0,0,1,0
2.52019531,0,8,1,0,1,0,0,1,0
2.52097656,0,8,1,0,1,0,0,1,0
2.52488281,0,8,1,0,1,0,0,1,0
2.53,0,8,1,0,1,0,0,1,0
2.53,0,8,1,0,1,0,0,1,0
2.53,0,8,1,0,1,0,0,1,0
2.53019531,0,8,1,0,1,0,0,1,0
2.53097656,0,8,1,0,1,0,0,1,0
2.53488281,0,8,1,0,1,0,0,1,0
2.54,0,8,1,0,1,0,0,1,0
2.54,0,8,1,0,1,0,0,1,0
2.54,0,8,1,0,1,0,0,1,0
2.54019531,0,8,1,0,1,0,0,1,0
2.54097656,0,8,1,0,1,0,0,1,0
2.54488281,0,8,1,0,1,0,0,1,0
2.55,0,8,1,0,1,0,0,1,0
2.55,0,8,1,0,1,0,0,1,0
2.55,0,8,1,0,1,0,0,1,0
2.55019531,0,8,1,0,1,0,0,1,0
2.55097656,0,8,1,0,1,0,0,1,0
2.55488281,0,8,1,0,1,0,0,1,0
2.56,0,8,1,0,1,0,0,1,0
2.56,0,8,1,0,1,0,0,1,0
2.56,0,8,1,0,1,0,0,1,0
2.56019531,0,8,1,0,1,0,0,1,0
