time,volume@INJ01,q@INJ01
0.012980000000000002,0.00015698351855500002,-1.24546683037e-08
0.01299,0.000156983518553,-1.24546892558e-08
0.01299,0.000156983518553,-1.24546892558e-08
0.013000000000000001,0.000156983518551,-1.2454717192000001e-08
0.013000000000000001,0.000156983518551,-1.2454717192000001e-08
0.013009999999999999,0.000156983518549,-1.24547102079e-08
0.013009999999999999,0.000156983518549,-1.24547102079e-08
0.013019999999999999,0.00015698351854700001,-1.2454717192000001e-08
0.013019999999999999,0.00015698351854700001,-1.2454717192000001e-08
0.013030000000000002,0.000156983518545,-1.2454703223899998e-08
0.013030000000000002,0.000156983518545,-1.2454703223899998e-08
0.013040000000000001,0.000156983518542,-1.24546892558e-08
0.013040000000000001,0.000156983518542,-1.24546892558e-08
0.01305,0.00015698351854,-1.24546683037e-08
0.01305,0.00015698351854,-1.24546683037e-08
0.013059999999999999,0.000156983518538,-1.24546263995e-08
0.013059999999999999,0.000156983518538,-1.24546263995e-08
0.013069999999999998,0.000156983518536,-1.2454584495200001e-08
0.013069999999999998,0.000156983518536,-1.2454584495200001e-08
0.013080000000000001,0.00015698351853400002,-1.2454535606899999e-08
0.013080000000000001,0.00015698351853400002,-1.2454535606899999e-08
0.013090000000000001,0.000156983518532,-1.24544657665e-08
0.013090000000000001,0.000156983518532,-1.24544657665e-08
0.0131,0.00015698351853,-1.2454402910200002e-08
0.0131,0.00015698351853,-1.2454402910200002e-08
0.01311,0.000156983518528,-1.24543121176e-08
0.01311,0.000156983518528,-1.24543121176e-08
0.01312,0.000156983518526,-1.24542213251e-08
0.01312,0.000156983518526,-1.24542213251e-08
0.013130000000000001,0.000156983518524,-1.2454109580399999e-08
0.013130000000000001,0.000156983518524,-1.2454109580399999e-08
0.01314,0.00015698351852200002,-1.2453976883700002e-08
0.01314,0.00015698351852200002,-1.2453976883700002e-08
0.01315,0.00015698351852000002,-1.24538232348e-08
0.01315,0.00015698351852000002,-1.24538232348e-08
0.01316,0.000156983518518,-1.24578320741e-08
0.01316,0.000156983518518,-1.24578320741e-08
0.01317,0.00015698351851499998,-1.2453327367899998e-08
0.01317,0.00015698351851499998,-1.2453327367899998e-08
0.01318,0.00015698351851299998,-1.29883292678e-07
0.01318,0.00015698351851299998,-1.29883292678e-07
0.01319,0.000156983518511,-1.24225556847e-08
0.01319,0.000156983518511,-1.24225556847e-08
0.0132,0.000156983518509,-1.23631703869e-08
0.0132,0.000156983518509,-1.23631703869e-08
0.01321,0.000156983518507,-1.22586472342e-08
0.01321,0.000156983518507,-1.22586472342e-08
0.013219999999999999,0.000156983518505,-1.20600700054e-08
0.013219999999999999,0.000156983518505,-1.20600700054e-08
0.01323,0.000156983518503,-1.16784690056e-08
0.01323,0.000156983518503,-1.16784690056e-08
0.01324,0.00015698351850100003,-1.10830236612e-08
0.01324,0.00015698351850100003,-1.10830236612e-08
0.01325,0.00015698351849899997,-1.03380500006e-08
0.01325,0.00015698351849899997,-1.03380500006e-08
0.01326,0.00015698351849799999,-9.56273067792e-09
0.01326,0.00015698351849799999,-9.56273067792e-09
0.013269999999999999,0.00015698351849599998,-8.83873008261e-09
0.013269999999999999,0.00015698351849599998,-8.83873008261e-09
0.013280000000000002,0.000156983518495,-8.21915486269e-09
0.013280000000000002,0.000156983518495,-8.21915486269e-09
0.01329,0.00015698351849399998,-7.74016139975e-09
0.01329,0.00015698351849399998,-7.74016139975e-09
0.0133,0.000156983518492,-7.42646621644e-09
0.0133,0.000156983518492,-7.42646621644e-09
0.013309999999999999,0.000156983518491,-7.29320373082e-09
0.013309999999999999,0.000156983518491,-7.29320373082e-09
0.013319999999999999,0.00015698351849,-7.34660370804e-09
0.013319999999999999,0.00015698351849,-7.34660370804e-09
0.013330000000000002,0.000156983518489,-7.58415189311e-09
0.013330000000000002,0.000156983518489,-7.58415189311e-09
0.013340000000000001,0.00015698351848700002,-7.994457314190001e-09
0.013340000000000001,0.00015698351848700002,-7.994457314190001e-09
0.01335,0.00015698351848599998,-8.556951969059999e-09
0.01335,0.00015698351848599998,-8.556951969059999e-09
0.013359999999999999,0.000156983518484,-9.240689570559999e-09
0.013359999999999999,0.000156983518484,-9.240689570559999e-09
