"time","Capacitor1.i","IdealDiode3.v"
2.9190099999880908E-002,-2.7107849966503755E+002,-5.3142754095309056E+002
2.9200099999880848E-002,-2.6990098788050921E+002,-5.3124838340247766E+002
2.9210099999880789E-002,-2.6867185603036069E+002,-5.3107007954368805E+002
2.9220099999880730E-002,-2.6739163183646156E+002,-5.3089266308846823E+002
2.9230099999880670E-002,-2.6606084612941515E+002,-5.3071616739261367E+002
2.9240099999880611E-002,-2.6468003281393862E+002,-5.3054062545394015E+002
2.9250099999880552E-002,-2.6324972883435538E+002,-5.3036606991028191E+002
2.9260099999880492E-002,-2.6177047413986185E+002,-5.3019253303751384E+002
2.9270099999880433E-002,-2.6024281164939453E+002,-5.3002004674758882E+002
2.9280099999880373E-002,-2.5866728721661235E+002,-5.2984864258661014E+002
2.9290099999880314E-002,-2.5704444959459363E+002,-5.2967835173291928E+002
2.9300099999880255E-002,-2.5537485040036367E+002,-5.2950920499521294E+002
2.9310099999880195E-002,-2.5365904407942128E+002,-5.2934123281067559E+002
2.9320099999880136E-002,-2.5189758786975443E+002,-5.2917446524314687E+002
2.9330099999880076E-002,-2.5009104176619701E+002,-5.2900893198130393E+002
2.9340099999880017E-002,-2.4823996848410300E+002,-5.2884466233687363E+002
2.9350099999879958E-002,-2.4634493342336253E+002,-5.2868168524286750E+002
2.9360099999879898E-002,-2.4440650463207592E+002,-5.2852002925183751E+002
2.9370099999879839E-002,-2.4242525276971708E+002,-5.2835972253416128E+002
2.9380099999879779E-002,-2.4040175107086475E+002,-5.2820079287634985E+002
2.9390099999879720E-002,-2.3833657530836587E+002,-5.2804326767937982E+002
2.9400099999879661E-002,-2.3623030375621434E+002,-5.2788717395704930E+002
2.9410099999879601E-002,-2.3408351715277081E+002,-5.2773253833436058E+002
2.9420099999879542E-002,-2.3189679866324417E+002,-5.2757938704592573E+002
2.9430099999879483E-002,-2.2967073384285453E+002,-5.2742774593440026E+002
2.9440099999879423E-002,-2.2740591059891656E+002,-5.2727764044893752E+002
2.9450099999879364E-002,-2.2510291915354799E+002,-5.2712909564367067E+002
2.9460099999879304E-002,-2.2276235200586677E+002,-5.2698213617622264E+002
2.9470099999879245E-002,-2.2038480389424475E+002,-5.2683678630623342E+002
2.9480099999879186E-002,-2.1797087175827764E+002,-5.2669306989392135E+002
2.9490099999879126E-002,-2.1552115470081137E+002,-5.2655101039866645E+002
2.9500099999879067E-002,-2.1303625394968472E+002,-5.2641063087761631E+002
2.9510099999879007E-002,-2.1051677281964211E+002,-5.2627195398432298E+002
2.9520099999878948E-002,-2.0796331667362162E+002,-5.2613500196740029E+002
2.9530099999878889E-002,-2.0537649288444049E+002,-5.2599979666921240E+002
2.9540099999878829E-002,-2.0275691079625324E+002,-5.2586635952458209E+002
2.9550099999878770E-002,-2.0010518168566969E+002,-5.2573471155953166E+002
2.9560099999878710E-002,-1.9742191872298534E+002,-5.2560487339004180E+002
2.9570099999878651E-002,-1.9470773693318543E+002,-5.2547686522084587E+002
2.9580099999878592E-002,-1.9196325315723286E+002,-5.2535070684424147E+002
2.9590099999878532E-002,-1.8918908601238994E+002,-5.2522641763893421E+002
2.9600099999878473E-002,-1.8638585585367679E+002,-5.2510401656890326E+002
2.9610099999878414E-002,-1.8355418473390915E+002,-5.2498352218229729E+002
2.9620099999878354E-002,-1.8069469636487247E+002,-5.2486495261035452E+002
2.9630099999878295E-002,-1.7780801607736015E+002,-5.2474832556634885E+002
2.9640099999878235E-002,-1.7489477078200622E+002,-5.2463365834456170E+002
2.9650099999878176E-002,-1.7195558892932377E+002,-5.2452096781928492E+002
2.9660099999878117E-002,-1.6899110047025366E+002,-5.2441027044384361E+002
2.9670099999878057E-002,-1.6600193681608928E+002,-5.2430158224965169E+002
2.9680099999877998E-002,-1.6298873079874113E+002,-5.2419491884529009E+002
2.9690099999877938E-002,-1.5995211663077501E+002,-5.2409029541561154E+002
2.9700099999877879E-002,-1.5689272986527936E+002,-5.2398772672087489E+002
2.9710099999877820E-002,-1.5381120735601692E+002,-5.2388722709590456E+002
2.9720099999877760E-002,-1.5070818721683725E+002,-5.2378881044927630E+002
2.9730099999877701E-002,-1.4758430878194230E+002,-5.2369249026253146E+002
2.9740099999877641E-002,-1.4444021256518562E+002,-5.2359827958941651E+002
2.9750099999877582E-002,-1.4127654021988275E+002,-5.2350619105515102E+002
2.9760099999877523E-002,-1.3809393449850864E+002,-5.2341623685572040E+002
2.9770099999877463E-002,-1.3489303921193974E+002,-5.2332842875719712E+002
2.9780099999877404E-002,-1.3167449918932215E+002,-5.2324277809508931E+002
2.9790099999877345E-002,-1.2843896023708601E+002,-5.2315929577371799E+002
2.9800099999877285E-002,-1.2518706909870021E+002,-5.2307799226561542E+002
2.9810099999877226E-002,-1.2191947341374423E+002,-5.2299887761095670E+002
2.9820099999877166E-002,-1.1863682167726421E+002,-5.2292196141701834E+002
2.9830099999877107E-002,-1.1533976319918644E+002,-5.2284725285765899E+002
2.9840099999877048E-002,-1.1202894806321862E+002,-5.2277476067283305E+002
2.9850099999876988E-002,-1.0870502708626326E+002,-5.2270449316812596E+002
2.9860099999876929E-002,-1.0536865177760370E+002,-5.2263645821432283E+002
2.9870099999876869E-002,-1.0202047429774876E+002,-5.2257066324699940E+002
2.9880099999876810E-002,-9.8661147417732593E+001,-5.2250711526614373E+002
2.9890099999876751E-002,-9.5291324477959506E+001,-5.2244582083580053E+002
2.9900099999876691E-002,-9.1911659347560715E+001,-5.2238678608375176E+002
2.9910099999876632E-002,-8.8522806383011911E+001,-5.2233001670121280E+002
2.9920099999876573E-002,-8.5125420387433010E+001,-5.2227551794256533E+002
2.9930099999876513E-002,-8.1720156569206154E+001,-5.2222329462511493E+002
2.9940099999876454E-002,-7.8307670501275439E+001,-5.2217335112887054E+002
2.9950099999876394E-002,-7.4888618079878555E+001,-5.2212569139636321E+002
2.9960099999876335E-002,-7.1463655483505605E+001,-5.2208031893247914E+002
2.9970099999876276E-002,-6.8033439131801259E+001,-5.2203723680432950E+002
2.9980099999876216E-002,-6.4598625644523977E+001,-5.2199644764114271E+002
2.9990099999876157E-002,-6.1159871800334102E+001,-5.2195795363418711E+002
3.0000099999876097E-002,-5.7717834495810472E+001,-5.2192175653671700E+002
3.0010099999876038E-002,-5.4273170704238282E+001,-5.2188785766395415E+002
3.0020099999875979E-002,-5.0826537434568870E+001,-5.2185625789308369E+002
3.0030099999875919E-002,-4.7378591690492343E+001,-5.2182695766329266E+002
3.0040099999875860E-002,-4.3929990436573277E+001,-5.2179995697581455E+002
3.0050099999875800E-002,-4.0481390534686199E+001,-5.2177525539403109E+002
3.0060099999875741E-002,-3.7033448717895773E+001,-5.2175285204359989E+002
3.0070099999875682E-002,-3.3586821564906465E+001,-5.2173274561254766E+002
3.0080099999875622E-002,-3.0142165436071274E+001,-5.2171493435147249E+002
3.0090099999875563E-002,-2.6700136439897179E+001,-5.2169941607373107E+002
3.0100099999875504E-002,-2.3261390392175180E+001,-5.2168618815566174E+002
3.0110099999875444E-002,-1.9826582775053605E+001,-5.2167524753683142E+002
3.0120099999875385E-002,-1.6396369809621426E+001,-5.2166661521948129E+002
3.0130099999875325E-002,-1.2971406121585694E+001,-5.2166024241461855E+002
3.0140099999875266E-002,-9.5648192395528611E+000,-5.2165610930163109E+002
3.0150099999875207E-002,-6.1398373772518147E+000,-5.2165429068532512E+002
3.0160099999875147E-002,-2.7345385103118032E+000,-5.2165471899925376E+002
3.0170099999875088E-002,6.6289741175072281E-001,-5.2165741228943989E+002
3.0180099999875028E-002,4.0518190159090839E+000,-5.2166236044683023E+002
3.0190099999874969E-002,7.4315752547866571E+000,-5.2166955573516611E+002
3.0200099999874910E-002,1.0801515488670589E+001,-5.2167899117881757E+002
3.0210099999874850E-002,1.4160989819391935E+001,-5.2169065936937852E+002
3.0220099999874791E-002,1.7509349131138070E+001,-5.2170455246621532E+002
3.0230099999874731E-002,2.0845945130753858E+001,-5.2172066219704243E+002
3.0240099999874672E-002,2.4170130388213071E+001,-5.2173897985852216E+002
3.0250099999874613E-002,2.7481258377089851E+001,-5.2175949631689684E+002
3.0260099999874553E-002,3.0778683514973061E+001,-5.2178220200864473E+002
3.0270099999874494E-002,3.4061761203540208E+001,-5.2180708694115992E+002
3.0280099999874435E-002,3.7329847868857748E+001,-5.2183414069346418E+002
3.0290099999874375E-002,4.0582301001738955E+001,-5.2186335241694462E+002
3.0300099999874316E-002,4.3818479197476073E+001,-5.2189471083611363E+002
3.0310099999874256E-002,4.7037742196141245E+001,-5.2192820424940123E+002
3.0320099999874197E-002,5.0239450922431935E+001,-5.2196382052996853E+002
3.0330099999874138E-002,5.3422967525517016E+001,-5.2200154712655399E+002
3.0340099999874078E-002,5.6587655418882726E+001,-5.2204137106433973E+002
3.0350099999874019E-002,5.9732879320007889E+001,-5.2208327894584954E+002
3.0360099999873959E-002,6.2858005290095498E+001,-5.2212725695186805E+002
3.0370099999873900E-002,6.5962400773407225E+001,-5.2217329084239145E+002
3.0380099999873841E-002,6.9045434636995466E+001,-5.2222136595760173E+002
3.0390099999873781E-002,7.2106477210037013E+001,-5.2227146721886709E+002
3.0400099999873722E-002,7.5144900322882947E+001,-5.2232357912976977E+002
3.0410099999873662E-002,7.8160077346620128E+001,-5.2237768577715792E+002
3.0420099999873603E-002,8.1151383231836448E+001,-5.2243377083222481E+002
3.0430099999873544E-002,8.4118194547897872E+001,-5.2249181755161544E+002
3.0440099999873484E-002,8.7059889521770657E+001,-5.2255180877855457E+002
3.0450099999873425E-002,8.9975848076730045E+001,-5.2261372694400598E+002
3.0460099999873366E-002,9.2865451871238974E+001,-5.2267755406785341E+002
3.0470099999873306E-002,9.5728084337372621E+001,-5.2274327176011025E+002
3.0480099999873247E-002,9.8563130719640043E+001,-5.2281086122215038E+002
3.0490099999873187E-002,1.0136997811284033E+002,-5.2288030324797091E+002
3.0500099999873128E-002,1.0414801550088427E+002,-5.2295157822547390E+002
3.0510099999873069E-002,1.0689663379465013E+002,-5.2302466613777881E+002
3.0520099999873009E-002,1.0961522587012335E+002,-5.2309954656455352E+002
3.0530099999872950E-002,1.1230318660630931E+002,-5.2317619868338124E+002
3.0540099999872890E-002,1.1495991292291752E+002,-5.2325460127114161E+002
3.0550099999872831E-002,1.1758480381844535E+002,-5.2333473270542186E+002
3.0560099999872772E-002,1.2017726040718030E+002,-5.2341657096595463E+002
3.0570099999872712E-002,1.2273668595711223E+002,-5.2350009363607535E+002
3.0580099999872653E-002,1.2526248592705002E+002,-5.2358527790421033E+002
3.0590099999872594E-002,1.2775406800373780E+002,-5.2367210056538443E+002
3.0600099999872534E-002,1.3021084213897120E+002,-5.2376053802275965E+002
3.0610099999872475E-002,1.3263222058665690E+002,-5.2385056628918721E+002
3.0620099999872415E-002,1.3501761793930345E+002,-5.2394216098879951E+002
3.0630099999872356E-002,1.3736645116479664E+002,-5.2403529735861207E+002
3.0640099999872297E-002,1.3967813964300396E+002,-5.2412995025015721E+002
3.0650099999872237E-002,1.4195210520192441E+002,-5.2422609413114128E+002
3.0660099999872178E-002,1.4418777215395181E+002,-5.2432370308712461E+002
3.0670099999872118E-002,1.4638456733213852E+002,-5.2442275082322476E+002
3.0680099999872059E-002,1.4854192012583331E+002,-5.2452321066584568E+002
3.0690099999872000E-002,1.5065926251654699E+002,-5.2462505556443057E+002
3.0700099999871940E-002,1.5273602911359021E+002,-5.2472825809323331E+002
3.0710099999871881E-002,1.5477165718948410E+002,-5.2483279045312315E+002
3.0720099999871821E-002,1.5676558671531433E+002,-5.2493862447340189E+002
