"time","Capacitor1_i","IdealDiode3_v"
0.0182,172.122,2.67312
0.0182,150.437,2.65145
0.0183,150.437,2.65145
0.0183,121.102,2.62213
0.0184,121.102,2.62213
0.0184,83.8846,2.58493
0.0185,83.8846,2.58493
0.0185,38.609,2.53967
0.0186,38.609,2.53967
0.0186,-11.0359,2.49002
0.0187,-11.0359,2.49002
0.0187,-61.9442,2.43912
0.0188,-61.9442,2.43912
0.0188,-114.271,2.38679
0.0189,-114.271,2.38679
0.0189,-168.159,2.3329
0.019,-168.159,2.3329
0.019,-223.736,2.27732
0.0191,-223.736,2.27732
0.0191,-263.927,2.237
0.0192,-263.927,2.237
0.0192,-248.871,2.25203
0.0193,-248.871,2.25203
0.0193,-228.781,2.27211
0.0194,-228.781,2.27211
0.0194,-204.229,2.29664
0.0195,-204.229,2.29664
0.0195,-175.815,2.32504
0.0196,-175.815,2.32504
0.0196,-144.159,2.35668
0.0197,-144.159,2.35668
0.0197,-109.903,2.39092
0.0198,-109.903,2.39092
0.0198,-73.7036,2.4271
0.0199,-73.7036,2.4271
0.0199,-36.2274,2.46456
0.02,-36.2274,2.46456
0.02,1.85129,2.50262
0.0201,1.85129,2.50262
0.0201,39.8556,2.54061
0.0202,39.8556,2.54061
0.0202,77.1102,2.57785
0.0203,77.1102,2.57785
0.0203,112.946,2.61367
0.0204,112.946,2.61367
0.0204,146.702,2.64742
0.0205,146.702,2.64742
0.0205,177.735,2.67844
0.0206,177.735,2.67844
0.0206,205.415,2.7061
0.0207,205.415,2.7061
0.0207,229.138,2.72981
0.0208,229.138,2.72981
0.0208,248.323,2.74899
0.0209,248.323,2.74899
0.0209,262.421,2.76307
0.021,262.421,2.76307
0.021,270.913,2.77155
0.0211,270.913,2.77155
0.0211,273.317,2.77394
0.0212,273.317,2.77394
0.0212,269.191,2.76981
0.0213,269.191,2.76981
0.0213,258.134,2.75874
0.0214,258.134,2.75874
0.0214,239.79,2.74038
0.0215,239.79,2.74038
0.0215,213.849,2.71443
0.0216,213.849,2.71443
0.0216,180.052,2.68062
0.0217,180.052,2.68062
0.0217,138.187,2.63874
0.0218,138.187,2.63874
0.0218,88.0983,2.58864
0.0219,88.0983,2.58864
0.0219,30.105,2.52979
0.022,30.105,2.52979
0.022,-30.7579,2.45705
0.0221,-30.7579,2.45705
0.0221,-93.0755,2.36893
0.0222,-93.0755,2.36893
0.0222,-156.917,2.26549
0.0223,-156.917,2.26549
