"time","step-size","source.i.der_T","source.i.der_p"
0.6260000000000004,0.001,-0.8913855264330823,1782.85901688212
0.6270000000000004,0.001,-0.8602254818259915,1781.7333565474723
0.6280000000000004,0.001,-0.8289857782129835,1780.464658758917
0.6290000000000004,0.001,-0.7976675788470188,1779.0519844059172
0.6300000000000004,0.001,-0.7662720469298223,1777.4943943809994
0.6310000000000004,0.001,-0.7348003456115023,1775.7909495796976
0.6320000000000005,0.001,-0.7032536379909303,1773.9407109006756
0.6330000000000005,0.001,-0.6716330871156079,1771.9427392456396
0.6340000000000005,0.001,-0.6399398559816888,1769.7960955193594
0.6350000000000005,0.001,-0.6081751075339558,1767.4998406297086
0.6360000000000005,0.001,-0.5763400046658643,1765.0530354875905
0.6370000000000005,0.001,-0.5444357102194856,1762.454741006988
0.6380000000000005,0.001,-0.5124633869854516,1759.7040181049742
0.6390000000000005,0.001,-0.4804241977032767,1756.7999277016604
0.6400000000000005,0.001,-0.44831930506101414,1753.741530720226
0.6410000000000005,0.001,-0.41614987169537154,1750.5278880869232
0.6420000000000005,0.001,-0.38391706019172456,1747.158060731067
0.6430000000000005,0.001,-0.35162203308402273,1743.6311095850647
0.6440000000000005,0.001,-0.3192659528550783,1739.9460955843674
0.6450000000000005,0.001,-0.286849981936267,1736.1020796675211
0.6460000000000005,0.001,-0.25437528270756293,1732.0981227761026
0.6470000000000005,0.001,-0.221843017497784,1727.933285854767
0.6480000000000005,0.001,-0.18925434858426537,1723.606629851226
0.6490000000000005,0.001,-0.1566104381931882,1719.1172157162653
0.6500000000000005,0.001,-0.12391244849934735,1714.4641044037544
0.6510000000000005,0.001,-0.09116154162611045,1709.64635687061
0.6520000000000005,0.001,-0.05835887964574793,1704.6630340768302
0.6530000000000005,0.001,-0.025505624579010955,1699.513196985441
0.6540000000000005,0.001,0.007397061604535349,1694.1959065625722
0.6550000000000005,0.001,0.040348016986548885,1688.7102237773988
0.6560000000000005,0.001,0.07334607970015994,1683.0552096021815
0.6570000000000005,0.001,0.10639008792963145,1677.229925012206
0.6580000000000005,0.001,0.13947887991066943,1671.2334309858584
0.6590000000000005,0.001,0.1726112939302027,1665.0647885045964
0.6600000000000005,0.001,0.20578616832635177,1658.7230585528923
0.6610000000000005,0.001,0.23900234148869215,1652.2073021183305
0.6620000000000005,0.001,0.27225865185799714,1645.516580191535
0.6630000000000005,0.001,0.30555393792631513,1638.649953766213
0.6640000000000005,0.001,0.3388870382369039,1631.606483839098
0.6650000000000005,0.001,0.37225679138443823,1624.3852314100238
0.6660000000000005,0.001,0.4056620360147779,1616.985257481866
0.6670000000000005,0.001,0.4391016108250789,1609.4056230605888
0.6680000000000005,0.001,0.4725743545637179,1601.6453891551869
0.6690000000000005,0.001,0.5060791060303208,1593.703616777734
0.6700000000000005,0.001,0.5396147040758633,1585.5793669433547
0.6710000000000005,0.001,0.573179987602524,1577.271700670241
0.6720000000000005,0.001,0.6067737955637501,1568.7796789796644
0.6730000000000005,0.001,0.6403949669642023,1560.1023628959324
0.6740000000000005,0.001,0.6740423408598414,1551.2388134464447
0.6750000000000005,0.001,0.7077147563578282,1542.1880916616192
0.6760000000000005,0.001,0.7414110526165832,1532.949258574969
0.6770000000000005,0.001,0.7751300688457704,1523.5213752230547
0.6780000000000005,0.001,0.8088706443062937,1513.9035026455122
0.6790000000000005,0.001,0.8426316183102752,1504.0947018850197
0.6800000000000005,0.001,0.876411830221084,1494.0940339873212
0.6810000000000005,0.001,0.9102101194533134,1483.9005600012201
0.6820000000000005,0.001,0.9440253254727861,1473.5133409785903
0.6830000000000005,0.001,0.9778562877965215,1462.9314379743391
0.6840000000000005,0.001,1.0117018459928087,1452.1539120464681
0.6850000000000005,0.001,1.0455608396811202,1441.1798242560262
0.6860000000000005,0.001,1.0794321085321514,1430.0082356671078
0.6870000000000005,0.001,1.1133144922677998,1418.6382073468785
0.6880000000000005,0.001,1.1472068306611893,1407.0688003655682
0.6890000000000005,0.001,1.181107963536649,1395.2990757964526
0.6900000000000005,0.001,1.2150167307697024,1383.3280947158742
0.6910000000000005,0.001,1.2489319722870769,1371.1549182032302
0.6920000000000005,0.001,1.2828525280667042,1358.778607340978
0.6930000000000005,0.001,1.3167772381376983,1346.1982232146333
0.6940000000000005,0.001,1.3507049425804016,1333.412826912769
0.6950000000000005,0.001,1.384634481526291,1320.4214795270148
0.6960000000000005,0.001,1.4185646951580688,1307.223242152065
0.6970000000000005,0.001,1.4524944237096098,1293.8171758856608
0.6980000000000005,0.001,1.4864225074659696,1280.2023418286067
0.6990000000000005,0.001,1.5203477867633957,1266.3778010847655
0.7000000000000005,0.001,1.554269101989285,1252.3426147610605
0.7010000000000005,0.001,1.5542416636776832,1252.3409751235295
0.7020000000000005,0.001,1.5542142261050569,1252.3393355335738
0.7030000000000005,0.001,1.5541867892713765,1252.3376959911907
0.7040000000000005,0.001,1.5541593531766118,1252.3360564963775
0.7050000000000005,0.001,1.5541319178207382,1252.334417049133
0.7060000000000005,0.001,1.554104483203727,1252.3327776494548
0.7070000000000005,0.001,1.5540770493255538,1252.331138297342
0.7080000000000005,0.001,1.5540496161862016,1252.3294989927954
0.7090000000000005,0.001,1.5540221837856303,1252.3278597358096
0.7100000000000005,0.001,1.5539947521238173,1252.326220526384
0.7110000000000005,0.001,1.5539673212007348,1252.3245813645165
0.7120000000000005,0.001,1.5539398910163593,1252.3229422502063
0.7130000000000005,0.001,1.5539124615706654,1252.3213031834518
0.7140000000000005,0.001,1.553885032863621,1252.31966416425
0.7150000000000005,0.001,1.5538576048952022,1252.3180251925994
0.7160000000000005,0.001,1.5538301776653827,1252.316386268499
0.7170000000000005,0.001,1.5538027511741344,1252.3147473919457
0.7180000000000005,0.001,1.5537753254214344,1252.3131085629407
0.7190000000000005,0.001,1.5537479004072503,1252.3114697814785
0.7200000000000005,0.001,1.5537204761315566,1252.3098310475584
0.7210000000000005,0.001,1.5536930525943333,1252.3081923611812
0.7220000000000005,0.001,1.5536656297955498,1252.3065537223433
0.7230000000000005,0.001,1.5536382077351762,1252.304915131042
0.7240000000000005,0.001,1.553610786413188,1252.3032765872765
0.7250000000000005,0.001,1.553583365829563,1252.3016380910465
0.7260000000000005,0.001,1.553555945984268,1252.2999996423478
0.7270000000000005,0.001,1.5535285268772794,1252.29836124118
0.7280000000000005,0.001,1.5535011085085777,1252.2967228875434
0.7290000000000005,0.001,1.5534736908781128,1252.2950845814285
0.7300000000000005,0.001,1.5534462739858876,1252.2934463228437
0.7310000000000005,0.001,1.5534188578318606,1252.2918081117818
0.7320000000000005,0.001,1.5533914424159998,1252.2901699482397
0.7330000000000005,0.001,1.55336402773829,1252.2885318322194
0.7340000000000005,0.001,1.5533366137986995,1252.286893763717
0.7350000000000005,0.001,1.553309200597202,1252.2852557427318
0.7360000000000005,0.001,1.5532817881337777,1252.2836177692632
0.7370000000000005,0.001,1.5532543764083775,1252.2819798433025
0.7380000000000005,0.001,1.5532269654210056,1252.2803419648583
0.7390000000000005,0.001,1.5531995551716171,1252.278704133923
0.7400000000000005,0.001,1.553172145660186,1252.2770663504944
0.7410000000000005,0.001,1.5531447368866873,1252.2754286145719
0.7420000000000005,0.001,1.5531173288511004,1252.2737909261552
0.7430000000000005,0.001,1.553089921553394,1252.2721532852415
0.7440000000000005,0.001,1.5530625149935384,1252.2705156918275
0.7450000000000006,0.001,1.553035109171512,1252.2688781459135
0.7460000000000006,0.001,1.553007704087294,1252.2672406474996
0.7470000000000006,0.001,1.5529802997408357,1252.265603196577
0.7480000000000006,0.001,1.5529528961321328,1252.2639657931506
0.7490000000000006,0.001,1.5529254932611465,1252.2623284372157
0.7500000000000006,0.001,1.5528980911278594,1252.2606911287728
0.7510000000000006,0.001,1.5528706897322333,1252.259053867816
0.7520000000000006,0.001,1.5528432890742545,1252.2574166543486
0.7530000000000006,0.001,1.5528158891538875,1252.2557794883658
0.7540000000000006,0.001,1.5527884899711155,1252.254142369869
0.7550000000000006,0.001,1.5527610915258954,1252.2525052988506
0.7560000000000006,0.001,1.552733693818218,1252.250868275315
0.7570000000000006,0.001,1.552706296848039,1252.2492312992547
0.7580000000000006,0.001,1.5526789006153485,1252.2475943706734
0.7590000000000006,0.001,1.5526515051201126,1252.2459574895665
0.7600000000000006,0.001,1.5526241103623037,1252.2443206559326
0.7610000000000006,0.001,1.5525967163418972,1252.24268386977
0.7620000000000006,0.001,1.5525693230588684,1252.2410471310782
0.7630000000000006,0.001,1.5525419305131833,1252.2394104398527
0.7640000000000006,0.001,1.5525145387048314,1252.2377737960967
0.7650000000000006,0.001,1.5524871476337598,1252.2361371998002
0.7660000000000006,0.001,1.5524597572999728,1252.2345006509713
0.7670000000000006,0.001,1.552432367703421,1252.2328641496017
0.7680000000000006,0.001,1.5524049788440841,1252.2312276956904
0.7690000000000006,0.001,1.5523775907219384,1252.2295912892373
0.7700000000000006,0.001,1.5523502033369554,1252.2279549302398
0.7710000000000006,0.001,1.5523228166891059,1252.2263186186958
0.7720000000000006,0.001,1.552295430778373,1252.2246823546063
0.7730000000000006,0.001,1.5522680456047124,1252.2230461379634
0.7740000000000006,0.001,1.55224066116812,1252.2214099687733
0.7750000000000006,0.001,1.552213277468556,1252.21977384703
0.7760000000000006,0.001,1.5521858945059883,1252.2181377727295
0.7770000000000006,0.001,1.5521585122804045,1252.216501745875
0.7780000000000006,0.001,1.5521311307917687,1252.2148657664613
0.7790000000000006,0.001,1.5521037500400556,1252.2132298344875
0.7800000000000006,0.001,1.5520763700252405,1252.2115939499524
0.7810000000000006,0.001,1.5520489907472956,1252.209958112854
