"time","step2","J1_w","J2_w","J3_w","J4_w"
0.074,0,9.79829,0.738944,-1.12133e-014,-1.12132e-014
0.075,0,9.79549,0.748901,-9.88098e-015,-9.88099e-015
0.075,0,9.79549,0.748901,-9.88098e-015,-9.88099e-015
0.075,0,9.79549,0.748901,-9.88098e-015,-9.88099e-015
0.076,0,9.79242,0.758856,-1.11022e-014,-1.11022e-014
0.076,0,9.79242,0.758856,-1.11022e-014,-1.11022e-014
0.076,0,9.79242,0.758856,-1.11022e-014,-1.11022e-014
0.077,0,9.78912,0.76881,-1.17684e-014,-1.17684e-014
0.078,0,9.78562,0.778763,-1.45439e-014,-1.45439e-014
0.078,0,9.78562,0.778763,-1.45439e-014,-1.45439e-014
0.078,0,9.78562,0.778763,-1.45439e-014,-1.45439e-014
0.079,0,9.78185,0.788715,-1.74305e-014,-1.74305e-014
0.079,0,9.78185,0.788715,-1.74305e-014,-1.74305e-014
0.079,0,9.78185,0.788715,-1.74305e-014,-1.74305e-014
0.08,0,9.77782,0.798666,-1.90958e-014,-1.90958e-014
0.081,0,9.77358,0.808615,-1.94289e-014,-1.94289e-014
0.081,0,9.77358,0.808615,-1.94289e-014,-1.94289e-014
0.081,0,9.77358,0.808615,-1.94289e-014,-1.94289e-014
0.082,0,9.76904,0.818563,-2.10942e-014,-2.10942e-014
0.082,0,9.76904,0.818563,-2.10942e-014,-2.10942e-014
0.082,0,9.76904,0.818563,-2.10942e-014,-2.10942e-014
0.083,0,9.76424,0.82851,-2.34257e-014,-2.34257e-014
0.084,0,9.75921,0.838456,-2.33147e-014,-2.33147e-014
0.084,0,9.75921,0.838456,-2.33147e-014,-2.33147e-014
0.084,0,9.75921,0.838456,-2.33147e-014,-2.33147e-014
0.084,0,9.75921,0.838456,-2.33147e-014,-2.33147e-014
0.084,0,9.75921,0.838456,-2.33147e-014,-2.33147e-014
0.085,0,9.75385,0.8484,-2.44249e-014,-2.44249e-014
0.086,0,9.74827,0.858343,-2.35367e-014,-2.35367e-014
0.087,0,9.74242,0.868285,-2.13163e-014,-2.13163e-014
0.087,0,9.74242,0.868285,-2.13163e-014,-2.13163e-014
0.087,0,9.74242,0.868285,-2.13163e-014,-2.13163e-014
0.087,0,9.74242,0.868285,-2.13163e-014,-2.13163e-014
0.087,0,9.74242,0.868285,-2.13163e-014,-2.13163e-014
0.088,0,9.73622,0.878225,-2.03171e-014,-2.03171e-014
0.089,0,9.72977,0.888163,-2.02061e-014,-2.02061e-014
