"time","FMU_Interface_OUT1_Current","FMU_Interface_OUT3_Power"
191,-118.155,-2.28217
191.2,-118.161,-2.28223
191.4,-118.167,-2.2823
191.6,-118.173,-2.28237
191.8,-118.179,-2.28244
192,-118.186,-2.2825
192.2,-118.192,-2.28257
192.4,-118.198,-2.28264
192.6,-118.204,-2.2827
192.8,-118.21,-2.28277
193,-118.216,-2.28284
193.2,-118.223,-2.28291
193.4,-118.229,-2.28297
193.6,-118.235,-2.28304
193.8,-118.241,-2.28311
194,-118.247,-2.28318
194.2,-118.254,-2.28324
194.4,-118.26,-2.28331
194.6,-118.266,-2.28338
194.8,-118.272,-2.28344
195,-118.278,-2.28351
195.2,-118.284,-2.28358
195.4,-118.291,-2.28365
195.6,-118.297,-2.28371
195.8,-118.303,-2.28378
196,-118.309,-2.28385
196.2,-118.315,-2.28391
196.4,-118.322,-2.28398
196.6,-118.328,-2.28405
196.8,-118.334,-2.28412
197,-118.34,-2.28418
197.2,-118.346,-2.28425
197.4,-118.352,-2.28432
197.6,-118.359,-2.28439
197.8,-118.365,-2.28445
198,-118.371,-2.28452
198.2,-118.377,-2.28459
198.4,-118.383,-2.28465
198.6,-118.39,-2.28472
198.8,-118.396,-2.28479
199,-118.402,-2.28486
199.2,-118.408,-2.28492
199.4,-118.414,-2.28499
199.6,-118.42,-2.28506
199.8,-118.427,-2.28512
200,-118.433,-2.28519
