    "time", "axis1_w", "axis2_w", "axis3_w", "axis4_w", "axis5_w", "axis6_w"
     0.832, 1.6904942,-1.2731853,-1.7644017,0.63802113, 3.0965565, 0.6361766
     0.836,  1.690673,-1.2731308,-1.7641815,0.63797546, 3.0965362,0.63617973
      0.84, 1.6908515,-1.2730753,-1.7639588,0.63792798, 3.0965176,0.63618179
     0.844, 1.6910294,-1.2730188,-1.7637339,0.63787868, 3.0965007,0.63618273
     0.848, 1.6912067,-1.2729613,-1.7635068,0.63782755, 3.0964855,0.63618258
     0.852, 1.6913834,-1.2729028,-1.7632775, 0.6377746, 3.0964722,0.63618129
     0.856, 1.6915593,-1.2728433,-1.7630461,0.63771982, 3.0964607,0.63617883
      0.86, 1.6917345,-1.2727829,-1.7628124,0.63766314,  3.096451, 0.6361752
     0.864, 1.6919089,-1.2727216,-1.7625765,0.63760454, 3.0964433,0.63617038
     0.868, 1.6920826,-1.2726593,-1.7623384,0.63754397, 3.0964375,0.63616429
     0.872, 1.6922555,-1.2725962,-1.7620983,0.63748143, 3.0964336,0.63615692
     0.876, 1.6924273,-1.2725321,-1.7618561,0.63741692, 3.0964319, 0.6361482
      0.88,  1.692598,-1.2724671,-1.7616122,0.63735049, 3.0964322, 0.6361381
     0.884, 1.6927672,-1.2724012,-1.7613665,0.63728216, 3.0964348,0.63612659
     0.888, 1.6929349,-1.2723344,-1.7611191,0.63721194, 3.0964397,0.63611364
     0.892, 1.6931008,-1.2722667,  -1.76087,0.63713985, 3.0964468,0.63609922
     0.896, 1.6932649,-1.2721983,-1.7606192,0.63706587, 3.0964564,0.63608329
       0.9, 1.6934271, -1.272129,-1.7603669,   0.63699, 3.0964685,0.63606581
     0.904, 1.6935874,-1.2720589,-1.7601132,0.63691223, 3.0964831,0.63604674
     0.908, 1.6937458,-1.2719881,-1.7598581,0.63683255, 3.0965003,0.63602604
     0.912, 1.6939023,-1.2719164,-1.7596018,0.63675097,   3.09652, 0.6360037
     0.916,  1.694057, -1.271844,-1.7593443,0.63666748, 3.0965424, 0.6359797
      0.92, 1.6942097,-1.2717708,-1.7590857,0.63658212, 3.0965673,0.63595407
     0.924, 1.6943606,-1.2716969,-1.7588261,0.63649487, 3.0965948,0.63592679
