"Time","J1.w - Absolute angular velocity of component (= der(phi))","J2.w - Absolute angular velocity of component (= der(phi))","J3.w - Absolute angular velocity of component (= der(phi))","J4.w - Absolute angular velocity of component (= der(phi))"
0.468,6.07296,3.73591,0.68,7.28306e-14
0.469,6.073,3.73423,0.69,6.9833e-14
0.47,6.07286,3.73255,0.7,7.04992e-14
0.471,6.07255,3.73085,0.71,7.19425e-14
0.472,6.07206,3.72915,0.72,7.57172e-14
0.473,6.07137,3.72745,0.73,7.54952e-14
0.474,6.07048,3.72573,0.74,7.92699e-14
0.475,6.06938,3.72401,0.75,7.90479e-14
0.476,6.06807,3.72228,0.76,7.71605e-14
0.477,6.06653,3.72055,0.77,7.69385e-14
0.478,6.06477,3.71881,0.78,8.24896e-14
0.479,6.06277,3.71706,0.79,7.88258e-14
0.48,6.06053,3.7153,0.8,8.21565e-14
0.481,6.05805,3.71354,0.81,8.73746e-14
0.482,6.05531,3.71177,0.82,9.15934e-14
0.483,6.05231,3.70999,0.83,9.31477e-14
0.484,6.04905,3.7082,0.84,9.29257e-14
0.485,6.04552,3.70641,0.85,8.9595e-14
0.486,6.04172,3.70461,0.86,8.40439e-14
0.487,6.03764,3.7028,0.87,8.60423e-14
0.488,6.03328,3.70099,0.88,8.35998e-14
0.489,6.02864,3.69917,0.89,8.29337e-14
0.49,6.0237,3.69734,0.9,8.18234e-14
0.491,6.01848,3.6955,0.91,8.24896e-14
0.492,6.01296,3.69366,0.92,8.35998e-14
0.493,6.00715,3.69181,0.93,8.29337e-14
0.494,6.00103,3.68995,0.94,8.09353e-14
0.495,5.99462,3.68809,0.95,8.24896e-14
0.496,5.9879,3.68622,0.96,8.27116e-14
0.497,5.98087,3.68434,0.97,8.38218e-14
0.498,5.97355,3.68245,0.98,8.4488e-14
0.499,5.96591,3.68056,0.99,8.55982e-14
0.5,5.95797,3.67866,1,8.32667e-14
0.501,5.94972,3.67675,1.01,8.4821e-14
0.502,5.94117,3.67483,1.02,8.50431e-14
0.503,5.9323,3.67291,1.03,8.03801e-14
0.504,5.92314,3.67098,1.04,7.79377e-14
0.505,5.91367,3.66904,1.05,7.86038e-14
0.506,5.90389,3.66709,1.06,7.70495e-14
0.507,5.89382,3.66514,1.07,7.68274e-14
0.508,5.88345,3.66318,1.08,7.79377e-14
0.509,5.87278,3.66121,1.09,7.54952e-14
0.51,5.86181,3.65923,1.1,7.79377e-14
0.511,5.85056,3.65725,1.11,7.72715e-14
0.512,5.83901,3.65526,1.12,7.74936e-14
0.513,5.82718,3.65326,1.13,7.81597e-14
0.514,5.81508,3.65125,1.14,7.66054e-14
0.515,5.80269,3.64924,1.15,7.9492e-14
0.516,5.79003,3.64722,1.16,8.14904e-14
0.517,5.77711,3.64519,1.17,7.9492e-14
0.518,5.76392,3.64315,1.18,7.70495e-14
0.519,5.75047,3.64111,1.19,7.81597e-14
0.52,5.73677,3.63906,1.2,7.9714e-14
0.521,5.72283,3.637,1.21,7.72715e-14
0.522,5.70864,3.63493,1.22,7.26086e-14
0.523,5.69422,3.63286,1.23,7.50511e-14
0.524,5.67957,3.63078,1.24,7.12763e-14
0.525,5.66471,3.62869,1.25,6.9722e-14
0.526,5.64962,3.62659,1.26,7.12763e-14
0.527,5.63433,3.62449,1.27,7.01661e-14
0.528,5.61884,3.62237,1.28,6.59472e-14
0.529,5.60316,3.62025,1.29,6.52811e-14
0.53,5.58729,3.61812,1.3,6.68354e-14
0.531,5.57124,3.61599,1.31,6.43929e-14
0.532,5.55503,3.61384,1.32,6.32827e-14
0.533,5.53866,3.61169,1.33,5.9952e-14
0.534,5.52213,3.60953,1.34,5.79536e-14
0.535,5.50546,3.60737,1.35,5.55112e-14
0.536,5.48865,3.60519,1.36,5.17364e-14
0.537,5.47172,3.60301,1.37,4.79616e-14
0.538,5.45468,3.60082,1.38,4.90719e-14
0.539,5.43752,3.59862,1.39,4.57412e-14
0.54,5.42027,3.59641,1.4,4.28546e-14
0.541,5.40292,3.5942,1.41,4.35207e-14
0.542,5.3855,3.59197,1.42,4.19664e-14
0.543,5.36801,3.58974,1.43,4.4853e-14
0.544,5.35045,3.58751,1.44,4.4631e-14
0.545,5.33285,3.58526,1.45,4.13003e-14
0.546,5.3152,3.58301,1.46,3.88578e-14
0.547,5.29752,3.58074,1.47,3.95239e-14
0.548,5.27983,3.57848,1.48,3.75255e-14
0.549,5.26212,3.5762,1.49,3.5083e-14
0.55,5.2444,3.57391,1.5,3.66374e-14
0.551,5.2267,3.57162,1.51,3.5083e-14
0.552,5.20901,3.56932,1.52,3.30846e-14
0.553,5.19135,3.56701,1.53,3.01981e-14
0.554,5.17373,3.56469,1.54,2.81997e-14
0.555,5.15616,3.56236,1.55,2.62013e-14
0.556,5.13864,3.56003,1.56,2.24265e-14
0.557,5.12119,3.55769,1.57,2.02061e-14
0.558,5.10382,3.55534,1.58,1.9762e-14
0.559,5.08653,3.55298,1.59,1.95399e-14
0.56,5.06934,3.55061,1.6,1.46549e-14
0.561,5.05225,3.54824,1.61,1.19904e-14
0.562,5.03528,3.54585,1.62,9.32587e-15
0.563,5.01843,3.54346,1.63,1.08802e-14
0.564,5.00172,3.54106,1.64,1.22125e-14
0.565,4.98515,3.53866,1.65,1.02141e-14
0.566,4.96872,3.53624,1.66,1.06581e-14
0.567,4.95246,3.53382,1.67,1.17684e-14
0.568,4.93637,3.53139,1.68,1.02141e-14
0.569,4.92045,3.52895,1.69,5.77316e-15
0.57,4.90472,3.5265,1.7,9.10383e-15
0.571,4.88918,3.52404,1.71,9.99201e-15
0.572,4.87384,3.52158,1.72,9.76996e-15
0.573,4.85871,3.51911,1.73,1.15463e-14
0.574,4.84379,3.51662,1.74,1.39888e-14
0.575,4.8291,3.51413,1.75,2.02061e-14
0.576,4.81464,3.51164,1.76,2.22045e-14
0.577,4.80042,3.50913,1.77,2.4869e-14
0.578,4.78644,3.50662,1.78,2.5091e-14
0.579,4.77271,3.50409,1.79,2.77556e-14
0.58,4.75923,3.50156,1.8,2.62013e-14
0.581,4.74602,3.49902,1.81,2.77556e-14
0.582,4.73308,3.49647,1.82,2.66454e-14
0.583,4.72041,3.49392,1.83,2.81997e-14
0.584,4.70802,3.49135,1.84,2.88658e-14
0.585,4.69592,3.48878,1.85,2.9754e-14
0.586,4.6841,3.4862,1.86,2.86438e-14
0.587,4.67257,3.48361,1.87,2.62013e-14
0.588,4.66135,3.48101,1.88,2.37588e-14
0.589,4.65042,3.4784,1.89,2.24265e-14
0.59,4.63979,3.47579,1.9,2.28706e-14
0.591,4.62948,3.47317,1.91,2.44249e-14
0.592,4.61947,3.47053,1.92,2.30926e-14
0.593,4.60978,3.46789,1.93,1.95399e-14
0.594,4.6004,3.46524,1.94,1.70974e-14
0.595,4.59134,3.46259,1.95,1.77636e-14
0.596,4.58259,3.45992,1.96,2.02061e-14
0.597,4.57417,3.45724,1.97,2.04281e-14
0.598,4.56607,3.45456,1.98,1.82077e-14
0.599,4.55829,3.45187,1.99,1.70974e-14
0.6,4.55084,3.44917,2,1.82077e-14
0.601,4.5437,3.44646,2.01,1.86517e-14
0.602,4.53689,3.44374,2.02,1.95399e-14
0.603,4.5304,3.44102,2.03,1.95399e-14
0.604,4.52423,3.43828,2.04,1.68754e-14
0.605,4.51839,3.43554,2.05,1.5099e-14
0.606,4.51286,3.43278,2.06,1.95399e-14
0.607,4.50765,3.43002,2.07,1.68754e-14
0.608,4.50275,3.42725,2.08,1.82077e-14
0.609,4.49817,3.42448,2.09,2.04281e-14
0.61,4.4939,3.42169,2.1,2.13163e-14
0.611,4.48993,3.41889,2.11,2.30926e-14
0.612,4.48627,3.41609,2.12,2.75335e-14
0.613,4.48291,3.41327,2.13,3.10862e-14
0.614,4.47985,3.41045,2.14,3.24185e-14
0.615,4.47708,3.40762,2.15,3.41949e-14
0.616,4.47459,3.40478,2.16,3.41949e-14
0.617,4.4724,3.40193,2.17,3.73035e-14
0.618,4.47048,3.39908,2.18,3.81917e-14
0.619,4.46883,3.39621,2.19,3.64153e-14
0.62,4.46746,3.39334,2.2,3.41949e-14
0.621,4.46635,3.39045,2.21,3.01981e-14
0.622,4.46549,3.38756,2.22,3.06422e-14
0.623,4.46489,3.38466,2.23,3.06422e-14
0.624,4.46453,3.38175,2.24,3.19744e-14
0.625,4.4644,3.37883,2.25,3.10862e-14
0.626,4.46451,3.3759,2.26,3.24185e-14
0.627,4.46485,3.37297,2.27,3.15303e-14
0.628,4.46539,3.37002,2.28,3.01981e-14
0.629,4.46615,3.36707,2.29,3.10862e-14
0.63,4.46711,3.3641,2.3,3.28626e-14
0.631,4.46827,3.36113,2.31,3.41949e-14
0.632,4.46961,3.35815,2.32,3.28626e-14
0.633,4.47112,3.35516,2.33,3.10862e-14
0.634,4.47281,3.35216,2.34,3.4639e-14
0.635,4.47465,3.34915,2.35,3.86358e-14
0.636,4.47665,3.34614,2.36,3.9968e-14
0.637,4.47879,3.34311,2.37,3.55271e-14
0.638,4.48106,3.34007,2.38,3.37508e-14
0.639,4.48346,3.33703,2.39,3.19744e-14
0.64,4.48597,3.33398,2.4,3.24185e-14
0.641,4.48859,3.33091,2.41,3.19744e-14
0.642,4.49131,3.32784,2.42,3.41949e-14
0.643,4.49411,3.32476,2.43,3.33067e-14
0.644,4.497,3.32167,2.44,3.33067e-14
0.645,4.49994,3.31857,2.45,3.28626e-14
0.646,4.50295,3.31547,2.46,3.5083e-14
0.647,4.50601,3.31235,2.47,3.4639e-14
0.648,4.5091,3.30922,2.48,3.90799e-14
0.649,4.51223,3.30609,2.49,3.86358e-14
0.65,4.51537,3.30295,2.5,3.9968e-14
0.651,4.51852,3.29979,2.51,4.21885e-14
0.652,4.52167,3.29663,2.52,3.81917e-14
0.653,4.52481,3.29346,2.53,3.86358e-14
0.654,4.52793,3.29028,2.54,4.08562e-14
0.655,4.53102,3.28709,2.55,3.9968e-14
0.656,4.53407,3.28389,2.56,3.81917e-14
0.657,4.53707,3.28068,2.57,3.81917e-14
0.658,4.54001,3.27746,2.58,3.59712e-14
0.659,4.54289,3.27423,2.59,3.59712e-14
0.66,4.54568,3.271,2.6,3.5083e-14
0.661,4.54838,3.26775,2.61,3.4639e-14
0.662,4.55099,3.2645,2.62,3.59712e-14
0.663,4.5535,3.26123,2.63,3.55271e-14
0.664,4.55588,3.25796,2.64,3.95239e-14
0.665,4.55815,3.25468,2.65,4.08562e-14
0.666,4.56027,3.25139,2.66,3.81917e-14
0.667,4.56226,3.24809,2.67,3.81917e-14
0.668,4.5641,3.24477,2.68,3.64153e-14
0.669,4.56578,3.24145,2.69,3.64153e-14
0.67,4.56729,3.23813,2.7,3.73035e-14
0.671,4.56862,3.23479,2.71,4.04121e-14
0.672,4.56977,3.23144,2.72,3.90799e-14
0.673,4.57073,3.22808,2.73,3.68594e-14
0.674,4.5715,3.22471,2.74,3.73035e-14
0.675,4.57205,3.22134,2.75,3.86358e-14
0.676,4.5724,3.21795,2.76,3.95239e-14
0.677,4.57252,3.21456,2.77,4.04121e-14
0.678,4.57242,3.21115,2.78,4.04121e-14
0.679,4.57209,3.20774,2.79,4.26326e-14
0.68,4.57152,3.20432,2.8,4.39648e-14
0.681,4.5707,3.20088,2.81,4.13003e-14
0.682,4.56963,3.19744,2.82,3.64153e-14
0.683,4.56831,3.19399,2.83,3.73035e-14
0.684,4.56672,3.19053,2.84,3.86358e-14
0.685,4.56487,3.18706,2.85,4.30767e-14
0.686,4.56275,3.18358,2.86,4.57412e-14
0.687,4.56036,3.18009,2.87,4.79616e-14
0.688,4.55768,3.17659,2.88,5.01821e-14
0.689,4.55473,3.17308,2.89,4.88498e-14
0.69,4.55149,3.16956,2.9,4.9738e-14
0.691,4.54795,3.16603,2.91,4.9738e-14
0.692,4.54413,3.16249,2.92,4.92939e-14
0.693,4.54001,3.15895,2.93,4.88498e-14
0.694,4.5356,3.15539,2.94,5.10703e-14
0.695,4.53088,3.15182,2.95,5.10703e-14
0.696,4.52587,3.14825,2.96,5.32907e-14
0.697,4.52055,3.14466,2.97,5.50671e-14
0.698,4.51493,3.14107,2.98,5.4623e-14
0.699,4.50901,3.13746,2.99,5.15143e-14
0.7,4.50278,3.13385,3,5.24025e-14
0.701,4.49625,3.13022,3.01,5.15143e-14
0.702,4.48941,3.12659,3.02,5.10703e-14
0.703,4.48227,3.12294,3.03,4.88498e-14
0.704,4.47483,3.11929,3.04,4.9738e-14
0.705,4.46708,3.11563,3.05,5.01821e-14
0.706,4.45903,3.11195,3.06,4.66294e-14
0.707,4.45069,3.10827,3.07,4.13003e-14
0.708,4.44205,3.10458,3.08,3.86358e-14
0.709,4.43311,3.10088,3.09,3.73035e-14
0.71,4.42388,3.09858,3.09858,3.64153e-14
0.711,4.41436,3.10172,3.10172,3.68594e-14
0.712,4.40456,3.10486,3.10486,3.77476e-14
0.713,4.39448,3.10798,3.10798,3.77476e-14
0.714,4.38411,3.11111,3.11111,3.90799e-14
0.715,4.37347,3.11423,3.11423,3.73035e-14
0.716,4.36257,3.11734,3.11734,3.55271e-14
0.717,4.35139,3.12045,3.12045,2.9754e-14
0.718,4.33996,3.12356,3.12356,2.88658e-14
0.719,4.32827,3.12666,3.12666,3.01981e-14
0.72,4.31633,3.12975,3.12975,2.84217e-14
0.721,4.30414,3.13284,3.13284,3.06422e-14
0.722,4.29172,3.13593,3.13593,3.37508e-14
0.723,4.27907,3.13901,3.13901,3.24185e-14
0.724,4.26619,3.14208,3.14208,2.9754e-14
0.725,4.25309,3.14515,3.14515,2.9754e-14
0.726,4.23978,3.14822,3.14822,2.93099e-14
0.727,4.22626,3.15128,3.15128,2.79776e-14
0.728,4.21255,3.15433,3.15433,2.88658e-14
0.729,4.19864,3.15738,3.15738,2.9754e-14
0.73,4.18455,3.16043,3.16043,2.70894e-14
0.731,4.17029,3.16347,3.16347,2.66454e-14
0.732,4.15586,3.1665,3.1665,2.4869e-14
0.733,4.14128,3.16953,3.16953,2.04281e-14
0.734,4.12654,3.17256,3.17256,2.44249e-14
0.735,4.11166,3.17558,3.17558,2.4869e-14
0.736,4.09665,3.1786,3.1786,2.57572e-14
0.737,4.08152,3.18161,3.18161,2.26485e-14
0.738,4.06627,3.18461,3.18461,2.4869e-14
0.739,4.05092,3.18761,3.18761,2.26485e-14
0.74,4.03546,3.19061,3.19061,1.90958e-14
0.741,4.01993,3.1936,3.1936,2.13163e-14
0.742,4.00431,3.19658,3.19658,2.39808e-14
0.743,3.98863,3.19956,3.19956,2.22045e-14
0.744,3.97289,3.20254,3.20254,2.39808e-14
0.745,3.95709,3.20551,3.20551,2.4869e-14
0.746,3.94126,3.20847,3.20847,2.57572e-14
0.747,3.92541,3.21143,3.21143,2.4869e-14
0.748,3.90953,3.21439,3.21439,2.62013e-14
0.749,3.89364,3.21734,3.21734,2.53131e-14
0.75,3.87775,3.22028,3.22028,2.4869e-14
0.751,3.86187,3.22322,3.22322,2.57572e-14
0.752,3.84602,3.22616,3.22616,2.70894e-14
0.753,3.83019,3.22908,3.22908,2.53131e-14
0.754,3.8144,3.23201,3.23201,2.70894e-14
0.755,3.79866,3.23493,3.23493,2.66454e-14
0.756,3.78298,3.23784,3.23784,2.75335e-14
0.757,3.76737,3.24075,3.24075,2.88658e-14
0.758,3.75184,3.24366,3.24366,2.79776e-14
0.759,3.7364,3.24655,3.24655,2.75335e-14
0.76,3.72106,3.24945,3.24945,2.66454e-14
0.761,3.70582,3.25234,3.25234,2.70894e-14
0.762,3.6907,3.25522,3.25522,2.75335e-14
0.763,3.6757,3.2581,3.2581,2.70894e-14
0.764,3.66084,3.26097,3.26097,2.75335e-14
0.765,3.64613,3.26384,3.26384,2.70894e-14
0.766,3.63156,3.2667,3.2667,2.75335e-14
0.767,3.61716,3.26956,3.26956,2.84217e-14
0.768,3.60293,3.27241,3.27241,2.93099e-14
0.769,3.58888,3.27526,3.27526,3.10862e-14
0.77,3.57501,3.2781,3.2781,3.15303e-14
0.771,3.56134,3.28094,3.28094,3.37508e-14
0.772,3.54787,3.28377,3.28377,3.41949e-14
0.773,3.53462,3.2866,3.2866,3.33067e-14
0.774,3.52158,3.28942,3.28942,3.64153e-14
0.775,3.50876,3.29224,3.29224,3.81917e-14
0.776,3.49618,3.29505,3.29505,3.95239e-14
0.777,3.48384,3.29785,3.29785,4.08562e-14
0.778,3.47175,3.30065,3.30065,4.04121e-14
0.779,3.4599,3.30345,3.30345,4.17444e-14
0.78,3.44832,3.30624,3.30624,4.35207e-14
0.781,3.437,3.30902,3.30902,4.39648e-14
0.782,3.42595,3.3118,3.3118,4.57412e-14
0.783,3.41517,3.31458,3.31458,4.61853e-14
0.784,3.40468,3.31735,3.31735,4.79616e-14
0.785,3.39447,3.32011,3.32011,4.79616e-14
0.786,3.38456,3.32287,3.32287,4.75175e-14
0.787,3.37493,3.32562,3.32562,4.70735e-14
0.788,3.36561,3.32837,3.32837,4.92939e-14
0.789,3.35659,3.33112,3.33112,5.01821e-14
0.79,3.34787,3.33385,3.33385,4.84057e-14
0.791,3.33947,3.33659,3.33659,4.88498e-14
0.792,3.33667,3.33667,3.33667,4.79616e-14
0.793,3.33589,3.33589,3.33589,4.79616e-14
0.794,3.33521,3.33521,3.33521,4.79616e-14
0.795,3.33464,3.33464,3.33464,4.79616e-14
0.796,3.33417,3.33417,3.33417,4.79616e-14
0.797,3.33381,3.33381,3.33381,4.79616e-14
0.798,3.33354,3.33354,3.33354,4.79616e-14
0.799,3.33339,3.33339,3.33339,4.79616e-14
0.8,3.33333,3.33333,3.33333,4.79616e-14
0.801,3.33339,3.33339,3.33339,4.79616e-14
0.802,3.33354,3.33354,3.33354,4.79616e-14
0.803,3.33381,3.33381,3.33381,4.79616e-14
0.804,3.33417,3.33417,3.33417,4.79616e-14
0.805,3.33464,3.33464,3.33464,4.79616e-14
0.806,3.33521,3.33521,3.33521,4.79616e-14
0.807,3.33589,3.33589,3.33589,4.79616e-14
0.808,3.33667,3.33667,3.33667,4.79616e-14
0.809,3.33755,3.33755,3.33755,4.79616e-14
0.81,3.33853,3.33853,3.33853,4.79616e-14
0.811,3.33961,3.33961,3.33961,4.79616e-14
0.812,3.34079,3.34079,3.34079,4.79616e-14
0.813,3.34206,3.34206,3.34206,4.79616e-14
0.814,3.34343,3.34343,3.34343,4.79616e-14
0.815,3.3449,3.3449,3.3449,4.79616e-14
0.816,3.34646,3.34646,3.34646,4.79616e-14
0.817,3.34811,3.34811,3.34811,4.79616e-14
0.818,3.34985,3.34985,3.34985,4.79616e-14
0.819,3.35168,3.35168,3.35168,4.79616e-14
0.82,3.3536,3.3536,3.3536,4.79616e-14
0.821,3.3556,3.3556,3.3556,4.79616e-14
0.822,3.35768,3.35768,3.35768,4.79616e-14
0.823,3.35985,3.35985,3.35985,4.79616e-14
0.824,3.36209,3.36209,3.36209,4.79616e-14
0.825,3.36441,3.36441,3.36441,4.79616e-14
0.826,3.36681,3.36681,3.36681,4.79616e-14
0.827,3.36927,3.36927,3.36927,4.79616e-14
0.828,3.37181,3.37181,3.37181,4.79616e-14
0.829,3.37441,3.37441,3.37441,4.79616e-14
0.83,3.37707,3.37707,3.37707,4.79616e-14
0.831,3.3798,3.3798,3.3798,4.79616e-14
0.832,3.38305,3.38235,3.38235,4.84057e-14
0.833,3.38656,3.38486,3.38486,4.70735e-14
0.834,3.39024,3.38736,3.38736,4.75175e-14
0.835,3.39408,3.38986,3.38986,4.52971e-14
0.836,3.39808,3.39235,3.39235,4.39648e-14
0.837,3.40222,3.39484,3.39484,4.35207e-14
0.838,3.4065,3.39732,3.39732,4.30767e-14
0.839,3.4109,3.3998,3.3998,4.57412e-14
0.84,3.41542,3.40227,3.40227,4.44089e-14
0.841,3.42005,3.40473,3.40473,4.44089e-14
0.842,3.42478,3.40719,3.40719,4.26326e-14
0.843,3.42959,3.40964,3.40964,4.39648e-14
0.844,3.43449,3.41209,3.41209,4.39648e-14
0.845,3.43946,3.41453,3.41453,4.44089e-14
0.846,3.44448,3.41697,3.41697,4.4853e-14
0.847,3.44956,3.4194,3.4194,4.79616e-14
0.848,3.45467,3.42183,3.42183,4.88498e-14
0.849,3.45982,3.42425,3.42425,5.10703e-14
0.85,3.46499,3.42666,3.42666,5.19584e-14
0.851,3.47017,3.42907,3.42907,5.32907e-14
0.852,3.47535,3.43148,3.43148,5.41789e-14
0.853,3.48052,3.43387,3.43387,5.41789e-14
0.854,3.48567,3.43627,3.43627,5.32907e-14
0.855,3.49079,3.43865,3.43865,5.4623e-14
0.856,3.49588,3.44103,3.44103,5.59552e-14
0.857,3.50092,3.44341,3.44341,5.4623e-14
0.858,3.5059,3.44578,3.44578,5.32907e-14
0.859,3.51082,3.44815,3.44815,5.50671e-14
0.86,3.51565,3.45051,3.45051,5.37348e-14
0.861,3.52041,3.45286,3.45286,5.41789e-14
0.862,3.52506,3.45521,3.45521,5.32907e-14
0.863,3.52961,3.45755,3.45755,5.32907e-14
0.864,3.53405,3.45989,3.45989,5.19584e-14
0.865,3.53837,3.46222,3.46222,5.01821e-14
0.866,3.54255,3.46455,3.46455,4.92939e-14
0.867,3.5466,3.46687,3.46687,4.79616e-14
0.868,3.55049,3.46919,3.46919,4.88498e-14
0.869,3.55423,3.4715,3.4715,5.19584e-14
0.87,3.5578,3.4738,3.4738,5.10703e-14
0.871,3.5612,3.4761,3.4761,5.24025e-14
0.872,3.56442,3.47839,3.47839,5.10703e-14
0.873,3.56745,3.48068,3.48068,4.9738e-14
0.874,3.57028,3.48296,3.48296,4.70735e-14
0.875,3.57291,3.48524,3.48524,4.57412e-14
0.876,3.57533,3.48751,3.48751,4.4853e-14
0.877,3.57753,3.48977,3.48977,4.4853e-14
0.878,3.5795,3.49203,3.49203,4.30767e-14
0.879,3.58125,3.49429,3.49429,4.35207e-14
0.88,3.58275,3.49653,3.49653,4.35207e-14
0.881,3.58402,3.49878,3.49878,4.39648e-14
0.882,3.58503,3.50101,3.50101,4.26326e-14
0.883,3.5858,3.50325,3.50325,4.21885e-14
0.884,3.5863,3.50547,3.50547,4.26326e-14
0.885,3.58654,3.50769,3.50769,4.35207e-14
0.886,3.58651,3.50991,3.50991,4.35207e-14
0.887,3.5862,3.51212,3.51212,4.52971e-14
0.888,3.58563,3.51432,3.51432,4.61853e-14
0.889,3.58476,3.51652,3.51652,4.52971e-14
0.89,3.58362,3.51871,3.51871,4.61853e-14
0.891,3.58219,3.52089,3.52089,4.35207e-14
0.892,3.58046,3.52307,3.52307,4.35207e-14
0.893,3.57845,3.52525,3.52525,4.39648e-14
0.894,3.57614,3.52742,3.52742,4.39648e-14
0.895,3.57353,3.52958,3.52958,4.44089e-14
0.896,3.57062,3.53174,3.53174,4.66294e-14
0.897,3.56741,3.53389,3.53389,4.84057e-14
0.898,3.56391,3.53604,3.53604,4.61853e-14
0.899,3.56009,3.53818,3.53818,4.57412e-14
0.9,3.55598,3.54032,3.54032,5.41789e-14
0.901,3.55156,3.53745,3.53745,0.01
0.902,3.54685,3.53457,3.53457,0.02
0.903,3.54182,3.53169,3.53169,0.03
0.904,3.5365,3.5288,3.5288,0.04
0.905,3.53088,3.52591,3.52591,0.05
0.906,3.52496,3.52301,3.52301,0.06
0.907,3.51965,3.51965,3.51965,0.07
0.908,3.51554,3.51554,3.51554,0.08
0.909,3.51133,3.51133,3.51133,0.09
0.91,3.50701,3.50701,3.50701,0.1
0.911,3.5026,3.5026,3.5026,0.11
0.912,3.49809,3.49809,3.49809,0.12
0.913,3.49348,3.49348,3.49348,0.13
0.914,3.48877,3.48877,3.48877,0.14
0.915,3.48397,3.48397,3.48397,0.15
0.916,3.47908,3.47908,3.47908,0.16
0.917,3.4741,3.4741,3.4741,0.17
0.918,3.46902,3.46902,3.46902,0.18
0.919,3.46386,3.46386,3.46386,0.19
0.92,3.45861,3.45861,3.45861,0.2
0.921,3.45327,3.45327,3.45327,0.21
0.922,3.44786,3.44786,3.44786,0.22
0.923,3.44236,3.44236,3.44236,0.23
0.924,3.43678,3.43678,3.43678,0.24
0.925,3.43113,3.43113,3.43113,0.25
0.926,3.4254,3.4254,3.4254,0.26
0.927,3.4196,3.4196,3.4196,0.27
0.928,3.41373,3.41373,3.41373,0.28
0.929,3.4078,3.4078,3.4078,0.29
0.93,3.4018,3.4018,3.4018,0.3
0.931,3.39574,3.39574,3.39574,0.31
0.932,3.38962,3.38962,3.38962,0.32
0.933,3.38345,3.38345,3.38345,0.33
0.934,3.37722,3.37722,3.37722,0.34
0.935,3.37094,3.37094,3.37094,0.35
0.936,3.36461,3.36461,3.36461,0.36
0.937,3.35824,3.35824,3.35824,0.37
0.938,3.35183,3.35183,3.35183,0.38
0.939,3.34538,3.34538,3.34538,0.39
0.94,3.33889,3.33889,3.33889,0.4
0.941,3.33237,3.33237,3.33237,0.41
0.942,3.32582,3.32582,3.32582,0.42
0.943,3.31925,3.31925,3.31925,0.43
0.944,3.31265,3.31265,3.31265,0.44
0.945,3.30603,3.30603,3.30603,0.45
0.946,3.2994,3.2994,3.2994,0.46
0.947,3.29275,3.29275,3.29275,0.47
0.948,3.2861,3.2861,3.2861,0.48
0.949,3.27943,3.27943,3.27943,0.49
0.95,3.27277,3.27277,3.27277,0.5
0.951,3.2661,3.2661,3.2661,0.51
0.952,3.25944,3.25944,3.25944,0.52
0.953,3.25278,3.25278,3.25278,0.53
0.954,3.24614,3.24614,3.24614,0.54
0.955,3.2395,3.2395,3.2395,0.55
0.956,3.23289,3.23289,3.23289,0.56
0.957,3.22629,3.22629,3.22629,0.57
0.958,3.21971,3.21971,3.21971,0.58
0.959,3.21317,3.21317,3.21317,0.59
0.96,3.20665,3.20665,3.20665,0.6
0.961,3.20016,3.20016,3.20016,0.61
0.962,3.19371,3.19371,3.19371,0.62
0.963,3.1873,3.1873,3.1873,0.63
0.964,3.18092,3.18092,3.18092,0.64
0.965,3.1746,3.1746,3.1746,0.65
0.966,3.16832,3.16832,3.16832,0.66
0.967,3.16209,3.16209,3.16209,0.67
0.968,3.15592,3.15592,3.15592,0.68
0.969,3.1498,3.1498,3.1498,0.69
0.97,3.14374,3.14374,3.14374,0.7
0.971,3.13774,3.13774,3.13774,0.71
0.972,3.1318,3.1318,3.1318,0.72
0.973,3.12593,3.12593,3.12593,0.73
0.974,3.12014,3.12014,3.12014,0.74
0.975,3.11441,3.11441,3.11441,0.75
0.976,3.10876,3.10876,3.10876,0.76
0.977,3.10318,3.10318,3.10318,0.77
0.978,3.09768,3.09768,3.09768,0.78
0.979,3.09226,3.09226,3.09226,0.79
0.98,3.08693,3.08693,3.08693,0.8
0.981,3.08168,3.08168,3.08168,0.81
0.982,3.07652,3.07652,3.07652,0.82
0.983,3.07144,3.07144,3.07144,0.83
0.984,3.06646,3.06646,3.06646,0.84
0.985,3.06156,3.06156,3.06156,0.85
0.986,3.05676,3.05676,3.05676,0.86
0.987,3.05206,3.05206,3.05206,0.87
0.988,3.04745,3.04745,3.04745,0.88
0.989,3.04294,3.04294,3.04294,0.89
0.99,3.03852,3.03852,3.03852,0.9
0.991,3.03421,3.03421,3.03421,0.91
0.992,3.03,3.03,3.03,0.92
0.993,3.02589,3.02589,3.02589,0.93
0.994,3.02188,3.02188,3.02188,0.94
0.995,3.01797,3.01797,3.01797,0.95
0.996,3.01417,3.01417,3.01417,0.96
0.997,3.01047,3.01047,3.01047,0.97
0.998,3.00687,3.00687,3.00687,0.98
0.999,3.00338,3.00338,3.00338,0.99
1,3,3,3,1
1.001,2.99697,2.99659,2.99659,1.01
1.002,2.99436,2.99313,2.99313,1.02
1.003,2.99208,2.98966,2.98966,1.03
1.004,2.99012,2.98619,2.98619,1.04
1.005,2.98849,2.98271,2.98271,1.05
1.006,2.98717,2.97923,2.97923,1.06
1.007,2.98618,2.97574,2.97574,1.07
