"time","heatCapacitor_T","switch_Controll"
7.42,321.454,0
7.43,321.516,0
7.44,321.577,0
7.45,321.639,0
7.46,321.7,0
7.47,321.762,0
7.48,321.823,0
7.49,321.884,0
7.5,321.945,0
7.51,322.007,0
7.52,322.068,0
7.53,322.128,0
7.54,322.189,0
7.55,322.25,0
7.56,322.311,0
7.57,322.31,1
7.58,322.281,1
7.59,322.252,1
7.6,322.223,1
7.61,322.194,1
7.62,322.165,1
7.63,322.136,1
7.64,322.108,1
7.65,322.079,1
7.66,322.05,1
7.67,322.021,1
7.68,321.992,1
7.69,321.963,1
7.7,321.935,1
7.71,321.906,1
7.72,321.877,1
7.73,321.848,1
7.74,321.82,1
7.75,321.791,1
7.76,321.763,1
7.77,321.734,1
7.78,321.706,1
7.79,321.677,1
7.8,321.649,1
7.81,321.62,1
7.82,321.592,1
7.83,321.563,1
7.84,321.535,1
7.85,321.53,0
7.86,321.592,0
7.87,321.653,0
7.88,321.714,0
7.89,321.776,0
7.9,321.837,0
7.91,321.898,0
7.92,321.959,0
7.93,322.02,0
7.94,322.081,0
7.95,322.141,0
7.96,322.202,0
7.97,322.263,0
7.98,322.323,0
7.99,322.384,0
8,322.444,0
8.01,322.504,0
8.02,322.564,0
8.03,322.624,0
8.04,322.684,0
8.05,322.743,0
8.06,322.803,0
8.07,322.863,0
8.08,322.922,0
8.09,322.982,0
8.1,323.041,0
8.11,323.1,0
8.12,323.16,0
8.13,323.219,0
8.14,323.278,0
8.15,323.337,0
8.16,323.396,0
8.17,323.455,0
8.18,323.514,0
8.19,323.573,0
8.2,323.632,0
8.21,323.691,0
8.22,323.749,0
8.23,323.808,0
8.24,323.866,0
8.25,323.925,0
8.26,323.983,0
8.27,324.041,0
8.28,324.099,0
8.29,324.146,1
8.3,324.115,1
8.31,324.084,1
8.32,324.053,1
8.33,324.022,1
8.34,323.992,1
8.35,323.961,1
8.36,323.93,1
8.37,323.899,1
8.38,323.869,1
8.39,323.838,1
8.4,323.807,1
8.41,323.777,1
8.42,323.746,1
8.43,323.716,1
8.44,323.685,1
8.45,323.655,1
8.46,323.624,1
8.47,323.594,1
8.48,323.563,1
8.49,323.533,1
8.5,323.502,1
8.51,323.472,1
8.52,323.442,1
8.53,323.412,1
8.54,323.381,1
8.55,323.351,1
8.56,323.321,1
8.57,323.291,1
8.58,323.261,1
8.59,323.231,1
8.6,323.201,1
8.61,323.171,1
8.62,323.141,1
8.63,323.111,1
8.64,323.081,1
8.65,323.051,1
8.66,323.021,1
8.67,322.991,1
8.68,322.961,1
8.69,322.932,1
8.7,322.902,1
8.71,322.872,1
8.72,322.842,1
8.73,322.813,1
8.74,322.783,1
8.75,322.753,1
8.76,322.724,1
8.77,322.694,1
8.78,322.665,1
8.79,322.635,1
8.8,322.606,1
8.81,322.576,1
8.82,322.547,1
8.83,322.518,1
8.84,322.488,1
8.85,322.459,1
8.86,322.43,1
8.87,322.4,1
8.88,322.371,1
8.89,322.342,1
8.9,322.313,1
8.91,322.284,1
8.92,322.254,1
8.93,322.225,1
8.94,322.196,1
8.95,322.167,1
8.96,322.175,0
8.97,322.236,0
8.98,322.296,0
8.99,322.356,0
9,322.417,0
9.01,322.477,0
9.02,322.537,0
9.03,322.597,0
9.04,322.657,0
9.05,322.717,0
9.06,322.777,0
9.07,322.837,0
9.08,322.897,0
9.09,322.957,0
9.1,323.016,0
9.11,323.076,0
9.12,323.135,0
9.13,323.194,0
9.14,323.254,0
9.15,323.313,0
9.16,323.372,0
9.17,323.431,0
9.18,323.49,0
9.19,323.549,0
9.2,323.608,0
9.21,323.667,0
9.22,323.726,0
9.23,323.784,0
9.24,323.843,0
9.25,323.901,0
9.26,323.96,0
9.27,324.018,0
9.28,324.076,0
9.29,324.135,0
9.3,324.127,1
9.31,324.096,1
9.32,324.066,1
9.33,324.035,1
9.34,324.004,1
9.35,323.973,1
9.36,323.943,1
9.37,323.912,1
9.38,323.881,1
9.39,323.851,1
9.4,323.82,1
9.41,323.789,1
9.42,323.759,1
9.43,323.728,1
9.44,323.698,1
9.45,323.667,1
9.46,323.637,1
9.47,323.606,1
9.48,323.576,1
9.49,323.546,1
9.5,323.515,1
9.51,323.485,1
9.52,323.455,1
9.53,323.425,1
9.54,323.394,1
9.55,323.364,1
9.56,323.334,1
9.57,323.304,1
9.58,323.274,1
9.59,323.244,1
9.6,323.214,1
9.61,323.184,1
9.62,323.154,1
9.63,323.124,1
9.64,323.094,1
9.65,323.064,1
9.66,323.034,1
9.67,323.004,1
9.68,322.974,1
9.69,322.945,1
9.7,322.915,1
9.71,322.885,1
