"time","Piston.frame_a.r_0[1]","Piston.frame_a.r_0[2]","Piston.frame_a.r_0[3]"
0.196011,0.15,0.215981,0
0.197011,0.15,0.208905,0
0.198011,0.15,0.203901,0
0.199011,0.15,0.200946,0
0.200011,0.15,0.200001,0
0.201011,0.15,0.201049,0
0.202011,0.15,0.204109,0
0.203011,0.15,0.209222,0
0.204011,0.15,0.21642,0
0.205011,0.15,0.225674,0
0.206011,0.15,0.23686,0
0.207011,0.15,0.249743,0
0.208011,0.15,0.264007,0
0.209011,0.15,0.279294,0
0.210011,0.15,0.295238,0
0.211011,0.15,0.31149,0
0.212011,0.15,0.327711,0
0.213011,0.15,0.343557,0
0.214011,0.15,0.358646,0
0.215011,0.15,0.372501,0
0.216011,0.15,0.384479,0
0.217011,0.15,0.393691,0
0.218011,0.15,0.399045,0
0.219011,0.15,0.399629,0
0.220011,0.15,0.395308,0
0.221011,0.15,0.386781,0
0.222011,0.15,0.375059,0
0.223011,0.15,0.361037,0
0.224011,0.15,0.345399,0
0.225011,0.15,0.328669,0
0.226011,0.15,0.311285,0
0.227011,0.15,0.293668,0
0.228011,0.15,0.276263,0
0.229011,0.15,0.259574,0
0.230011,0.15,0.24415,0
0.231011,0.15,0.230544,0
0.232011,0.15,0.219218,0
0.233011,0.15,0.210459,0
0.234011,0.15,0.204366,0
0.235011,0.15,0.200909,0
0.236011,0.15,0.200031,0
0.237011,0.15,0.201712,0
0.238011,0.15,0.205988,0
0.239011,0.15,0.212924,0
0.240011,0.15,0.222534,0
0.241011,0.15,0.234698,0
0.242011,0.15,0.249119,0
0.243011,0.15,0.265352,0
0.244011,0.15,0.28288,0
0.245011,0.15,0.301179,0
0.246011,0.15,0.319747,0
0.247011,0.15,0.338088,0
0.248011,0.15,0.355659,0
0.249011,0.15,0.371782,0
0.250011,0.15,0.385501,0
0.251012,0.15,0.395437,0
0.252013,0.15,0.399888,0
0.253014,0.15,0.397775,0
0.254015,0.15,0.389585,0
0.255016,0.15,0.376826,0
0.256017,0.15,0.360973,0
0.257018,0.15,0.343113,0
0.258019,0.15,0.324029,0
0.25902,0.15,0.304351,0
0.260021,0.15,0.284679,0
0.261022,0.15,0.265656,0
0.262023,0.15,0.247999,0
0.263024,0.15,0.232446,0
0.264025,0.15,0.219641,0
0.265026,0.15,0.209981,0
0.266027,0.15,0.203588,0
0.267028,0.15,0.200409,0
0.268029,0.15,0.200372,0
0.26903,0.15,0.203474,0
0.270031,0.15,0.209792,0
0.271032,0.15,0.21939,0
0.272033,0.15,0.232184,0
0.273034,0.15,0.247833,0
0.274035,0.15,0.265765,0
0.275036,0.15,0.285284,0
0.276037,0.15,0.305688,0
0.277038,0.15,0.326301,0
0.278039,0.15,0.346435,0
0.27904,0.15,0.365277,0
0.280041,0.15,0.381696,0
0.281042,0.15,0.393972,0
0.282043,0.15,0.399792,0
0.283044,0.15,0.397489,0
0.284045,0.15,0.387718,0
0.285046,0.15,0.372638,0
0.286047,0.15,0.354217,0
0.287048,0.15,0.333812,0
0.288049,0.15,0.312383,0
0.28905,0.15,0.290735,0
0.290051,0.15,0.269678,0
0.291052,0.15,0.250106,0
0.292053,0.15,0.232958,0
0.293054,0.15,0.219056,0
0.294055,0.15,0.208893,0
0.295056,0.15,0.20259,0
0.296057,0.15,0.200062,0
0.297058,0.15,0.201231,0
0.298059,0.15,0.206138,0
0.29906,0.15,0.214892,0
0.300061,0.15,0.227496,0
0.301062,0.15,0.24365,0
0.302063,0.15,0.262698,0
0.303064,0.15,0.283775,0
0.304065,0.15,0.305978,0
0.305066,0.15,0.32844,0
0.306067,0.15,0.35026,0
0.307068,0.15,0.370333,0
0.308069,0.15,0.387006,0
0.30907,0.15,0.397703,0
0.310071,0.15,0.39948,0
0.311072,0.15,0.39166,0
0.312073,0.15,0.376609,0
0.313074,0.15,0.357121,0
0.314075,0.15,0.335131,0
0.315076,0.15,0.311931,0
0.316077,0.15,0.288551,0
0.317078,0.15,0.266012,0
0.318079,0.15,0.245429,0
0.31908,0.15,0.227942,0
0.320081,0.15,0.214452,0
0.321082,0.15,0.205381,0
0.322083,0.15,0.200727,0
0.323084,0.15,0.200366,0
0.324085,0.15,0.204283,0
0.325086,0.15,0.212601,0
0.326087,0.15,0.225383,0
0.327088,0.15,0.24234,0
0.328089,0.15,0.262709,0
0.32909,0.15,0.28543,0
0.330091,0.15,0.309391,0
0.331092,0.15,0.333515,0
0.332093,0.15,0.356652,0
0.333094,0.15,0.377268,0
0.334095,0.15,0.392907,0
0.335096,0.15,0.399908,0
0.336097,0.15,0.395611,0
0.337098,0.15,0.381652,0
0.338099,0.15,0.361682,0
0.3391,0.15,0.338444,0
0.340101,0.15,0.31367,0
0.341102,0.15,0.288654,0
0.342103,0.15,0.264636,0
0.343104,0.15,0.24296,0
0.344105,0.15,0.224972,0
0.345106,0.15,0.211661,0
0.346107,0.15,0.203392,0
0.347108,0.15,0.200081,0
0.348109,0.15,0.201606,0
0.34911,0.15,0.208032,0
0.350111,0.15,0.21951,0
0.351112,0.15,0.235919,0
0.352113,0.15,0.256556,0
0.353114,0.15,0.28023,0
0.354115,0.15,0.305599,0
0.355116,0.15,0.331361,0
0.356117,0.15,0.356141,0
0.357118,0.15,0.378102,0
0.358119,0.15,0.394213,0
0.35912,0.15,0.39998,0
0.360121,0.15,0.392865,0
0.361122,0.15,0.375773,0
0.362123,0.15,0.353011,0
0.363124,0.15,0.32743,0
0.364125,0.15,0.300842,0
0.365126,0.15,0.274725,0
0.366127,0.15,0.250609,0
0.367128,0.15,0.230108,0
0.368129,0.15,0.214567,0
0.36913,0.15,0.204621,0
0.370131,0.15,0.200252,0
0.371132,0.15,0.201297,0
0.372133,0.15,0.207805,0
0.373134,0.15,0.219955,0
0.374135,0.15,0.237599,0
0.375136,0.15,0.259869,0
0.376137,0.15,0.285323,0
