"time","B1.f2.Pt","B1.f2.m","B2.f2.Pt","B2.f2.m","C1.V_bubble","C2.V_bubble","D1.f_out.m","D2.f_out.m","D3.f_out.m","D4.f_out.m","D5.f_out.m","D6.f_out.m","D7.f_out.m","D8.f_out.m","E1.on.signal[1]","E2.on.signal[1]","V1.s_pos.signal[1]","V2.s_pos.signal[1]"
34.75,2.73469,2815.01,1.40056,-69.1328,0,6.78729,2815.01,-69.1328,-988.031,-780.944,-551.794,-332.542,-125.8,-35.9201,1,0,1,0
35,2.73459,2815.09,1.40056,-69.1328,0,6.80459,2815.09,-69.1328,-984.974,-778.431,-552.221,-335.015,-127.819,-36.6581,1,0,1,0
35.25,2.73448,2815.18,1.40056,-69.1328,0,6.82188,2815.18,-69.1328,-982.065,-775.988,-552.562,-337.376,-129.813,-37.3965,1,0,1,0
35.5,2.73438,2815.26,1.40056,-69.1328,0,6.83917,2815.26,-69.1328,-979.297,-773.614,-552.823,-339.628,-131.78,-38.1352,1,0,1,0
35.75,2.73429,2815.33,1.40056,-69.1328,0,6.85647,2815.33,-69.1328,-976.661,-771.31,-553.01,-341.775,-133.722,-38.874,1,0,1,0
36,2.7342,2815.4,1.40056,-69.1328,0,6.87376,2815.4,-69.1328,-974.149,-769.073,-553.131,-343.819,-135.637,-39.6128,1,0,1,0
36.25,2.73412,2815.47,1.40056,-69.1328,0,6.89105,2815.47,-69.1328,-971.754,-766.904,-553.19,-345.764,-137.525,-40.3516,1,0,1,0
36.5,2.73404,2815.53,1.40056,-69.1328,0,6.90835,2815.53,-69.1328,-969.471,-764.799,-553.193,-347.613,-139.386,-41.0901,1,0,1,0
36.75,2.73396,2815.59,1.40056,-69.1328,0,6.92564,2815.59,-69.1328,-967.291,-762.76,-553.145,-349.369,-141.219,-41.8282,1,0,1,0
37,2.73389,2815.65,1.40056,-69.1328,0,6.94294,2815.65,-69.1328,-965.211,-760.782,-553.051,-351.036,-143.024,-42.5658,1,0,1,0
37.25,2.73382,2815.71,1.40056,-69.1328,0,6.96023,2815.71,-69.1328,-963.224,-758.867,-552.913,-352.616,-144.802,-43.3028,1,0,1,0
37.5,2.73375,2815.76,1.40056,-69.1328,0,6.97752,2815.76,-69.1328,-961.326,-757.011,-552.737,-354.114,-146.551,-44.039,1,0,1,0
37.75,2.73369,2815.81,1.40056,-69.1328,0,6.99482,2815.81,-69.1328,-959.511,-755.214,-552.527,-355.53,-148.272,-44.7744,1,0,1,0
38,2.73363,2815.86,1.40056,-69.1328,0,7.01211,2815.86,-69.1328,-957.775,-753.473,-552.284,-356.87,-149.965,-45.5088,1,0,1,0
38.25,2.73357,2815.91,1.40056,-69.1328,0,7.0294,2815.91,-69.1328,-956.115,-751.787,-552.013,-358.135,-151.629,-46.2421,1,0,1,0
38.5,2.73352,2815.95,1.40056,-69.1328,0,7.0467,2815.95,-69.1328,-954.526,-750.156,-551.717,-359.328,-153.265,-46.9742,1,0,1,0
38.75,2.73346,2816,1.40056,-69.1328,0,7.06399,2816,-69.1328,-953.005,-748.576,-551.398,-360.453,-154.872,-47.705,1,0,1,0
39,2.73341,2816.04,1.40056,-69.1328,0,7.08128,2816.04,-69.1328,-951.547,-747.047,-551.058,-361.511,-156.45,-48.4343,1,0,1,0
39.25,2.73336,2816.08,1.40056,-69.1328,0,7.09858,2816.08,-69.1328,-950.151,-745.568,-550.7,-362.506,-158,-49.1622,1,0,1,0
39.5,2.73332,2816.11,1.40056,-69.1328,0,7.11587,2816.11,-69.1328,-948.813,-744.136,-550.326,-363.44,-159.522,-49.8883,1,0,1,0
39.75,2.73327,2816.15,1.40056,-69.1328,0,7.13316,2816.15,-69.1328,-947.53,-742.75,-549.939,-364.315,-161.014,-50.6127,1,0,1,0
40,2.73323,2816.18,1.40056,-69.1328,0,7.15046,2816.18,-69.1328,-946.299,-741.408,-549.539,-365.135,-162.478,-51.3353,1,0,1,0
40.25,2.73319,2816.22,1.40056,-69.1328,0,7.16775,2816.22,-69.1328,-945.118,-740.111,-549.128,-365.9,-163.914,-52.0559,1,0,1,0
40.5,2.73315,2816.25,1.40056,-69.1328,0,7.18505,2816.25,-69.1328,-943.985,-738.854,-548.708,-366.615,-165.322,-52.7744,1,0,1,0
40.75,2.73311,2816.28,1.40056,-69.1328,0,7.20234,2816.28,-69.1328,-942.897,-737.639,-548.281,-367.28,-166.702,-53.4908,1,0,1,0
41,2.73307,2816.31,1.40056,-69.1328,0,7.21963,2816.31,-69.1328,-941.852,-736.463,-547.847,-367.897,-168.053,-54.205,1,0,1,0
41.25,2.73304,2816.34,1.40056,-69.1328,0,7.23693,2816.34,-69.1328,-940.848,-735.325,-547.409,-368.47,-169.377,-54.9169,1,0,1,0
41.5,2.733,2816.36,1.40056,-69.1328,0,7.25422,2816.36,-69.1328,-939.884,-734.223,-546.966,-369,-170.674,-55.6263,1,0,1,0
41.75,2.73297,2816.39,1.40056,-69.1328,0,7.27151,2816.39,-69.1328,-938.956,-733.157,-546.52,-369.489,-171.943,-56.3332,1,0,1,0
42,2.73294,2816.42,1.40056,-69.1328,0,7.28881,2816.42,-69.1328,-938.065,-732.125,-546.072,-369.939,-173.185,-57.0376,1,0,1,0
42.25,2.73291,2816.44,1.40056,-69.1328,0,7.3061,2816.44,-69.1328,-937.207,-731.127,-545.623,-370.351,-174.4,-57.7393,1,0,1,0
42.5,2.73288,2816.46,1.40056,-69.1328,0,7.32339,2816.46,-69.1328,-936.383,-730.16,-545.173,-370.728,-175.588,-58.4382,1,0,1,0
42.75,2.73285,2816.49,1.40056,-69.1328,0,7.34069,2816.49,-69.1328,-935.589,-729.225,-544.724,-371.071,-176.75,-59.1343,1,0,1,0
43,2.73283,2816.51,1.40056,-69.1328,0,7.35798,2816.51,-69.1328,-934.825,-728.319,-544.275,-371.381,-177.886,-59.8275,1,0,1,0
43.25,2.7328,2816.53,1.40056,-69.1328,0,7.37527,2816.53,-69.1328,-934.089,-727.443,-543.828,-371.661,-178.996,-60.5177,1,0,1,0
43.5,2.73278,2816.55,1.40056,-69.1328,0,7.39257,2816.55,-69.1328,-933.381,-726.594,-543.382,-371.911,-180.08,-61.2049,1,0,1,0
43.75,2.73275,2816.57,1.40056,-69.1328,0,7.40986,2816.57,-69.1328,-932.699,-725.772,-542.94,-372.134,-181.139,-61.8889,1,0,1,0
44,2.73273,2816.59,1.40056,-69.1328,0,7.42716,2816.59,-69.1328,-932.041,-724.977,-542.5,-372.33,-182.174,-62.5698,1,0,1,0
44.25,2.73271,2816.6,1.40056,-69.1328,0,7.44445,2816.6,-69.1328,-931.408,-724.207,-542.063,-372.501,-183.183,-63.2474,1,0,1,0
44.5,2.73268,2816.62,1.40056,-69.1328,0,7.46174,2816.62,-69.1328,-930.797,-723.461,-541.63,-372.649,-184.169,-63.9217,1,0,1,0
44.75,2.73266,2816.64,1.40056,-69.1328,0,7.47904,2816.64,-69.1328,-930.208,-722.738,-541.201,-372.773,-185.13,-64.5926,1,0,1,0
45,2.73264,2816.65,1.40056,-69.1328,0,7.49633,2816.65,-69.1328,-929.64,-722.038,-540.776,-372.876,-186.068,-65.2601,1,0,1,0
45.25,2.73262,2816.67,1.40056,-69.1328,0,7.51362,2816.67,-69.1328,-929.092,-721.361,-540.355,-372.959,-186.982,-65.9241,1,0,1,0
45.5,2.73261,2816.68,1.40056,-69.1328,0,7.53092,2816.68,-69.1328,-928.564,-720.704,-539.939,-373.023,-187.874,-66.5845,1,0,1,0
45.75,2.73259,2816.7,1.40056,-69.1328,0,7.54821,2816.7,-69.1328,-928.054,-720.068,-539.529,-373.069,-188.742,-67.2414,1,0,1,0
46,2.73257,2816.71,1.40056,-69.1328,0,7.5655,2816.71,-69.1328,-927.562,-719.452,-539.123,-373.097,-189.589,-67.8945,1,0,1,0
46.25,2.73255,2816.73,1.40056,-69.1328,0,7.5828,2816.73,-69.1328,-927.086,-718.855,-538.722,-373.109,-190.414,-68.544,1,0,1,0
46.5,2.73254,2816.74,1.40056,-69.1328,0,7.60009,2816.74,-69.1328,-926.628,-718.276,-538.327,-373.106,-191.217,-69.1897,1,0,1,0
46.75,2.73252,2816.75,1.40056,-69.1328,0,7.61738,2816.75,-69.1328,-926.184,-717.715,-537.937,-373.089,-191.999,-69.8316,1,0,1,0
47,2.73251,2816.76,1.40056,-69.1328,0,7.63468,2816.76,-69.1328,-925.756,-717.171,-537.553,-373.058,-192.76,-70.4697,1,0,1,0
47.25,2.73249,2816.78,1.40056,-69.1328,0,7.65197,2816.78,-69.1328,-925.342,-716.644,-537.174,-373.014,-193.501,-71.1039,1,0,1,0
47.5,2.73248,2816.79,1.40056,-69.1328,0,7.66927,2816.79,-69.1328,-924.943,-716.134,-536.801,-372.958,-194.221,-71.7342,1,0,1,0
47.75,2.73246,2816.8,1.40056,-69.1328,0,7.68656,2816.8,-69.1328,-924.556,-715.638,-536.434,-372.891,-194.922,-72.3605,1,0,1,0
48,2.73245,2816.81,1.40056,-69.1328,0,7.70385,2816.81,-69.1328,-924.183,-715.158,-536.072,-372.813,-195.603,-72.9828,1,0,1,0
48.25,2.73244,2816.82,1.40056,-69.1328,0,7.72115,2816.82,-69.1328,-923.821,-714.692,-535.716,-372.725,-196.266,-73.601,1,0,1,0
48.5,2.73243,2816.83,1.40056,-69.1328,0,7.73844,2816.83,-69.1328,-923.472,-714.241,-535.366,-372.628,-196.91,-74.2152,1,0,1,0
48.75,2.73241,2816.84,1.40056,-69.1328,0,7.75573,2816.84,-69.1328,-923.134,-713.803,-535.022,-372.523,-197.535,-74.8253,1,0,1,0
49,2.7324,2816.85,1.40056,-69.1328,0,7.77303,2816.85,-69.1328,-922.807,-713.378,-534.684,-372.409,-198.142,-75.4313,1,0,1,0
49.25,2.73239,2816.86,1.40056,-69.1328,0,7.79032,2816.86,-69.1328,-922.491,-712.965,-534.351,-372.288,-198.732,-76.0331,1,0,1,0
49.5,2.73238,2816.87,1.40056,-69.1328,0,7.80761,2816.87,-69.1328,-922.184,-712.565,-534.024,-372.159,-199.305,-76.6307,1,0,1,0
49.75,2.73237,2816.87,1.40056,-69.1328,0,7.82491,2816.87,-69.1328,-921.888,-712.177,-533.703,-372.024,-199.86,-77.2241,1,0,1,0
50,2.73236,2816.88,1.40056,-69.1328,0,7.8422,2816.88,-69.1328,-921.601,-711.801,-533.387,-371.884,-200.399,-77.8133,1,0,1,0
50.25,2.73235,2816.89,1.40056,-69.1328,0,7.8595,2816.89,-69.1328,-921.323,-711.435,-533.078,-371.737,-200.922,-78.3982,1,0,1,0
50.5,2.73234,2816.9,1.40056,-69.1328,0,7.87679,2816.9,-69.1328,-921.054,-711.08,-532.773,-371.585,-201.429,-78.9788,1,0,1,0
50.75,2.73233,2816.91,1.40056,-69.1328,0,7.89408,2816.91,-69.1328,-920.794,-710.736,-532.475,-371.429,-201.92,-79.5552,1,0,1,0
51,2.73232,2816.91,1.40056,-69.1328,0,7.91138,2816.91,-69.1328,-920.541,-710.401,-532.181,-371.268,-202.396,-80.1272,1,0,1,0
51.25,2.73231,2816.92,1.40056,-69.1328,0,7.92867,2816.92,-69.1328,-920.296,-710.077,-531.894,-371.103,-202.857,-80.6949,1,0,1,0
51.5,2.7323,2816.93,1.40056,-69.1328,0,7.94596,2816.93,-69.1328,-920.059,-709.761,-531.611,-370.935,-203.304,-81.2582,1,0,1,0
51.75,2.7323,2816.93,1.40056,-69.1328,0,7.96326,2816.93,-69.1328,-919.829,-709.455,-531.334,-370.763,-203.736,-81.8172,1,0,1,0
52,2.73229,2816.94,1.40056,-69.1328,0,7.98055,2816.94,-69.1328,-919.607,-709.158,-531.062,-370.589,-204.155,-82.3719,1,0,1,0
52.25,2.73228,2816.95,1.40056,-69.1328,0,7.99784,2816.95,-69.1328,-919.391,-708.869,-530.796,-370.411,-204.56,-82.9221,1,0,1,0
52.5,2.73227,2816.95,1.40056,-69.1328,0,8.01514,2816.95,-69.1328,-919.181,-708.588,-530.534,-370.231,-204.951,-83.468,1,0,1,0
52.75,2.73226,2816.96,1.40056,-69.1328,0,8.03243,2816.96,-69.1328,-918.978,-708.315,-530.277,-370.049,-205.33,-84.0095,1,0,1,0
53,2.73226,2816.96,1.40056,-69.1328,0,8.04972,2816.96,-69.1328,-918.781,-708.05,-530.026,-369.866,-205.696,-84.5465,1,0,1,0
53.25,2.73225,2816.97,1.40056,-69.1328,0,8.06702,2816.97,-69.1328,-918.59,-707.793,-529.779,-369.68,-206.049,-85.0792,1,0,1,0
53.5,2.73224,2816.97,1.40056,-69.1328,0,8.08431,2816.97,-69.1328,-918.404,-707.543,-529.537,-369.494,-206.39,-85.6075,1,0,1,0
53.75,2.73224,2816.98,1.40056,-69.1328,0,8.10161,2816.98,-69.1328,-918.224,-707.3,-529.3,-369.306,-206.72,-86.1313,1,0,1,0
54,2.73223,2816.98,1.40056,-69.1328,0,8.1189,2816.98,-69.1328,-918.05,-707.063,-529.068,-369.117,-207.038,-86.6508,1,0,1,0
54.25,2.73223,2816.99,1.40056,-69.1328,0,8.13619,2816.99,-69.1328,-917.88,-706.833,-528.84,-368.927,-207.345,-87.1658,1,0,1,0
54.5,2.73222,2816.99,1.40056,-69.1328,0,8.15349,2816.99,-69.1328,-917.716,-706.61,-528.617,-368.737,-207.64,-87.6764,1,0,1,0
54.75,2.73221,2817,1.40056,-69.1328,0,8.17078,2817,-69.1328,-917.556,-706.392,-528.398,-368.546,-207.925,-88.1826,1,0,1,0
55,2.73221,2817,1.40056,-69.1328,0,8.18807,2817,-69.1328,-917.401,-706.181,-528.183,-368.355,-208.2,-88.6844,1,0,1,0
55.25,2.7322,2817.01,1.40056,-69.1328,0,8.20537,2817.01,-69.1328,-917.25,-705.976,-527.973,-368.164,-208.464,-89.1818,1,0,1,0
55.5,2.7322,2817.01,1.40056,-69.1328,0,8.22266,2817.01,-69.1328,-917.103,-705.776,-527.767,-367.973,-208.719,-89.6748,1,0,1,0
55.75,2.73219,2817.02,1.40056,-69.1328,0,8.23995,2817.02,-69.1328,-916.961,-705.581,-527.565,-367.783,-208.964,-90.1634,1,0,1,0
56,2.73219,2817.02,1.40056,-69.1328,0,8.25725,2817.02,-69.1328,-916.823,-705.392,-527.368,-367.592,-209.199,-90.6476,1,0,1,0
56.25,2.73218,2817.02,1.40056,-69.1328,0,8.27454,2817.02,-69.1328,-916.689,-705.208,-527.174,-367.402,-209.425,-91.1275,1,0,1,0
56.5,2.73218,2817.03,1.40056,-69.1328,0,8.29183,2817.03,-69.1328,-916.558,-705.029,-526.984,-367.213,-209.642,-91.603,1,0,1,0
56.75,2.73217,2817.03,1.40056,-69.1328,0,8.30913,2817.03,-69.1328,-916.431,-704.854,-526.798,-367.024,-209.851,-92.0741,1,0,1,0
57,2.73217,2817.04,1.40056,-69.1328,0,8.32642,2817.04,-69.1328,-916.308,-704.685,-526.616,-366.836,-210.051,-92.5409,1,0,1,0
57.25,2.73216,2817.04,1.40056,-69.1328,0,8.34372,2817.04,-69.1328,-916.188,-704.519,-526.437,-366.649,-210.243,-93.0033,1,0,1,0
57.5,2.73216,2817.04,1.40056,-69.1328,0,8.36101,2817.04,-69.1328,-916.072,-704.359,-526.262,-366.463,-210.427,-93.4614,1,0,1,0
57.75,2.73216,2817.05,1.40056,-69.1328,0,8.3783,2817.05,-69.1328,-915.958,-704.202,-526.091,-366.277,-210.603,-93.9153,1,0,1,0
58,2.73215,2817.05,1.40056,-69.1328,0,8.3956,2817.05,-69.1328,-915.848,-704.05,-525.923,-366.093,-210.771,-94.3648,1,0,1,0
58.25,2.73215,2817.05,1.40056,-69.1328,0,8.41289,2817.05,-69.1328,-915.741,-703.901,-525.759,-365.91,-210.932,-94.81,1,0,1,0
58.5,2.73214,2817.05,1.40056,-69.1328,0,8.43018,2817.05,-69.1328,-915.636,-703.757,-525.598,-365.729,-211.086,-95.251,1,0,1,0
58.75,2.73214,2817.06,1.40056,-69.1328,0,8.44748,2817.06,-69.1328,-915.535,-703.616,-525.44,-365.548,-211.232,-95.6877,1,0,1,0
59,2.73214,2817.06,1.40056,-69.1328,0,8.46477,2817.06,-69.1328,-915.436,-703.479,-525.285,-365.369,-211.372,-96.1202,1,0,1,0
59.25,2.73213,2817.06,1.40056,-69.1328,0,8.48206,2817.06,-69.1328,-915.34,-703.345,-525.134,-365.191,-211.506,-96.5484,1,0,1,0
59.5,2.73213,2817.07,1.40056,-69.1328,0,8.49936,2817.07,-69.1328,-915.246,-703.215,-524.985,-365.015,-211.632,-96.9725,1,0,1,0
59.75,2.73213,2817.07,1.40056,-69.1328,0,8.51665,2817.07,-69.1328,-915.155,-703.088,-524.84,-364.841,-211.753,-97.3924,1,0,1,0
60,2.73212,2817.07,1.40056,-69.1328,0,8.53394,2817.07,-69.1328,-915.067,-702.965,-524.698,-364.667,-211.868,-97.8081,1,0,1,0
60.25,2.73212,2817.07,1.40056,-69.1328,0,8.55124,2817.07,-69.1328,-914.981,-702.844,-524.558,-364.496,-211.976,-98.2197,1,0,1,0
60.5,2.73212,2817.08,1.40056,-69.1328,0,8.56853,2817.08,-69.1328,-914.896,-702.727,-524.422,-364.326,-212.079,-98.6272,1,0,1,0
60.75,2.73211,2817.08,1.40056,-69.1328,0,8.58583,2817.08,-69.1328,-914.815,-702.612,-524.288,-364.157,-212.177,-99.0306,1,0,1,0
61,2.73211,2817.08,1.40056,-69.1328,0,8.60312,2817.08,-69.1328,-914.735,-702.501,-524.157,-363.99,-212.269,-99.4298,1,0,1,0
61.25,2.73211,2817.08,1.40056,-69.1328,0,8.62041,2817.08,-69.1328,-914.657,-702.392,-524.029,-363.825,-212.356,-99.8251,1,0,1,0
61.5,2.73211,2817.09,1.40056,-69.1328,0,8.63771,2817.09,-69.1328,-914.582,-702.286,-523.903,-363.662,-212.437,-100.216,1,0,1,0
61.75,2.7321,2817.09,1.40056,-69.1328,0,8.655,2817.09,-69.1328,-914.508,-702.183,-523.78,-363.5,-212.514,-100.603,1,0,1,0
62,2.7321,2817.09,1.40056,-69.1328,0,8.67229,2817.09,-69.1328,-914.436,-702.082,-523.659,-363.34,-212.586,-100.987,1,0,1,0
62.25,2.7321,2817.09,1.40056,-69.1328,0,8.68959,2817.09,-69.1328,-914.366,-701.984,-523.541,-363.182,-212.654,-101.366,1,0,1,0
62.5,2.73209,2817.09,1.40056,-69.1328,0,8.70688,2817.09,-69.1328,-914.298,-701.888,-523.425,-363.026,-212.716,-101.741,1,0,1,0
62.75,2.73209,2817.1,1.40056,-69.1328,0,8.72417,2817.1,-69.1328,-914.232,-701.795,-523.312,-362.871,-212.775,-102.113,1,0,1,0
63,2.73209,2817.1,1.40056,-69.1328,0,8.74147,2817.1,-69.1328,-914.167,-701.703,-523.2,-362.718,-212.829,-102.48,1,0,1,0
63.25,2.73209,2817.1,1.40056,-69.1328,0,8.75876,2817.1,-69.1328,-914.104,-701.614,-523.092,-362.567,-212.88,-102.844,1,0,1,0
63.5,2.73209,2817.1,1.40056,-69.1328,0,8.77605,2817.1,-69.1328,-914.042,-701.528,-522.985,-362.418,-212.926,-103.203,1,0,1,0
63.75,2.73208,2817.1,1.40056,-69.1328,0,8.79335,2817.1,-69.1328,-913.982,-701.443,-522.88,-362.271,-212.969,-103.559,1,0,1,0
64,2.73208,2817.11,1.40056,-69.1328,0,8.81064,2817.11,-69.1328,-913.924,-701.36,-522.778,-362.125,-213.007,-103.911,1,0,1,0
64.25,2.73208,2817.11,1.40056,-69.1328,0,8.82794,2817.11,-69.1328,-913.867,-701.279,-522.678,-361.981,-213.043,-104.26,1,0,1,0
64.5,2.73208,2817.11,1.40056,-69.1328,0,8.84523,2817.11,-69.1328,-913.811,-701.201,-522.579,-361.839,-213.074,-104.604,1,0,1,0
64.75,2.73207,2817.11,1.40056,-69.1328,0,8.86252,2817.11,-69.1328,-913.757,-701.124,-522.483,-361.699,-213.103,-104.945,1,0,1,0
65,2.73207,2817.11,1.40056,-69.1328,0,8.87982,2817.11,-69.1328,-913.704,-701.049,-522.389,-361.56,-213.128,-105.283,1,0,1,0
65.25,2.73207,2817.11,1.43354,-18.1237,0,8.89366,2817.11,-19.8387,-913.652,-700.976,-522.296,-361.423,-213.15,-105.616,1,1,1,0
65.5,2.73207,2817.11,1.49719,251.467,0,8.86959,2817.11,249.467,-913.602,-700.904,-522.206,-361.288,-213.169,-105.946,1,1,1,0
65.75,2.73207,2817.12,1.55907,733.956,0,8.75004,2817.12,733.258,-913.553,-700.834,-522.117,-361.155,-213.185,-106.272,1,1,1,0
66,2.73207,2817.12,1.57929,1249.33,0,8.49907,2817.12,1250.45,-913.505,-700.766,-522.03,-361.024,-213.198,-106.595,1,1,1,0
66.25,2.73206,2817.12,1.61881,1633.81,0,8.13638,2817.12,1634.22,-913.458,-700.7,-521.945,-360.894,-213.209,-106.914,1,1,1,0
66.5,2.73206,2817.12,1.68332,1944.76,0,7.68786,2817.12,1944.99,-913.412,-700.635,-521.861,-360.766,-213.217,-107.23,1,1,1,0
66.75,2.73206,2817.12,1.76781,2215.69,0,7.16697,2817.12,2215.85,-913.368,-700.571,-521.779,-360.64,-213.222,-107.542,1,1,1,0
67,2.73206,2817.12,1.87605,2461.44,0,6.58186,2817.12,2461.41,-913.324,-700.509,-521.699,-360.515,-213.225,-107.851,1,1,1,0
67.25,2.73206,2817.12,2.02636,2714.01,0,5.93549,2817.12,2713.32,-913.282,-700.448,-521.621,-360.393,-213.225,-108.156,1,1,1,0
67.5,2.73206,2817.13,2.2719,3118.85,0,5.21214,2817.13,3125.3,-913.24,-700.389,-521.544,-360.272,-213.224,-108.458,1,1,1,0
67.75,2.73205,2817.13,2.36224,3110.77,0,4.4228,2817.13,3109.79,-913.2,-700.331,-521.468,-360.152,-213.22,-108.756,1,1,1,0
68,2.73205,2817.13,2.62211,2918.71,0,3.66773,2817.13,2919.67,-913.16,-700.275,-521.394,-360.035,-213.213,-109.051,1,1,1,0
68.25,2.73205,2817.13,2.97842,2639.73,0,2.97128,2817.13,2640.49,-913.121,-700.22,-521.322,-359.918,-213.205,-109.343,1,1,1,0
68.5,2.73205,2817.13,3.41217,2195.13,0,2.36116,2817.13,2199.99,-913.083,-700.166,-521.251,-359.804,-213.195,-109.631,1,1,1,0
68.75,2.73205,2817.13,3.95688,1350.3,0,1.91643,2817.13,1338.57,-913.047,-700.113,-521.181,-359.691,-213.183,-109.917,1,1,1,0
69,2.73205,2817.13,4.46779,698.765,0,1.66127,2817.13,687.935,-913.011,-700.061,-521.113,-359.58,-213.169,-110.198,1,1,1,0
69.25,2.73205,2817.13,4.81603,391.795,0,1.53077,2817.13,390.307,-912.975,-700.011,-521.046,-359.471,-213.154,-110.477,1,1,1,0
69.5,2.73204,2817.13,5.0139,241.822,0,1.45368,2817.13,241.677,-912.941,-699.962,-520.98,-359.363,-213.137,-110.753,1,1,1,0
69.75,2.73204,2817.14,5.128,152.043,0,1.40555,2817.14,151.832,-912.907,-699.914,-520.916,-359.256,-213.118,-111.025,1,1,1,0
70,2.73204,2817.14,5.18802,99.2275,0,1.37487,2817.14,99.0488,-912.875,-699.866,-520.853,-359.151,-213.098,-111.294,1,1,1,0
70.25,2.73204,2817.14,5.21513,72.0592,0,1.35393,2817.14,71.9565,-912.842,-699.82,-520.791,-359.048,-213.076,-111.56,1,1,1,0
70.5,2.73204,2817.14,5.22518,60.9225,0,1.33755,2817.14,60.8757,-912.811,-699.775,-520.73,-358.946,-213.052,-111.823,1,1,1,0
70.75,2.73204,2817.14,5.22811,57.4779,0,1.32284,2817.14,57.4623,-912.78,-699.731,-520.671,-358.846,-213.028,-112.083,1,1,1,0
71,2.73204,2817.14,5.22875,56.6941,0,1.30859,2817.14,56.6904,-912.75,-699.688,-520.613,-358.747,-213.002,-112.34,1,1,1,0
71.25,2.73204,2817.14,5.22885,56.5728,0,1.29443,2817.14,56.5722,-912.721,-699.646,-520.555,-358.65,-212.975,-112.594,1,1,1,0
71.5,2.73204,2817.14,5.22885,56.5661,0,1.28028,2817.14,56.566,-912.693,-699.605,-520.499,-358.554,-212.946,-112.845,1,1,1,0
71.75,2.73203,2817.14,5.22885,56.569,0,1.26613,2817.14,56.5691,-912.665,-699.565,-520.445,-358.459,-212.917,-113.093,1,1,1,0
72,2.73203,2817.14,5.22885,56.5703,0,1.25198,2817.14,56.5703,-912.637,-699.525,-520.391,-358.366,-212.886,-113.338,1,1,1,0
72.25,2.73203,2817.14,5.22885,56.5705,0,1.23783,2817.14,56.5705,-912.61,-699.487,-520.338,-358.275,-212.854,-113.58,1,1,1,0
72.5,2.73203,2817.14,5.22885,56.5706,0,1.22368,2817.14,56.5706,-912.584,-699.449,-520.286,-358.184,-212.822,-113.82,1,1,1,0
72.75,2.73203,2817.15,5.22885,56.5706,0,1.20952,2817.15,56.5706,-912.559,-699.412,-520.235,-358.095,-212.788,-114.056,1,1,1,0
73,2.73203,2817.15,5.22885,56.5705,0,1.19537,2817.15,56.5705,-912.534,-699.376,-520.186,-358.008,-212.754,-114.29,1,1,1,0
73.25,2.73203,2817.15,5.22885,56.5705,0,1.18122,2817.15,56.5705,-912.509,-699.341,-520.137,-357.922,-212.718,-114.521,1,1,1,0
73.5,2.73203,2817.15,5.22885,56.5705,0,1.16707,2817.15,56.5705,-912.485,-699.306,-520.089,-357.837,-212.682,-114.749,1,1,1,0
73.75,2.73203,2817.15,5.22885,56.5705,0,1.15292,2817.15,56.5705,-912.462,-699.272,-520.042,-357.753,-212.645,-114.975,1,1,1,0
74,2.73203,2817.15,5.22885,56.5705,0,1.13877,2817.15,56.5705,-912.439,-699.239,-519.996,-357.671,-212.608,-115.198,1,1,1,0
74.25,2.73203,2817.15,5.22885,56.5705,0,1.12462,2817.15,56.5705,-912.416,-699.207,-519.95,-357.59,-212.569,-115.418,1,1,1,0
74.5,2.73202,2817.15,5.22885,56.5705,0,1.11047,2817.15,56.5705,-912.394,-699.175,-519.906,-357.51,-212.53,-115.635,1,1,1,0
74.75,2.73202,2817.15,5.22885,56.5705,0,1.09631,2817.15,56.5705,-912.373,-699.144,-519.863,-357.431,-212.491,-115.85,1,1,1,0
75,2.73202,2817.15,5.22885,56.5705,0,1.08216,2817.15,56.5705,-912.352,-699.113,-519.82,-357.354,-212.45,-116.062,1,1,1,0
75.25,2.73202,2817.15,5.22885,56.5705,0,1.06801,2817.15,56.5705,-912.331,-699.084,-519.778,-357.278,-212.41,-116.272,1,1,1,0
75.5,2.73202,2817.15,5.22885,56.5705,0,1.05386,2817.15,56.5705,-912.311,-699.055,-519.737,-357.203,-212.368,-116.479,1,1,1,0
75.75,2.73202,2817.15,5.22885,56.5705,0,1.03971,2817.15,56.5705,-912.291,-699.026,-519.697,-357.129,-212.327,-116.684,1,1,1,0
76,2.73202,2817.15,5.22885,56.5705,0,1.02556,2817.15,56.5705,-912.272,-698.998,-519.657,-357.056,-212.284,-116.886,1,1,1,0
76.25,2.73202,2817.15,5.22885,56.5705,0,1.01141,2817.15,56.5705,-912.253,-698.971,-519.619,-356.985,-212.242,-117.086,1,1,1,0
76.5,2.73202,2817.16,5.22885,56.5705,0,0.997257,2817.16,56.5705,-912.235,-698.944,-519.58,-356.914,-212.199,-117.283,1,1,1,0
76.75,2.73202,2817.16,5.22885,56.5705,0,0.983106,2817.16,56.5705,-912.217,-698.918,-519.543,-356.845,-212.155,-117.478,1,1,1,0
77,2.73202,2817.16,5.22885,56.5705,0,0.968955,2817.16,56.5705,-912.199,-698.892,-519.507,-356.777,-212.112,-117.671,1,1,1,0
77.25,2.73202,2817.16,5.22885,56.5705,0,0.954804,2817.16,56.5705,-912.182,-698.867,-519.471,-356.71,-212.068,-117.861,1,1,1,0
77.5,2.73202,2817.16,5.22885,56.5705,0,0.940653,2817.16,56.5705,-912.165,-698.842,-519.435,-356.644,-212.023,-118.049,1,1,1,0
