    "time","Piston_r2","Inertia_w"
    0.1725,0.23683949, 121.15429
     0.173,0.24337299, 121.76833
    0.1735,0.24976708, 122.70437
     0.174,0.25599118,  123.9712
    0.1745,0.26201156, 125.57506
     0.175,0.26779044, 127.51671
    0.1755,0.27328492, 129.78706
     0.176,0.27844592, 132.36077
    0.1765,0.28321733, 135.18622
     0.177,0.28753559, 138.18035
    0.1775,0.29133034, 141.24238
     0.178,0.29453537, 144.15853
    0.1785,0.29706172, 146.69198
     0.179,0.29883781, 148.66351
    0.1795, 0.2998127, 149.80824
      0.18, 0.2999531, 149.98309
    0.1805,0.29925321, 149.33907
     0.181,0.29773388, 148.01663
    0.1815,0.29543648, 146.16413
     0.182,0.29241858, 143.98884
    0.1825,  0.288746,  141.6863
     0.183,0.28448396, 139.41634
    0.1835,0.27969895, 137.30441
     0.184,0.27444759, 135.43529
    0.1845,0.26878737,  133.8638
     0.185,0.26276496, 132.62779
    0.1855,0.25642443, 131.74529
     0.186,0.24980547, 131.22814
    0.1865, 0.2429446, 131.08377
     0.187,0.23587594, 131.31623
    0.1875,0.22863218, 131.92817
     0.188,0.22124551,  132.9222
    0.1885, 0.2137484, 134.30122
     0.189,0.20617427, 136.06778
    0.1895,0.19855805, 138.22297
      0.19,0.19093679, 140.76477
    0.1905,   0.18335, 143.68607
     0.191,0.17583994, 146.97208
    0.1915,0.16845164, 150.59743
     0.192,0.16123261, 154.52328
    0.1925,0.15423222, 158.69494
     0.193,0.14750067, 163.04097
    0.1935,0.14108757, 167.47434
     0.194,0.13504021, 171.89643
    0.1945,0.12940166, 176.20367
     0.195,0.12420908, 180.29611
    0.1955, 0.1194923, 184.08605
     0.196,0.11527317, 187.50496
    0.1965,0.11156564, 190.50707
     0.197,0.10837656, 193.06912
    0.1975, 0.1057071,  195.1868
     0.198, 0.1035545, 196.86917
    0.1985, 0.1019138, 198.13254
     0.199,0.10077953, 198.99484
    0.1995,0.10014703, 199.47125
       0.2,0.10001335, 199.56623
    0.2005,0.10037779, 199.29037
     0.201,0.10124163, 198.63673
    0.2015,0.10260852, 197.59781
     0.202,0.10448372, 196.16503
    0.2025,0.10687297, 194.33159
     0.203,0.10978125, 192.09643
    0.2035,0.11321123, 189.46874
     0.204,0.11716181, 186.47201
    0.2045, 0.1216266, 183.14772
     0.205,0.12659294, 179.55795
    0.2055, 0.1320412, 175.77985
     0.206,0.13794478, 171.90355
    0.2065,0.14427072,  168.0253
     0.207,0.15098069, 164.24044
    0.2075,0.15803238, 160.63726
     0.208,0.16538087, 157.29268
    0.2085,0.17298001, 154.27022
     0.209,0.18078344, 151.62005
    0.2095,0.18874534, 149.38053
      0.21, 0.1968209,  147.5808
    0.2105,0.20496635, 146.24363
     0.211,0.21313885, 145.38986
    0.2115,0.22129314, 145.03327
     0.212,0.22938514, 145.19353
    0.2125,0.23737271, 145.89108
     0.213,0.24521025, 147.14871
    0.2135,0.25284765,  148.9888
     0.214,0.26022815, 151.43068
    0.2145,0.26728629, 154.48343
     0.215,0.27394529, 158.13355
    0.2155,0.28011424,   162.325
     0.216,0.28568629, 166.93456
    0.2165,0.29053614, 171.72178
     0.217,0.29452582, 176.31867
    0.2175,0.29751296, 180.22867
     0.218,0.29936864, 182.90613
    0.2185,       0.3, 183.90752
     0.219, 0.2993705, 183.06671
    0.2195,0.29751093,  180.8105
      0.22,0.29450238, 177.45302
    0.2205,0.29046394, 173.51521
