"time","J1_0w","J2_0w","J3_0w","J4_0w"
0.1845,8.20819,1.82868,2.66454e-015,2.67755e-015
0.186,8.20819,1.82868,2.66454e-015,2.67755e-015
0.186,8.18689,1.84328,3.10862e-015,3.12126e-015
0.1875,8.18689,1.84328,3.10862e-015,3.12126e-015
0.1875,8.16623,1.85787,2.88658e-015,2.89878e-015
0.189,8.16623,1.85787,2.88658e-015,2.89878e-015
0.189,8.14624,1.87246,2.66454e-015,2.67627e-015
0.1905,8.14624,1.87246,2.66454e-015,2.67627e-015
0.1905,8.12692,1.88704,3.55271e-015,3.56393e-015
0.192,8.12692,1.88704,3.55271e-015,3.56393e-015
0.192,8.10828,1.90161,2.22045e-015,2.23113e-015
0.1935,8.10828,1.90161,2.22045e-015,2.23113e-015
0.1935,8.09033,1.91617,2.66454e-015,2.67466e-015
0.195,8.09033,1.91617,2.66454e-015,2.67466e-015
0.195,8.07307,1.93073,3.10862e-015,3.11818e-015
0.1965,8.07307,1.93073,3.10862e-015,3.11818e-015
0.1965,8.05653,1.94528,3.9968e-015,4.00584e-015
0.198,8.05653,1.94528,3.9968e-015,4.00584e-015
0.198,8.04069,1.95983,2.88658e-015,2.89519e-015
0.1995,8.04069,1.95983,2.88658e-015,2.89519e-015
0.1995,8.02556,1.97437,2.66454e-015,2.67275e-015
0.2,8.02556,1.97437,2.66454e-015,2.67275e-015
0.201,8.02556,1.97437,2.66454e-015,2.67275e-015
0.201,8.01115,1.9889,3.55271e-015,3.56052e-015
0.2025,8.01115,1.9889,3.55271e-015,3.56052e-015
0.2025,7.99745,2.00342,3.10862e-015,3.11603e-015
0.204,7.99745,2.00342,3.10862e-015,3.11603e-015
0.204,7.98446,2.01794,3.10862e-015,3.11559e-015
0.2055,7.98446,2.01794,3.10862e-015,3.11559e-015
0.2055,7.97218,2.03244,3.9968e-015,4.00342e-015
0.207,7.97218,2.03244,3.9968e-015,4.00342e-015
0.207,7.96061,2.04695,3.10862e-015,3.11514e-015
0.2085,7.96061,2.04695,3.10862e-015,3.11514e-015
0.2085,7.94973,2.06144,3.10862e-015,3.11516e-015
0.21,7.94973,2.06144,3.10862e-015,3.11516e-015
0.21,7.93954,2.07593,3.9968e-015,4.00346e-015
0.2115,7.93954,2.07593,3.9968e-015,4.00346e-015
0.2115,7.93003,2.09041,3.10862e-015,3.11547e-015
0.213,7.93003,2.09041,3.10862e-015,3.11547e-015
0.213,7.92119,2.10488,4.44089e-015,4.44793e-015
0.2145,7.92119,2.10488,4.44089e-015,4.44793e-015
0.2145,7.91301,2.11935,3.55271e-015,3.55983e-015
0.216,7.91301,2.11935,3.55271e-015,3.55983e-015
0.216,7.90547,2.13381,3.10862e-015,3.1156e-015
0.2175,7.90547,2.13381,3.10862e-015,3.1156e-015
0.2175,7.89855,2.14826,3.9968e-015,4.00386e-015
0.219,7.89855,2.14826,3.9968e-015,4.00386e-015
0.219,7.89225,2.1627,3.55271e-015,3.56e-015
0.2205,7.89225,2.1627,3.55271e-015,3.56e-015
0.2205,7.88654,2.17713,3.9968e-015,4.00431e-015
0.222,7.88654,2.17713,3.9968e-015,4.00431e-015
0.222,7.8814,2.19156,3.10862e-015,3.1163e-015
0.2235,7.8814,2.19156,3.10862e-015,3.1163e-015
0.2235,7.87681,2.20598,3.55271e-015,3.56049e-015
0.225,7.87681,2.20598,3.55271e-015,3.56049e-015
0.225,7.87276,2.22039,3.55271e-015,3.56054e-015
0.2265,7.87276,2.22039,3.55271e-015,3.56054e-015
0.2265,7.86921,2.2348,4.44089e-015,4.44876e-015
0.228,7.86921,2.2348,4.44089e-015,4.44876e-015
0.228,7.86614,2.24919,3.55271e-015,3.56059e-015
0.2295,7.86614,2.24919,3.55271e-015,3.56059e-015
0.2295,7.86354,2.26358,3.55271e-015,3.56056e-015
0.231,7.86354,2.26358,3.55271e-015,3.56056e-015
0.231,7.86136,2.27796,3.10862e-015,3.11644e-015
0.2325,7.86136,2.27796,3.10862e-015,3.11644e-015
0.2325,7.85959,2.29233,3.10862e-015,3.11642e-015
0.234,7.85959,2.29233,3.10862e-015,3.11642e-015
0.234,7.8582,2.30669,3.9968e-015,4.00448e-015
0.2355,7.8582,2.30669,3.9968e-015,4.00448e-015
0.2355,7.85716,2.32105,4.88498e-015,4.89251e-015
0.237,7.85716,2.32105,4.88498e-015,4.89251e-015
0.237,7.85643,2.3354,4.44089e-015,4.44825e-015
0.2385,7.85643,2.3354,4.44089e-015,4.44825e-015
0.2385,7.856,2.34974,4.44089e-015,4.44808e-015
0.24,7.856,2.34974,4.44089e-015,4.44808e-015
0.24,7.85582,2.36407,4.44089e-015,4.44792e-015
0.2415,7.85582,2.36407,4.44089e-015,4.44792e-015
0.2415,7.85587,2.37839,4.88498e-015,4.89185e-015
0.243,7.85587,2.37839,4.88498e-015,4.89185e-015
0.243,7.85611,2.3927,5.32907e-015,5.33575e-015
0.2445,7.85611,2.3927,5.32907e-015,5.33575e-015
0.2445,7.85652,2.40701,5.32907e-015,5.33557e-015
0.246,7.85652,2.40701,5.32907e-015,5.33557e-015
0.246,7.85706,2.42131,5.77316e-015,5.77949e-015
0.2475,7.85706,2.42131,5.77316e-015,5.77949e-015
0.2475,7.85769,2.43559,5.77316e-015,5.77933e-015
0.249,7.85769,2.43559,5.77316e-015,5.77933e-015
0.249,7.85839,2.44987,4.88498e-015,4.89101e-015
0.2505,7.85839,2.44987,4.88498e-015,4.89101e-015
0.2505,7.85911,2.46414,4.44089e-015,4.44681e-015
0.252,7.85911,2.46414,4.44089e-015,4.44681e-015
0.252,7.85984,2.47841,4.44089e-015,4.44673e-015
0.2535,7.85984,2.47841,4.44089e-015,4.44673e-015
0.2535,7.86053,2.49266,3.9968e-015,4.00259e-015
0.255,7.86053,2.49266,3.9968e-015,4.00259e-015
0.255,7.86115,2.5069,3.9968e-015,4.00259e-015
0.2565,7.86115,2.5069,3.9968e-015,4.00259e-015
0.2565,7.86167,2.52114,4.44089e-015,4.44671e-015
0.258,7.86167,2.52114,4.44089e-015,4.44671e-015
0.258,7.86206,2.53537,4.44089e-015,4.44678e-015
0.2595,7.86206,2.53537,4.44089e-015,4.44678e-015
0.2595,7.86228,2.54958,5.32907e-015,5.33508e-015
0.261,7.86228,2.54958,5.32907e-015,5.33508e-015
0.261,7.8623,2.56379,4.44089e-015,4.44706e-015
0.2625,7.8623,2.56379,4.44089e-015,4.44706e-015
0.2625,7.86209,2.57799,4.88498e-015,4.89135e-015
0.264,7.86209,2.57799,4.88498e-015,4.89135e-015
0.264,7.86161,2.59218,4.88498e-015,4.89158e-015
0.2655,7.86161,2.59218,4.88498e-015,4.89158e-015
0.2655,7.86085,2.60637,4.44089e-015,4.44777e-015
0.267,7.86085,2.60637,4.44089e-015,4.44777e-015
0.267,7.85976,2.62054,5.32907e-015,5.33626e-015
0.2685,7.85976,2.62054,5.32907e-015,5.33626e-015
0.2685,7.85833,2.6347,3.9968e-015,4.00434e-015
0.27,7.85833,2.6347,3.9968e-015,4.00434e-015
0.27,7.85651,2.64885,4.44089e-015,4.4488e-015
0.2715,7.85651,2.64885,4.44089e-015,4.4488e-015
