"time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6","Integrator_IC","SineWave1_Amp","SineWave1_Bias","SineWave1_Freq","SineWave1_Phase","IntegratorLimited_IC","IntegratorLimited_UpperSat","IntegratorLimited_LowerSat","SineWave2_Amp","SineWave2_Bias","SineWave2_Freq","SineWave2_Phase","IntegratorSecondOrder_ICX","IntegratorSecondOrder_ICDXDT","SineWave3_Amp","SineWave3_Bias","SineWave3_Freq","SineWave3_Phase","SineWave6_Amp","SineWave6_Bias","SineWave6_Freq","SineWave6_Phase","StateSpace_A","StateSpace_C","StateSpace_D","StateSpace_X0","TransferFcn_A","TransferFcn_C","SineWave8_Amp","SineWave8_Bias","SineWave8_Freq","SineWave8_Phase","ZeroPole_A[0]","ZeroPole_A[1]","ZeroPole_C[0]","ZeroPole_C[1]","SineWave12_Amp","SineWave12_Bias","SineWave12_Freq","SineWave12_Phase"
6.1,0.02582574148,0,6.274647627,0.02582574148,158.7355159,-0.6071226414,-1.240071024,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
6.2,0.007609491051,0,6.277230202,0.007609491051,174.7081406,-0.5646266277,-1.136862746,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
6.3,-0.0006994492303,0,6.277991151,-0.0006994492303,192.278858,-0.5164729052,-1.032246361,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
6.4,0.0009819408182,0.003362780097,6.277921206,0.0009819408182,211.6064791,-0.4631442246,-0.9272703901,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
6.5,0.0126368613,0.02667262107,6.2780194,0.0126368613,232.8656978,-0.4051748817,-0.8229866247,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
6.6,0.03414886011,0.06969661868,6.279283086,0.03414886011,256.248689,-0.3431453947,-0.7204396495,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
6.7,0.06530299646,0.1320048914,6.282697972,0.06530299646,281.9668664,-0.2776767189,-0.6206564342,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
6.8,0.1057879885,0.2129748755,6.289228272,0.1057879885,310.2528165,-0.2094240549,-0.5246360984,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
6.9,0.1551993236,0.3117975457,6.29980707,0.1551993236,341.3624246,-0.1390703143,-0.4333399523,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
7,0.2130433001,0.4274854986,6.315327003,0.2130433001,375.5772139,-0.06731930646,-0.347681913,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
7.1,0.2787419599,0.5588828184,6.336631333,0.2787419599,413.2069177,0.005111284061,-0.2685193918,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
7.2,0.351638864,0.7046766264,6.364505529,0.351638864,454.5923083,0.07749705967,-0.1966447446,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
7.3,0.4310056503,0.8634101992,6.399669415,0.4310056503,500.1083079,0.1491141401,-0.1327773702,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
7.4,0.5160493124,1,6.44276998,0.5160493124,550.1674101,0.2192463881,-0.07755653613,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
7.5,0.605920122,1,6.494374911,0.605920122,605.223443,0.2871925589,-0.03153500418,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
7.6,0.6997201197,1,6.554966924,0.6997201197,665.775707,0.3522733007,0.004826481719,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
7.7,0.7965120869,1,6.624938936,0.7965120869,732.3735263,0.4138379378,0.03116378878,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
7.8,0.8953289103,1,6.704590144,0.8953289103,805.621254,0.4712709674,0.04721302461,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
7.9,0.9951832448,1,6.794123035,0.9951832448,886.1837774,0.5239982052,0.05281316566,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
8,1.095077379,1,6.89364136,1.095077379,974.792572,0.5714925189,0.0479076588,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
8.1,1.194013204,1,7.003149098,1.194013204,1072.252361,0.6132790917,0.03254497968,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
8.2,1.291002185,1,7.122550418,1.291002185,1179.448438,0.6489401636,0.006878142432,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
8.3,1.38507524,1,7.251650637,1.38507524,1297.354723,0.6781192029,-0.02883683462,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
8.4,1.475292424,1,7.390158161,1.475292424,1427.042622,0.700524466,-0.07424349182,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
8.5,1.560752315,1,7.537687403,1.560752315,1569.690772,0.7159319102,-0.1288884942,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
8.6,1.640601026,1,7.693762634,1.640601026,1726.59576,0.7241874304,-0.192226165,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,1,1,0,1,0,-1,0,1,-1,1,0,1,0
